fold,path,sha256,slot
0,/projects/EEG-foundation-model/derived/denoiseNet/claim_narrowing_v31/inference/natural_fold_0_slot_0.npz,429ea69207b3b708cf64a6f704fc5a27808f2dd4ec79ff39af474ef09cd111bc,0
0,/projects/EEG-foundation-model/derived/denoiseNet/claim_narrowing_v31/inference/natural_fold_0_slot_1.npz,201eaa09c378fa4621d0205f5058c088587ffd3d3acad8bc8c9030e6241a15d7,1
0,/projects/EEG-foundation-model/derived/denoiseNet/claim_narrowing_v31/inference/natural_fold_0_slot_2.npz,36d5b6acf17f6ca3f5d59e55750b5ed25ce8d773eda3980702f9252464a79f32,2
1,/projects/EEG-foundation-model/derived/denoiseNet/claim_narrowing_v31/inference/natural_fold_1_slot_0.npz,bc95c26430ba8823c431316cae1b7d122c76db31de26a670797623ac9a14f6b5,0
1,/projects/EEG-foundation-model/derived/denoiseNet/claim_narrowing_v31/inference/natural_fold_1_slot_1.npz,fe285994bea291c98e2f52d6c543f0e1c367aa53caedbb5e61b13ad60fdb7086,1
1,/projects/EEG-foundation-model/derived/denoiseNet/claim_narrowing_v31/inference/natural_fold_1_slot_2.npz,84d14df4410872b464e13f7492d18daec72d65b1a6373e4b95a8954be274d7b6,2
2,/projects/EEG-foundation-model/derived/denoiseNet/claim_narrowing_v31/inference/natural_fold_2_slot_0.npz,f3c72a755b674112afaa15d73865c149fed5e36d808d18a51cdeb90407767a04,0
2,/projects/EEG-foundation-model/derived/denoiseNet/claim_narrowing_v31/inference/natural_fold_2_slot_1.npz,3faaf8a18779a61c6721cd65e75a1bb3d3eea24e785534b465173a90beca53e8,1
2,/projects/EEG-foundation-model/derived/denoiseNet/claim_narrowing_v31/inference/natural_fold_2_slot_2.npz,82c686a201f50ea449017971ce287a27bb44d968fe5d5e7dc8b50a98594b0fda,2
3,/projects/EEG-foundation-model/derived/denoiseNet/claim_narrowing_v31/inference/natural_fold_3_slot_0.npz,310197a2045d6fa74f61a70901684ae5d0141b11c1638bca9d84e1fdc854bef1,0
3,/projects/EEG-foundation-model/derived/denoiseNet/claim_narrowing_v31/inference/natural_fold_3_slot_1.npz,5e93f152eb374dabb8b4d0915556e20d5631676fc80e8b809d22e44580849ddd,1
3,/projects/EEG-foundation-model/derived/denoiseNet/claim_narrowing_v31/inference/natural_fold_3_slot_2.npz,c516a8d29954e4db8b1e217ee51f54c654a09312d265ac27f532ac0a244ac4e1,2
4,/projects/EEG-foundation-model/derived/denoiseNet/claim_narrowing_v31/inference/natural_fold_4_slot_0.npz,4f639fe1b7fb7d8bce4285bc8f0ad77770f7fbc80333d4785640a64d0b61b781,0
4,/projects/EEG-foundation-model/derived/denoiseNet/claim_narrowing_v31/inference/natural_fold_4_slot_1.npz,0ea6a104091f10b0bc32ac07b34390780525e5b41724c0301e64446342daa003,1
4,/projects/EEG-foundation-model/derived/denoiseNet/claim_narrowing_v31/inference/natural_fold_4_slot_2.npz,1f4469f151e1264b42e49f0627754c97f179d3ab3f7a1303ee9f7405371a030a,2
