acquisition_span_seconds,duration_seconds,effective_samples,effective_seconds,evidence_status,mean,median,method,metric,panel,rows,sampling_rate_hz,starts,window_count,window_samples
0,0,0,0.0,V31_exact_duration_contract,0.7618991054991191,0.3075225502252579,V25_SET_CALIB_DET,paired_risk,paired,1080,100,[],0,200
5,5,400,4.0,V31_exact_duration_contract,0.7588272760443269,0.3171943128108978,V25_SET_CALIB_DET,paired_risk,paired,1080,100,"[0, 200]",2,200
10,10,1000,10.0,V31_exact_duration_contract,0.7529473334951844,0.30697648227214813,V25_SET_CALIB_DET,paired_risk,paired,1080,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,V31_exact_duration_contract,0.7507301106902391,0.3078151047229767,V25_SET_CALIB_DET,paired_risk,paired,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,V31_exact_duration_contract,0.7497408374997407,0.3071591556072235,V25_SET_CALIB_DET,paired_risk,paired,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,0,0,0.0,V31_exact_duration_contract,0.7618991054991191,0.3075225502252579,V26_CALIB_SDEDIT,paired_risk,paired,1080,100,[],0,200
5,5,400,4.0,V31_exact_duration_contract,0.7625966376760819,0.32356680929660797,V26_CALIB_SDEDIT,paired_risk,paired,1080,100,"[0, 200]",2,200
10,10,1000,10.0,V31_exact_duration_contract,0.7560651851119473,0.3157820701599121,V26_CALIB_SDEDIT,paired_risk,paired,1080,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,V31_exact_duration_contract,0.7536298019658446,0.3155561834573746,V26_CALIB_SDEDIT,paired_risk,paired,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,V31_exact_duration_contract,0.7525345845691239,0.3165317624807358,V26_CALIB_SDEDIT,paired_risk,paired,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,0,0,0.0,V31_exact_duration_contract,0.8169386049278762,0.2693544775247574,V29_PA_SC_CDM,paired_risk,paired,1080,100,[],0,200
5,5,400,4.0,V31_exact_duration_contract,0.8167272458865126,0.2692776322364807,V29_PA_SC_CDM,paired_risk,paired,1080,100,"[0, 200]",2,200
10,10,1000,10.0,V31_exact_duration_contract,0.816727585824588,0.2692776918411255,V29_PA_SC_CDM,paired_risk,paired,1080,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,V31_exact_duration_contract,0.8167276926223874,0.26927776634693146,V29_PA_SC_CDM,paired_risk,paired,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,V31_exact_duration_contract,0.816728057944231,0.2692776173353195,V29_PA_SC_CDM,paired_risk,paired,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,0,0,0.0,V31_exact_duration_contract,0.816026450463714,0.26549232006073,V29_PA_SC_DET,paired_risk,paired,1080,100,[],0,200
5,5,400,4.0,V31_exact_duration_contract,0.8156566193291737,0.26523593068122864,V29_PA_SC_DET,paired_risk,paired,1080,100,"[0, 200]",2,200
10,10,1000,10.0,V31_exact_duration_contract,0.8156569427096487,0.2652355134487152,V29_PA_SC_DET,paired_risk,paired,1080,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,V31_exact_duration_contract,0.8156571698042508,0.2652348577976227,V29_PA_SC_DET,paired_risk,paired,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,V31_exact_duration_contract,0.815657515526443,0.26523369550704956,V29_PA_SC_DET,paired_risk,paired,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,0,0,0.0,V31_exact_duration_contract,0.9316760380904701,0.7622530628106663,V25_SET_CALIB_DET,natural_remaining_ratio,natural,1080,100,[],0,200
5,5,400,4.0,V31_exact_duration_contract,0.9188472041944709,0.7348104744613302,V25_SET_CALIB_DET,natural_remaining_ratio,natural,1080,100,"[0, 200]",2,200
10,10,1000,10.0,V31_exact_duration_contract,0.9232569624748024,0.744360735744809,V25_SET_CALIB_DET,natural_remaining_ratio,natural,1080,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,V31_exact_duration_contract,0.9279367332420312,0.7465865642130964,V25_SET_CALIB_DET,natural_remaining_ratio,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,V31_exact_duration_contract,0.9380852024330676,0.750177582163603,V25_SET_CALIB_DET,natural_remaining_ratio,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,0,0,0.0,V31_exact_duration_contract,0.9316760380904701,0.7622530628106663,V26_CALIB_SDEDIT,natural_remaining_ratio,natural,1080,100,[],0,200
5,5,400,4.0,V31_exact_duration_contract,0.9265399563017093,0.7409105546444676,V26_CALIB_SDEDIT,natural_remaining_ratio,natural,1080,100,"[0, 200]",2,200
10,10,1000,10.0,V31_exact_duration_contract,0.9307698521201222,0.749792296693381,V26_CALIB_SDEDIT,natural_remaining_ratio,natural,1080,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,V31_exact_duration_contract,0.9350789301446161,0.7524299005417546,V26_CALIB_SDEDIT,natural_remaining_ratio,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,V31_exact_duration_contract,0.9452103825616649,0.7572917510098232,V26_CALIB_SDEDIT,natural_remaining_ratio,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,0,0,0.0,V31_exact_duration_contract,1.0007039025411917,1.0006515786107855,V29_PA_SC_CDM,natural_remaining_ratio,natural,1080,100,[],0,200
5,5,400,4.0,V31_exact_duration_contract,1.0001886977936243,1.0002122379108904,V29_PA_SC_CDM,natural_remaining_ratio,natural,1080,100,"[0, 200]",2,200
10,10,1000,10.0,V31_exact_duration_contract,1.0001897854292041,1.0002232207792057,V29_PA_SC_CDM,natural_remaining_ratio,natural,1080,100,"[0, 200, 400, 600, 800]",5,200
30,30,3000,30.0,V31_exact_duration_contract,1.0001898751938694,1.0002249334098583,V29_PA_SC_CDM,natural_remaining_ratio,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,120,12000,120.0,V31_exact_duration_contract,1.0001905850686592,1.00022297995418,V29_PA_SC_CDM,natural_remaining_ratio,natural,1080,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,0,0,0.0,V31_exact_duration_contract,0.9994465826069577,0.9995671344175867,V29_PA_SC_DET,natural_remaining_ratio,natural,1080,100,[],0,200
5,5,400,4.0,V31_exact_duration_contract,0.9985375174830446,0.9984225164829161,V29_PA_SC_DET,natural_remaining_ratio,natural,1080,100,"[0, 200]",2,200
