artifact_rrmse,correlation,fold,method,panel,psd,remaining,retention,rrmse,variant
88476850846.0139,0.8933002660730077,2,POP_CLEAN_DET,paired,,,,0.6423691682266508,base
89703513077.31267,0.8933019538623436,2,PA_SC_DET_MATCH,paired,,,,0.6423472016494998,base
89703905590.97275,0.8933019460722184,2,PA_SC_DET_WRONG,paired,,,,0.64234721384067,base
88476850846.0139,0.8933002660730077,2,PA_SC_DET_POP,paired,,,,0.6423691682266508,base
89420507507.56158,0.8933016114557782,2,POP_ADAPTER_DET,paired,,,,0.6423498118647331,base
100341630207.84679,0.8927549918347116,2,POP_CLEAN_CDM,paired,,,,0.6381361226707062,base
100866249569.23259,0.8927535565768873,2,PA_SC_CDM_MATCH,paired,,,,0.6381282467586971,base
100869672722.9658,0.8927535579762965,2,PA_SC_CDM_WRONG,paired,,,,0.6381283345490374,base
100341630207.84679,0.8927549918347116,2,PA_SC_CDM_POP,paired,,,,0.6381361226707062,base
100522311482.74031,0.8927548199256611,2,POP_ADAPTER_CDM,paired,,,,0.6381174753059895,base
,,2,POP_CLEAN_DET,natural,0.023375906073427353,0.9983259200325021,0.9977698601845395,,base
,,2,PA_SC_DET_MATCH,natural,0.023381689945243336,0.998265842737886,0.997760567586743,,base
,,2,PA_SC_DET_WRONG,natural,0.023381703698373,0.9982658660332188,0.9977604815695716,,base
,,2,PA_SC_DET_POP,natural,0.023375906073427353,0.9983259200325021,0.9977698601845395,,base
,,2,POP_ADAPTER_DET,natural,0.023409750612034593,0.9982711336892413,0.9977599221592541,,base
,,2,POP_CLEAN_CDM,natural,0.03958674317902084,0.9977686978159239,0.9902189004927252,,base
,,2,PA_SC_CDM_MATCH,natural,0.039657756958694654,0.9977398787258019,0.990202875168805,,base
,,2,PA_SC_CDM_WRONG,natural,0.03966102901482498,0.9977397271710321,0.9902031094455794,,base
,,2,PA_SC_CDM_POP,natural,0.03958674317902084,0.9977686978159239,0.9902189004927252,,base
,,2,POP_ADAPTER_CDM,natural,0.0395321417653829,0.9977461903803425,0.9902117379986343,,base
88476850846.0139,0.8933002660730077,2,POP_CLEAN_DET,paired,,,,0.6423691682266508,rank
101848407882.11763,0.8933269064194368,2,PA_SC_DET_MATCH,paired,,,,0.6421280711192594,rank
101849200398.82353,0.8933268356486224,2,PA_SC_DET_WRONG,paired,,,,0.6421280543430233,rank
88476850846.0139,0.8933002660730077,2,PA_SC_DET_POP,paired,,,,0.6423691682266508,rank
89420507507.56158,0.8933016114557782,2,POP_ADAPTER_DET,paired,,,,0.6423498118647331,rank
100341630207.84679,0.8927549918347116,2,POP_CLEAN_CDM,paired,,,,0.6381361226707062,rank
100358078451.05742,0.892755548559459,2,PA_SC_CDM_MATCH,paired,,,,0.6380699079707787,rank
100358284079.32088,0.8927555369397547,2,PA_SC_CDM_WRONG,paired,,,,0.6380698753752464,rank
100341630207.84679,0.8927549918347116,2,PA_SC_CDM_POP,paired,,,,0.6381361226707062,rank
100522311482.74031,0.8927548199256611,2,POP_ADAPTER_CDM,paired,,,,0.6381174753059895,rank
,,2,POP_CLEAN_DET,natural,0.023375906073427353,0.9983259200325021,0.9977698601845395,,rank
,,2,PA_SC_DET_MATCH,natural,0.023967535406685683,0.9975586851943609,0.9975904599344471,,rank
,,2,PA_SC_DET_WRONG,natural,0.023968491018503842,0.9975575847022226,0.9975905056485136,,rank
,,2,PA_SC_DET_POP,natural,0.023375906073427353,0.9983259200325021,0.9977698601845395,,rank
,,2,POP_ADAPTER_DET,natural,0.023409750612034593,0.9982711336892413,0.9977599221592541,,rank
,,2,POP_CLEAN_CDM,natural,0.03958674317902084,0.9977686978159239,0.9902189004927252,,rank
,,2,PA_SC_CDM_MATCH,natural,0.03948513698164825,0.9975489660483502,0.9901866890778281,,rank
,,2,PA_SC_CDM_WRONG,natural,0.0394829054043165,0.9975494732099528,0.9901861492493914,,rank
,,2,PA_SC_CDM_POP,natural,0.03958674317902084,0.9977686978159239,0.9902189004927252,,rank
,,2,POP_ADAPTER_CDM,natural,0.0395321417653829,0.9977461903803425,0.9902117379986343,,rank
