artifact_rrmse,correlation,fold,method,panel,psd,remaining,retention,rrmse,variant
44900839664.06765,0.8320728153654878,0,POP_CLEAN_DET,paired,,,,1.253901716670839,base
45225017433.2356,0.832073385490124,0,PA_SC_DET_MATCH,paired,,,,1.2538949811258437,base
45224764695.57191,0.8320733897732376,0,PA_SC_DET_WRONG,paired,,,,1.2538949820487157,base
44900839664.06765,0.8320728153654878,0,PA_SC_DET_POP,paired,,,,1.253901716670839,base
47832956616.01627,0.8320727984828409,0,POP_ADAPTER_DET,paired,,,,1.2538964851069825,base
135688195549.14008,0.8320241277542664,0,POP_CLEAN_CDM,paired,,,,1.2551716328378764,base
135050852240.56238,0.8320099156650637,0,PA_SC_CDM_MATCH,paired,,,,1.2551727660185559,base
135045030698.3689,0.8320098348534278,0,PA_SC_CDM_WRONG,paired,,,,1.2551728907253619,base
135688195549.14008,0.8320241277542664,0,PA_SC_CDM_POP,paired,,,,1.2551716328378764,base
135820439086.17358,0.8320220651342728,0,POP_ADAPTER_CDM,paired,,,,1.25516724498857,base
,,0,POP_CLEAN_DET,natural,0.0034673149911953957,0.9994996130687755,0.9989773936785471,,base
,,0,PA_SC_DET_MATCH,natural,0.0034727925149786805,0.9994897524338812,0.998966617837192,,base
,,0,PA_SC_DET_WRONG,natural,0.0034735987833260135,0.9994898166976941,0.9989665034338087,,base
,,0,PA_SC_DET_POP,natural,0.0034673149911953957,0.9994996130687755,0.9989773936785471,,base
,,0,POP_ADAPTER_DET,natural,0.0035883423444768477,0.999464596406753,0.9989072809708371,,base
,,0,POP_CLEAN_CDM,natural,0.007782997200182047,1.0002980059147173,0.9950803968108118,,base
,,0,PA_SC_CDM_MATCH,natural,0.007840420801746364,1.0003014586923138,0.9950595360968065,,base
,,0,PA_SC_CDM_WRONG,natural,0.00784012446205905,1.000301223747103,0.9950605104910496,,base
,,0,PA_SC_CDM_POP,natural,0.007782997200182047,1.0002980059147173,0.9950803968108118,,base
,,0,POP_ADAPTER_CDM,natural,0.007785464444955576,1.000291990535115,0.9950654374584224,,base
44900839664.06765,0.8320728153654878,0,POP_CLEAN_DET,paired,,,,1.253901716670839,rank
63429830072.7833,0.8320822665361144,0,PA_SC_DET_MATCH,paired,,,,1.2536560342831915,rank
63427984482.47871,0.8320822555009121,0,PA_SC_DET_WRONG,paired,,,,1.2536560769337939,rank
44900839664.06765,0.8320728153654878,0,PA_SC_DET_POP,paired,,,,1.253901716670839,rank
47832956616.01627,0.8320727984828409,0,POP_ADAPTER_DET,paired,,,,1.2538964851069825,rank
135688195549.14008,0.8320241277542664,0,POP_CLEAN_CDM,paired,,,,1.2551716328378764,rank
134200913754.7909,0.8320232335002705,0,PA_SC_CDM_MATCH,paired,,,,1.2550789522336647,rank
134200479292.80986,0.832023177856172,0,PA_SC_CDM_WRONG,paired,,,,1.2550790236897835,rank
135688195549.14008,0.8320241277542664,0,PA_SC_CDM_POP,paired,,,,1.2551716328378764,rank
135820439086.17358,0.8320220651342728,0,POP_ADAPTER_CDM,paired,,,,1.25516724498857,rank
,,0,POP_CLEAN_DET,natural,0.0034673149911953957,0.9994996130687755,0.9989773936785471,,rank
,,0,PA_SC_DET_MATCH,natural,0.003984041234559723,0.9985204552366477,0.9986452786341372,,rank
,,0,PA_SC_DET_WRONG,natural,0.003984427664970515,0.9985211981716388,0.9986453493913094,,rank
,,0,PA_SC_DET_POP,natural,0.0034673149911953957,0.9994996130687755,0.9989773936785471,,rank
,,0,POP_ADAPTER_DET,natural,0.0035883423444768477,0.999464596406753,0.9989072809708371,,rank
,,0,POP_CLEAN_CDM,natural,0.007782997200182047,1.0002980059147173,0.9950803968108118,,rank
,,0,PA_SC_CDM_MATCH,natural,0.007963384789143312,1.0000890826810147,0.995038038833731,,rank
,,0,PA_SC_CDM_WRONG,natural,0.007962984788063194,1.0000896455748503,0.995038067048145,,rank
,,0,PA_SC_CDM_POP,natural,0.007782997200182047,1.0002980059147173,0.9950803968108118,,rank
,,0,POP_ADAPTER_CDM,natural,0.007785464444955576,1.000291990535115,0.9950654374584224,,rank
