fixed_head_ba_difference,fixed_head_ece_difference,fold,max_centered_logit_error,max_softmax_probability_error,method,prediction_mismatch_count,seed,strength
0.0,9.575640280701236e-11,0,6.593566936885509e-08,1.3257167696956174e-08,HEAD_ONLY,0,20260920,na
0.0,-4.487145655041047e-10,0,1.478442932523194e-07,4.131675557239589e-08,Fiber-OneStep,0,20260920,weak
0.0,1.7383228190226419e-10,0,1.5090061555866896e-07,3.25742008921992e-08,Fiber-OneStep,0,20260920,medium
0.0,1.3659218200956502e-10,0,9.907315234869429e-08,3.220130773140539e-08,Fiber-OneStep,0,20260920,strong
0.0,1.7682694197773685e-10,0,1.513629044325171e-07,4.283711330099749e-08,Fiber-SANDiff,0,20260920,weak
0.0,5.793510116092193e-11,0,1.4606264020500248e-07,4.021286414968017e-08,Fiber-SANDiff,0,20260920,medium
0.0,1.6919143863702857e-10,0,1.8057805606375155e-07,4.497546318704693e-08,Fiber-SANDiff,0,20260920,strong
0.0,9.864292715988654e-11,0,7.157806880542239e-08,1.5329927771645657e-08,HEAD_ONLY,0,20260921,na
0.0,4.286677124376581e-10,0,1.699210625538683e-07,5.5463001413791346e-08,Fiber-OneStep,0,20260921,weak
0.0,2.3667784398995195e-10,0,1.4570273787484211e-07,3.235854983962838e-08,Fiber-OneStep,0,20260921,medium
0.0,2.477665295153031e-10,0,1.7616055547620135e-07,3.332144404843973e-08,Fiber-OneStep,0,20260921,strong
0.0,1.587739939523658e-10,0,2.1630347912804382e-07,4.680774068344107e-08,Fiber-SANDiff,0,20260921,weak
0.0,1.5581025358812894e-10,0,1.8474368168597266e-07,4.37438480993535e-08,Fiber-SANDiff,0,20260921,medium
0.0,4.940619025006754e-10,0,1.8562830073065584e-07,7.702138205001319e-08,Fiber-SANDiff,0,20260921,strong
0.0,-7.974454430126343e-12,1,6.214440784191311e-08,9.48320644234002e-09,HEAD_ONLY,0,20260920,na
0.0,-5.805239622347358e-11,1,9.911199150280936e-08,2.973632295955042e-08,Fiber-OneStep,0,20260920,weak
0.0,-1.3261874931558282e-10,1,9.191104233252645e-08,3.062421782829006e-08,Fiber-OneStep,0,20260920,medium
0.0,-1.3240847307471881e-10,1,9.541891010655945e-08,2.3931307990832096e-08,Fiber-OneStep,0,20260920,strong
0.0,-1.837893170986149e-10,1,1.0282091178481778e-07,3.18831572254652e-08,Fiber-SANDiff,0,20260920,weak
0.0,7.588907280364765e-11,1,9.838723169508512e-08,2.6786467488548737e-08,Fiber-SANDiff,0,20260920,medium
0.0,-1.3797413211946719e-10,1,1.1077581252294522e-07,3.298600914636296e-08,Fiber-SANDiff,0,20260920,strong
0.0,1.9003887352653237e-10,1,8.785466576455292e-08,2.1796448423927473e-08,HEAD_ONLY,0,20260921,na
0.0,2.7100033328508744e-10,1,1.2743880928312024e-07,3.590837927003321e-08,Fiber-OneStep,0,20260921,weak
0.0,1.8331752782430044e-10,1,1.7586627709675895e-07,3.4096466983157825e-08,Fiber-OneStep,0,20260921,medium
0.0,1.2892165113242982e-10,1,1.309668142823739e-07,2.7465989482777786e-08,Fiber-OneStep,0,20260921,strong
0.0,-5.332262409396549e-11,1,1.4338490039733642e-07,3.5237507467478224e-08,Fiber-SANDiff,0,20260921,weak
0.0,5.209060405242383e-10,1,1.5401297570605266e-07,3.5534262310399356e-08,Fiber-SANDiff,0,20260921,medium
0.0,4.208611237288551e-11,1,1.8538359469744137e-07,4.0227714381835256e-08,Fiber-SANDiff,0,20260921,strong
0.0,-1.7573595356701333e-11,2,2.2353435102928643e-08,6.88462031828152e-09,HEAD_ONLY,0,20260920,na
0.0,-4.7392867408291295e-11,2,4.71882586339234e-08,1.1493298646136907e-08,Fiber-OneStep,0,20260920,weak
0.0,2.7526467216709705e-11,2,3.785130786582158e-08,9.654048338525456e-09,Fiber-OneStep,0,20260920,medium
0.0,8.179186494761126e-11,2,3.860717945336489e-08,8.480958268997085e-09,Fiber-OneStep,0,20260920,strong
0.0,1.0607098532844361e-11,2,3.8591849715885473e-08,1.0794645066702913e-08,Fiber-SANDiff,0,20260920,weak
0.0,-2.5971572115146557e-11,2,5.295399452265315e-08,8.98372648494572e-09,Fiber-SANDiff,0,20260920,medium
0.0,-5.476355480205086e-11,2,5.4278857408718295e-08,1.0689844454070396e-08,Fiber-SANDiff,0,20260920,strong
0.0,1.548020045483156e-11,2,6.257983065083295e-08,9.645425680382402e-09,HEAD_ONLY,0,20260921,na
0.0,1.502165891675844e-10,2,1.3183949931772077e-07,2.1591643584173426e-08,Fiber-OneStep,0,20260921,weak
0.0,-2.3902205215087236e-10,2,9.47846574561595e-08,2.8573976518231348e-08,Fiber-OneStep,0,20260921,medium
0.0,-1.1650508335847576e-10,2,1.4402405579261313e-07,2.038679280946809e-08,Fiber-OneStep,0,20260921,strong
0.0,6.829259380225494e-11,2,1.3210204219404886e-07,3.192003983354397e-08,Fiber-SANDiff,0,20260921,weak
0.0,-4.10518008475691e-11,2,1.6309292938387898e-07,2.9386069411163618e-08,Fiber-SANDiff,0,20260921,medium
0.0,-4.0178507743071634e-10,2,1.4765299560792755e-07,4.796175168131356e-08,Fiber-SANDiff,0,20260921,strong
