method,strength,conditional_covariance_relative_frobenius,conditional_energy_distance,conditional_mmd_rbf,fiber_variance_retained
Fiber-OneStep,weak,0.5136408250962156,0.5999900710786933,0.023421538490830975,0.5355734272125616
Fiber-OneStep,medium,0.8256522886726397,2.323198585884213,0.09741550182879827,0.2620727833365247
Fiber-OneStep,strong,0.9410619508007079,4.2914201924706115,0.15603034043113936,0.17997641869904135
Fiber-SANDiff,weak,0.49434795909770407,0.5452220815058778,0.019708518524392343,0.598306208262329
Fiber-SANDiff,medium,0.7341526684675698,1.3181157759724984,0.05236520250162769,0.5220974548568168
Fiber-SANDiff,strong,0.912793418606257,1.6716433636878667,0.06059215598924111,0.7840084048018473
