method,strength,folds,seeds,fixed_head_balanced_accuracy,retrained_head_balanced_accuracy,calibration_error,worst_participant_accuracy,between_participant_variance,linear_subject_probe_balanced_accuracy,adaptive_subject_attack_balanced_accuracy,cross_session_verification_balanced_accuracy,cross_session_same_different_auroc
RAW,na,3,2,0.3586033950617284,0.35455246913580246,0.29655864426613227,0.2615740740740741,0.008801788623113855,0.7417052469135803,0.7411265432098766,0.6537422839506174,0.6308054731591276
HEAD_ONLY,na,3,2,0.3586033950617284,0.35648148148148145,0.29655864573210294,0.2615740740740741,0.008801788623113855,0.5470679012345679,0.5621141975308642,0.5455246913580247,0.5990268581862304
LEACE,na,3,2,0.355516975308642,0.349729938271605,0.2988012074377894,0.27777777777777773,0.006103180727023319,0.6689814814814815,0.6583719135802469,0.5397376543209876,0.5779138525416059
Fiber-OneStep,weak,3,2,0.3586033950617284,0.35455246913580246,0.2965586474280299,0.2615740740740741,0.008801788623113855,0.742283950617284,0.7403549382716049,0.6332947530864197,0.6321060024563795
Fiber-OneStep,medium,3,2,0.3586033950617284,0.355516975308642,0.2965586392013471,0.2615740740740741,0.008801788623113855,0.7347608024691358,0.7158564814814815,0.5966435185185186,0.623935995920461
Fiber-OneStep,strong,3,2,0.3586033950617284,0.3591820987654321,0.29655863851722747,0.2615740740740741,0.008801788623113855,0.5570987654320988,0.57445987654321,0.5515046296296297,0.609631460181064
Fiber-SANDiff,weak,3,2,0.3586033950617284,0.3522376543209876,0.2965586441339074,0.2615740740740741,0.008801788623113855,0.726466049382716,0.7158564814814815,0.6219135802469136,0.6247131843934083
Fiber-SANDiff,medium,3,2,0.3586033950617284,0.3541666666666667,0.29655863712024355,0.2615740740740741,0.008801788623113855,0.6732253086419754,0.6186342592592592,0.5646219135802469,0.600336042798918
Fiber-SANDiff,strong,3,2,0.3586033950617284,0.35011574074074076,0.29655864771547513,0.2615740740740741,0.008801788623113855,0.5260416666666666,0.5345293209876544,0.5244984567901234,0.579261573326828
V33P_one_step_strong,strong,3,2,0.35378086419753085,0.3549382716049383,0.3788142616768586,0.29224537037037035,0.0047073259602194795,0.6724537037037037,0.657986111111111,0.5447530864197531,0.5832206275573403
V33P_SANDiff_strong,strong,3,2,0.3528163580246913,0.35358796296296297,0.45632569433799314,0.28935185185185186,0.0050040455675582985,0.6766975308641975,0.6612654320987653,0.5437885802469135,0.5750940844159441
