fold,subject,role
0,1,outer_test
0,2,outer_test
0,3,outer_test
0,4,stage_A_validation__stage_B_refit
0,5,stage_A_validation__stage_B_refit
0,6,stage_A_validation__stage_B_refit
0,7,stage_A_train__stage_B_refit
0,8,stage_A_train__stage_B_refit
0,9,stage_A_train__stage_B_refit
1,1,stage_A_train__stage_B_refit
1,2,stage_A_train__stage_B_refit
1,3,stage_A_train__stage_B_refit
1,4,outer_test
1,5,outer_test
1,6,outer_test
1,7,stage_A_validation__stage_B_refit
1,8,stage_A_validation__stage_B_refit
1,9,stage_A_validation__stage_B_refit
2,1,stage_A_validation__stage_B_refit
2,2,stage_A_validation__stage_B_refit
2,3,stage_A_validation__stage_B_refit
2,4,stage_A_train__stage_B_refit
2,5,stage_A_train__stage_B_refit
2,6,stage_A_train__stage_B_refit
2,7,outer_test
2,8,outer_test
2,9,outer_test
