batch_size,fold,median_ms,method,p95_ms,parameters,peak_gpu_memory_bytes,seed
1,0,0.23306900402531028,Fiber-OneStep,0.263931998051703,99709,23247872,20260920
64,0,0.23112742928788066,Fiber-OneStep,0.2602562715765089,99709,23409152,20260920
1,0,9.177340485621244,Fiber-SANDiff,9.350590960821137,474077,23251456,20260920
64,0,9.604251012206078,Fiber-SANDiff,9.75225453148596,474077,23572480,20260920
1,0,0.3582819481380284,Fiber-OneStep,0.3894151246640831,99709,23247872,20260921
64,0,0.34710002364590764,Fiber-OneStep,0.39185568457469344,99709,23409152,20260921
1,0,8.256534463725984,Fiber-SANDiff,8.321362128481269,474077,23251456,20260921
64,0,8.566160046029836,Fiber-SANDiff,8.675220480654389,474077,23572480,20260921
1,1,0.33130100928246975,Fiber-OneStep,0.35791589180007577,99709,23247872,20260920
64,1,0.34859206061810255,Fiber-OneStep,0.38476897752843797,99709,23409152,20260920
1,1,7.810931478161365,Fiber-SANDiff,7.901067181956023,474077,23251456,20260920
64,1,8.452439506072551,Fiber-SANDiff,8.609784062718973,474077,23572480,20260920
1,1,0.18635950982570648,Fiber-OneStep,0.22888260427862406,99709,23247872,20260921
64,1,0.18460152205079794,Fiber-OneStep,0.21799865644425154,99709,23409152,20260921
1,1,8.573667029850185,Fiber-SANDiff,8.669392601586878,474077,23251456,20260921
64,1,9.007651009596884,Fiber-SANDiff,9.088377573061734,474077,23572480,20260921
1,2,0.19393395632505417,Fiber-OneStep,0.22205498535186052,99709,23247872,20260920
64,2,0.18905499018728733,Fiber-OneStep,0.21574904676526785,99709,23409152,20260920
1,2,8.813312044367194,Fiber-SANDiff,8.878427708987147,474077,23251456,20260920
64,2,9.182329406030476,Fiber-SANDiff,9.273399959784001,474077,23572480,20260920
1,2,0.24016050156205893,Fiber-OneStep,0.2676339936442673,99709,23247872,20260921
64,2,0.23885047994554043,Fiber-OneStep,0.26418527122586966,99709,23409152,20260921
1,2,9.44663694826886,Fiber-SANDiff,9.8688222351484,474077,23251456,20260921
64,2,9.776391554623842,Fiber-SANDiff,9.966689546126872,474077,23572480,20260921
