fold,model,path,seed,selected_epoch,sha256,training_subjects
0,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_0_seed_20260920/stage_b/Fiber-OneStep.pt,20260920,10,866d92a73992cf669b142471ab0eb87cd14c62992e7bbebaefce3e7f72e54c2d,4;5;6;7;8;9
0,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_0_seed_20260920/stage_b/Fiber-SANDiff.pt,20260920,40,ee9a98f825606f71c913de0021d5956d7796259cb6bdf8513baecbce26b5a148,4;5;6;7;8;9
0,V33P_stage_A_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260920/stage_a_eegnet.pt,20260920,frozen,a44b145d3a35505e041e5d22b815d806bdb856fc91bad6e5a28e522ade1d454c,7;8;9
0,V33P_full_pool_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260920/eegnet_full_pool.pt,20260920,frozen,a88a80787af433b827cea70ea518995adc8ab4a534ed10a0c896ec6599339daa,4;5;6;7;8;9
0,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_0_seed_20260921/stage_b/Fiber-OneStep.pt,20260921,50,01b7a19b14228a9b1c504fcde91f7628c39ab5269bc1dbe87d55a9417295102a,4;5;6;7;8;9
0,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_0_seed_20260921/stage_b/Fiber-SANDiff.pt,20260921,60,ee2bd0233f77500e4af7188f17d540284220c29d9bd9e49eb15b163e96fb92b7,4;5;6;7;8;9
0,V33P_stage_A_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260921/stage_a_eegnet.pt,20260921,frozen,e4a2e20543a6a71268f74f53c2f6144036179c7bc09ab3f70da0db83e26e389e,7;8;9
0,V33P_full_pool_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_0_seed_20260921/eegnet_full_pool.pt,20260921,frozen,ddc6f4a71b1b4a8412932e06e5824d478300e7ad3bf1793632c04a40b9b629c3,4;5;6;7;8;9
1,Fiber-OneStep,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_1_seed_20260920/stage_b/Fiber-OneStep.pt,20260920,80,b2bf9baac129665bb3a0201c507d8b98ffc24187488844416e60870a2dd28db2,1;2;3;7;8;9
1,Fiber-SANDiff,/home/infres/yinwang/denoiseNet_fiber_sandiff_v34p/results/fiber_sandiff_v34p/runtime/fold_1_seed_20260920/stage_b/Fiber-SANDiff.pt,20260920,80,d83c6be3e22b49efb8839251ee23d98e1459fc187870340b2069cc84f4349240,1;2;3;7;8;9
1,V33P_stage_A_EEGNet,/home/infres/yinwang/denoiseNet_sandiff_consolidation_v33p/results/sandiff_v33p/runtime/fold_1_seed_20260920/stage_a_eegnet.pt,20260920,frozen,2956e2bc2ef1f4deb6e304bbb778a8619bb1415c858212d5eee1f6e2a2d73aa6,1;2;3
