kind,restoration_validation_mse,step,training_loss
diffusion,0.3063469123095274,500,0.04632711410522461
diffusion,0.22216034028679132,1000,0.043030086904764175
diffusion,0.18565817214548588,1500,0.03018437884747982
diffusion,0.16891420334577562,2000,0.03591995686292648
diffusion,0.1617869961075485,2500,0.03959441930055618
diffusion,0.15769534446299077,3000,0.03543460741639137
diffusion,0.15926125794649124,3500,0.03047458827495575
diffusion,0.15729715721681714,4000,0.027174239978194237
diffusion,0.16107128141447902,4500,0.02047145366668701
diffusion,0.1596127027645707,5000,0.02315305918455124
diffusion,0.15724320588633417,5500,0.029940703883767128
diffusion,0.15809451397508384,6000,0.0326506532728672
diffusion,0.1580019540153444,6500,0.032887671142816544
diffusion,0.15871772365644574,7000,0.02751072309911251
diffusion,0.15959988655522467,7500,0.03162183612585068
diffusion,0.15848868219181894,8000,0.018247198313474655
diffusion,0.16037889290601015,8500,0.01882321387529373
diffusion,0.16107187950983642,9000,0.021059436723589897
diffusion,0.15653525292873383,9500,0.018777314573526382
diffusion,0.15787328742444515,10000,0.021364862099289894
diffusion,0.15776599356904625,10500,0.028690045699477196
diffusion,0.15731274047866464,11000,0.02321149967610836
diffusion,0.15814234213903547,11500,0.031035324558615685
diffusion,0.1554193828254938,12000,0.028387878090143204
