mask_id,physio_development_owner,source_family,source_channels,source_time_fraction,target_channels,target_channel_names,target_start,target_end,physio_waveform_used
0,1,head_motion,23,0.5,20,Fz;F1;F2;Fcz;Fc1;Fc2;F3;F4;Af3;Af4;Fpz;Cz;Fc3;Fc4;Fp1;Fp2;C1;C2;F5;F6,50,150,0
1,1,swallowing,34,0.5,20,C5;C3;T7;Fc5;Cp5;Ft7;Tp7;Cp3;Fc3;C1;Fc1;Cp1;F7;P7;P5;F5;F3;P3;Cz;F1,50,150,0
2,1,swallowing,34,0.5,20,Tp7;Cp5;T7;P7;C5;P5;Cp3;C3;P3;Ft7;Po7;Fc5;Cp1;Fc3;C1;Po3;F7;O1;Fc1;Pz,50,150,0
3,2,tongue,9,0.288,15,C5;C3;T7;Fc5;Cp5;Ft7;Tp7;Cp3;Fc3;C1;Fc1;Cp1;F7;P7;P5,71,129,0
4,2,facial_emg,16,0.5,20,F5;F7;Af7;F3;Fc5;Af3;Fc3;Ft7;F1;Fp1;Fc1;C5;C3;Fz;T7;C1;Fcz;Fpz;F2;Cz,50,150,0
5,2,tongue,12,0.428,20,Tp8;Cp6;T8;P8;C6;P6;Cp4;C4;P4;Ft8;Po8;Fc6;Cp2;Fc4;C2;Po4;F8;O2;Fc2;Pz,57,143,0
6,2,tongue,12,0.404,20,Fc4;Fc6;Fc2;C4;F4;C2;F2;C6;F6;F8;Fcz;Ft8;Fz;Af4;Cp4;Cz;Af8;Cp2;Cp6;T8,60,140,0
7,2,head_motion,24,0.5,20,F1;Fz;F3;Fc1;Af3;Fcz;Fc3;F2;Fp1;F5;Fc2;Af7;C1;Fpz;Cz;Fc5;F4;C3;Af4;F7,50,150,0
8,2,tongue,13,0.404,20,Po7;P5;Po3;P7;O1;P3;Cp5;Cp3;Poz;Tp7;Oz;Cp1;Pz;C3;C5;C1;T7;O2;Po4;Cp2,60,140,0
9,2,tongue,11,0.316,18,C5;C3;T7;Fc5;Cp5;Ft7;Tp7;Cp3;Fc3;C1;Fc1;Cp1;F7;P7;P5;F5;F3;P3,68,132,0
10,2,tongue,11,0.404,18,Cp5;Cp3;Tp7;C5;P5;C3;P7;P3;T7;Cp1;C1;Po7;Fc5;Fc3;Po3;Ft7;Fc1;Pz,60,140,0
11,6,facial_emg,18,0.5,20,C4;C6;C2;Cp4;Fc4;Fc6;Cp6;Cp2;Fc2;Cz;T8;Tp8;Ft8;Fcz;F4;P4;F2;P6;F6;P8,50,150,0
12,6,head_motion,7,0.392,12,Po8;P6;Po4;P8;O2;P4;Cp6;Cp4;Poz;Oz;Tp8;Cp2,61,139,0
13,6,head_motion,16,0.5,20,C6;C4;T8;Fc6;Cp6;Ft8;Tp8;Cp4;Fc4;C2;Fc2;Cp2;F8;P8;P6;F6;F4;P4;Cz;F2,50,150,0
14,8,tongue,12,0.188,20,Cz;Fcz;C1;C2;Cp1;Cp2;Fc1;Fc2;Pz;Fz;C3;C4;F1;F2;Fc3;Fc4;Cp3;Cp4;F3;F4,81,119,0
15,8,head_motion,9,0.364,15,C5;C3;T7;Fc5;Cp5;Ft7;Tp7;Cp3;Fc3;C1;Fc1;Cp1;F7;P7;P5,64,136,0
16,8,head_motion,9,0.216,15,Pz;Cp2;Cp1;Poz;P4;P3;Cz;Po4;Po3;Cp4;Cp3;C2;C1;Oz;O2,78,122,0
17,8,tongue,7,0.284,12,T8;C6;Ft8;Tp8;Fc6;Cp6;C4;Cp4;Fc4;F8;P8;P6,72,128,0
18,8,facial_emg,14,0.5,20,T8;C6;Ft8;Tp8;Fc6;Cp6;C4;Cp4;Fc4;F8;P8;P6;F6;C2;Fc2;Cp2;F4;P4;Af8;Po8,50,150,0
19,8,head_motion,22,0.5,20,Fc4;Fc6;Fc2;C4;F4;C2;F2;C6;F6;F8;Fcz;Ft8;Fz;Af4;Cp4;Cz;Af8;Cp2;Cp6;T8,50,150,0
20,8,tongue,8,0.292,13,Fc2;Fcz;Fc4;F2;C2;Fz;F4;Cz;C4;Fc6;Fc1;F1;Cp2,71,129,0
21,10,facial_emg,16,0.5,20,O2;Po4;Oz;Po8;Poz;P4;P6;Pz;P8;O1;Po3;Cp2;Cp4;Cp6;P3;Cp1;Tp8;Po7;C2;C4,50,150,0
22,11,tongue,7,0.324,12,F1;Fz;F3;Fc1;Af3;Fcz;Fc3;F2;Fp1;F5;Fc2;Af7,68,132,0
23,14,head_motion,12,0.5,20,O1;Po3;Po7;Oz;Poz;P3;P5;Pz;P7;O2;Po4;Cp1;Cp3;Cp5;P4;Cp2;Tp7;Po8;C1;C3,50,150,0
24,18,swallowing,9,0.5,15,Ft7;Fc5;T7;F7;C5;F5;Fc3;C3;F3;Af7;Tp7;Cp5;Fc1;Cp3;C1,50,150,0
25,18,head_motion,21,0.5,20,Fc2;Fcz;Fc4;F2;C2;Fz;F4;Cz;C4;Fc6;Fc1;F1;Cp2;Af4;C1;F6;Cp4;C6;Af8;F8,50,150,0
26,21,chewing,34,0.5,20,T8;C6;Ft8;Tp8;Fc6;Cp6;C4;Cp4;Fc4;F8;P8;P6;F6;C2;Fc2;Cp2;F4;P4;Af8;Po8,50,150,0
27,21,head_motion,21,0.5,20,Po8;P6;Po4;P8;O2;P4;Cp6;Cp4;Poz;Oz;Tp8;Cp2;Pz;C4;C6;C2;T8;O1;Po3;Cp1,50,150,0
28,21,head_motion,17,0.5,20,C4;C6;C2;Cp4;Fc4;Fc6;Cp6;Cp2;Fc2;Cz;T8;Tp8;Ft8;Fcz;F4;P4;F2;P6;F6;P8,50,150,0
29,22,head_motion,16,0.5,20,Poz;Oz;Pz;Po4;Po3;O2;O1;P4;P3;Cp2;Cp1;Po8;Po7;P6;P5;Cp4;Cp3;Cz;C2;C1,50,150,0
30,22,head_motion,21,0.5,20,F8;F6;Af8;Ft8;Fc6;F4;Fc4;Af4;C6;Fp2;T8;F2;C4;Fc2;C2;Fz;Cp6;Fcz;Fpz;Tp8,50,150,0
31,23,chewing,34,0.5,20,Fc2;Fcz;Fc4;F2;C2;Fz;F4;Cz;C4;Fc6;Fc1;F1;Cp2;Af4;C1;F6;Cp4;C6;Af8;F8,50,150,0
32,26,facial_emg,14,0.5,20,Fc3;Fc5;Fc1;C3;F3;C1;F1;C5;F5;F7;Fcz;Ft7;Fz;Af3;Cp3;Cz;Af7;Cp1;Cp5;T7,50,150,0
33,26,head_motion,3,0.5,5,Oz;Poz;O2;O1;Po4,50,150,0
34,27,head_motion,19,0.5,20,F5;F7;Af7;F3;Fc5;Af3;Fc3;Ft7;F1;Fp1;Fc1;C5;C3;Fz;T7;C1;Fcz;Fpz;F2;Cz,50,150,0
35,27,head_motion,22,0.5,20,Poz;Oz;Pz;Po4;Po3;O2;O1;P4;P3;Cp2;Cp1;Po8;Po7;P6;P5;Cp4;Cp3;Cz;C2;C1,50,150,0
36,29,head_motion,10,0.5,17,O2;Po4;Oz;Po8;Poz;P4;P6;Pz;P8;O1;Po3;Cp2;Cp4;Cp6;P3;Cp1;Tp8,50,150,0
37,30,tongue,6,0.5,10,C3;C5;C1;Cp3;Fc3;Fc5;Cp5;Cp1;Fc1;Cz,50,150,0
38,30,head_motion,1,0.5,2,Cp3;Cp5,50,150,0
39,30,head_motion,18,0.5,20,Oz;Poz;O2;O1;Po4;Po3;Pz;P4;P3;Po8;Po7;P6;P5;Cp1;Cp2;Cp3;Cp4;P8;P7;Cp6,50,150,0
