outer_fold,participant,role
0,1,evaluation
1,1,outer_training
2,1,outer_training
3,1,outer_training
4,1,outer_training
0,2,outer_training
1,2,evaluation
2,2,outer_training
3,2,outer_training
4,2,outer_training
0,3,outer_training
1,3,outer_training
2,3,evaluation
3,3,outer_training
4,3,outer_training
0,4,outer_training
1,4,outer_training
2,4,outer_training
3,4,evaluation
4,4,outer_training
0,5,outer_training
1,5,outer_training
2,5,outer_training
3,5,outer_training
4,5,evaluation
0,6,evaluation
1,6,outer_training
2,6,outer_training
3,6,outer_training
4,6,outer_training
0,7,outer_training
1,7,evaluation
2,7,outer_training
3,7,outer_training
4,7,outer_training
0,8,outer_training
1,8,outer_training
2,8,evaluation
3,8,outer_training
4,8,outer_training
0,9,outer_training
1,9,outer_training
2,9,outer_training
3,9,evaluation
4,9,outer_training
0,10,outer_training
1,10,outer_training
2,10,outer_training
3,10,outer_training
4,10,evaluation
0,11,evaluation
1,11,outer_training
2,11,outer_training
3,11,outer_training
4,11,outer_training
0,12,outer_training
1,12,evaluation
2,12,outer_training
3,12,outer_training
4,12,outer_training
0,13,outer_training
1,13,outer_training
2,13,evaluation
3,13,outer_training
4,13,outer_training
0,14,outer_training
1,14,outer_training
2,14,outer_training
3,14,evaluation
4,14,outer_training
0,15,outer_training
1,15,outer_training
2,15,outer_training
3,15,outer_training
4,15,evaluation
