common_xy_hash,eog_owner,fallback,fold,operator_recipient,pair,participant,query_operator_evaluator_only,session,split,support_query_disjoint,task,three_way_disjoint,wrong_owner,x_owner,zero_artifact
ab61b684e976f4e2a196026593fe83af939181c81c3910945282b1fb92e99429,sub-14,0,0,sub-11,0,sub-11,1,ses-02,train,1,ERP,1,sub-12,sub-12,0
280bbf5ff29b4cd06371e276726fe5719e4bb33d50e6d38628aa5c9cf31a52e3,sub-15,0,0,sub-11,1,sub-11,1,ses-02,train,1,ERP,1,sub-14,sub-14,0
b62a16d1d726087b8df1b6504fcc5218030d69b1da027cb0f64842dacd5cdbd6,sub-17,0,0,sub-11,2,sub-11,1,ses-02,train,1,ERP,1,sub-15,sub-15,0
4f9df20946c1b1aec9127c8f8baf5bf087aab4332afabc360de78d26037779fa,sub-18,0,0,sub-11,3,sub-11,1,ses-02,train,1,ERP,1,sub-17,sub-17,0
cd5a64fa50cc5c1076098bb0693f4feab8da6e3900f7b01ca8ba9a38bc56b356,sub-19,0,0,sub-11,4,sub-11,1,ses-02,train,1,ERP,1,sub-18,sub-18,1
72522e530887e53d4af1d619218813cb40234b607b4424482e5ebbfca68b957c,sub-21,0,0,sub-11,5,sub-11,1,ses-02,train,1,ERP,1,sub-19,sub-19,0
f067b7cfcda3c0822082054ddb970e6caab4acc11ddd27063122b61d2e488c6e,sub-23,0,0,sub-11,6,sub-11,1,ses-02,train,1,ERP,1,sub-21,sub-21,0
0fa491ad28bdf9a1571cd60927026367fec64620021fb7b8b8e436ae4fece084,sub-12,0,0,sub-11,7,sub-11,1,ses-02,train,1,ERP,1,sub-23,sub-23,0
0e92d0f80f50c717349938c4dfaa47c5a525c3b043413956f67ec5536d6ab482,sub-14,0,0,sub-11,8,sub-11,1,ses-02,train,1,ERP,1,sub-12,sub-12,0
0fd8b123601043e66dd82285e98a0febcebb9159c101e1c957e73ba1331ce5ab,sub-15,0,0,sub-11,9,sub-11,1,ses-02,train,1,ERP,1,sub-14,sub-14,0
d6d2b4ada901b60123ab2e29acbf69259e7bc34994d9e47410eb90413a6f6946,sub-17,0,0,sub-11,10,sub-11,1,ses-02,train,1,ERP,1,sub-15,sub-15,0
960870bc41c3fd3038fd2b74fea2787198566f408fed58222082b38c46a8e17a,sub-18,0,0,sub-11,11,sub-11,1,ses-02,train,1,ERP,1,sub-17,sub-17,0
debb44b3c08b2cc2f01528df75f8aa697c72459e3e6ffe822da3a147cbaece47,sub-19,0,0,sub-11,12,sub-11,1,ses-02,train,1,ERP,1,sub-18,sub-18,1
ccb0d3bf50904878292356da5d8f40b6797fdd0798b5ff6e897e9229fd2918b1,sub-21,0,0,sub-11,13,sub-11,1,ses-02,train,1,ERP,1,sub-19,sub-19,0
e742a2abe6924b3865c775d173a22fdb05dc2e7af8594809ec1389ce7de9e514,sub-23,0,0,sub-11,14,sub-11,1,ses-02,train,1,ERP,1,sub-21,sub-21,0
88cd7c20ea0eb3956c497a214e602f5ae5d809a16c0166f11c005db7ce753946,sub-12,0,0,sub-11,15,sub-11,1,ses-02,train,1,ERP,1,sub-23,sub-23,0
420b45080b4e71357cba9d6c7934c2280932c34d5ab88909fb341579426e1780,sub-14,0,0,sub-11,16,sub-11,1,ses-02,train,1,ERP,1,sub-12,sub-12,0
e173c239ac3839c524c2853c3414db4ccf1f64cb05917914c40160fbbc772ddf,sub-15,0,0,sub-11,17,sub-11,1,ses-02,train,1,ERP,1,sub-14,sub-14,0
8e4973620d7fee16273c7dbd3f5d896a1c568f82721232a7fd6ecb6ae629bfb2,sub-17,0,0,sub-11,18,sub-11,1,ses-02,train,1,ERP,1,sub-15,sub-15,0
109207e57168bb3a508b33098d3d963ebc7b486b834af63ee836c8fbc8d8df1d,sub-18,0,0,sub-11,19,sub-11,1,ses-02,train,1,ERP,1,sub-17,sub-17,0
2a44bb56867e5563cad3259fbacfadb1e839e8a9ffaa058d509cca3a506033af,sub-19,0,0,sub-11,20,sub-11,1,ses-02,train,1,ERP,1,sub-18,sub-18,0
6899cb2c2d3d6adadcc6fa66d804a1df3224df54e187ae63ae42b2b067d99080,sub-21,0,0,sub-11,21,sub-11,1,ses-02,train,1,ERP,1,sub-19,sub-19,0
8dca9d9ebf6d82feff9e76598185c4e364102aadfc8dd5ce4d70c0b772904971,sub-23,0,0,sub-11,22,sub-11,1,ses-02,train,1,ERP,1,sub-21,sub-21,0
60cd1e92fe0b585e2acfd479be660191ccf3d148ab1cf50bb16db95b7cb606ac,sub-12,0,0,sub-11,23,sub-11,1,ses-02,train,1,ERP,1,sub-23,sub-23,0
42989a33d959306e72881f475e90283a06b8547dc3dae9624543eaf29b064ee2,sub-14,0,0,sub-11,0,sub-11,1,ses-02,train,1,SSVEP,1,sub-12,sub-12,0
c22c874e8f8239231a9f83a4a9085d0feb384d91879d067b8c50f66431784c7e,sub-15,0,0,sub-11,1,sub-11,1,ses-02,train,1,SSVEP,1,sub-14,sub-14,0
fdfc1e4450d91b80f864a44bc3336d1cdd9b150914ac4ed7e03f120ce11e0b10,sub-17,0,0,sub-11,2,sub-11,1,ses-02,train,1,SSVEP,1,sub-15,sub-15,0
2964d6f20a6914729a4e37bb15b31512e20ef73df83baccf0632a101f7b97194,sub-18,0,0,sub-11,3,sub-11,1,ses-02,train,1,SSVEP,1,sub-17,sub-17,0
c67b8b1ac3522b1654cc16f63d0de029049f908b2434d1ab212d385963b11cc9,sub-19,0,0,sub-11,4,sub-11,1,ses-02,train,1,SSVEP,1,sub-18,sub-18,0
1065481286d8c2c5edd1f1fdd4e2c5f2e565024686b458b10e96588d7620a28d,sub-21,0,0,sub-11,5,sub-11,1,ses-02,train,1,SSVEP,1,sub-19,sub-19,0
bfa77b6d80ae76a9b871d9b385731f99fe9358d9ea7cb3c4b0a90d177b671c47,sub-23,0,0,sub-11,6,sub-11,1,ses-02,train,1,SSVEP,1,sub-21,sub-21,0
6137ff1f91db946878563016ac939a8805a90abb6d861df102c4a87fa41a4b7e,sub-12,0,0,sub-11,7,sub-11,1,ses-02,train,1,SSVEP,1,sub-23,sub-23,0
ba5b94b41a32bb100095ba7b5ac1ffc61a0b5565ce2a9bc9eb56e75be3097cbd,sub-14,0,0,sub-11,8,sub-11,1,ses-02,train,1,SSVEP,1,sub-12,sub-12,0
b20f5f4b24880d8b4a4445a2bfbbea8b935d5e931e5bee0167b766394a28a14f,sub-15,0,0,sub-11,9,sub-11,1,ses-02,train,1,SSVEP,1,sub-14,sub-14,0
dd1d8c94194442540aa67b1e3740a5e9becff32396ba4dd3ac42860889076f04,sub-17,0,0,sub-11,10,sub-11,1,ses-02,train,1,SSVEP,1,sub-15,sub-15,0
19c58bb0a6ad365dfe404ed846e641356a33309e3a016d97c78bf63dceba7316,sub-18,0,0,sub-11,11,sub-11,1,ses-02,train,1,SSVEP,1,sub-17,sub-17,0
fbb6ef80e91d669ef19de7f7beed73c443de4610ac3b97c2d998cd0f8873139f,sub-19,0,0,sub-11,12,sub-11,1,ses-02,train,1,SSVEP,1,sub-18,sub-18,0
be02669767007be6c6411c283cd054d3729f1fafa3be25200d75cf0948eb4089,sub-21,0,0,sub-11,13,sub-11,1,ses-02,train,1,SSVEP,1,sub-19,sub-19,0
d6f3ee98a043c58420ab281ccfc1fabfa71d8cd43cc4efa2778ceb4a21f79435,sub-23,0,0,sub-11,14,sub-11,1,ses-02,train,1,SSVEP,1,sub-21,sub-21,0
f8f85d8cde5781ada799a2993cc076ee2b859c42d036a968cd8a6173e3a30bd8,sub-12,0,0,sub-11,15,sub-11,1,ses-02,train,1,SSVEP,1,sub-23,sub-23,0
943af64967f6338f5de95d12047263c175869421d5f27ba81a3dc199bd4d7358,sub-14,0,0,sub-11,16,sub-11,1,ses-02,train,1,SSVEP,1,sub-12,sub-12,0
0aa20094aa13794e5396ec9601321e50c1907c4581851dd2112671c97d826393,sub-15,0,0,sub-11,17,sub-11,1,ses-02,train,1,SSVEP,1,sub-14,sub-14,0
a0edb5c26d5d967972e0345918a126bb98ab37f2a63eb4b28c3300cb6676be90,sub-17,0,0,sub-11,18,sub-11,1,ses-02,train,1,SSVEP,1,sub-15,sub-15,0
632d9dfcf1e9ef451ce92d9d8e88ace58df128b1636b1fc66823ea0dddb84d3d,sub-18,0,0,sub-11,19,sub-11,1,ses-02,train,1,SSVEP,1,sub-17,sub-17,0
a9b18ec335c3f5bd5bd59e515685a72029d45622d1e81aa85393c5753f84e0b3,sub-19,0,0,sub-11,20,sub-11,1,ses-02,train,1,SSVEP,1,sub-18,sub-18,0
7d7aa43471a8beb8d1b2ba3a91769c1b3cdd4569ef3aa1fcbe2700f23e33a91d,sub-21,0,0,sub-11,21,sub-11,1,ses-02,train,1,SSVEP,1,sub-19,sub-19,1
68bd0fd821e63782c7813fc44517031cebfb71bfaee89437db264aeba5e1bfb9,sub-23,0,0,sub-11,22,sub-11,1,ses-02,train,1,SSVEP,1,sub-21,sub-21,1
9b7c097191b918eea41a2052c8e68cec43370aeaa8714d9949def23d3e8fc9de,sub-12,0,0,sub-11,23,sub-11,1,ses-02,train,1,SSVEP,1,sub-23,sub-23,0
c29e214697a9827f4eff375aee24c42d90f4b4600090b909a2c3f8ccdc2be8aa,sub-14,0,0,sub-11,0,sub-11,1,ses-03,train,1,ERP,1,sub-12,sub-12,0
150e73e8d58a5ecdb5f28d101df075ed4753856cedb69cd469124133afb9f492,sub-15,0,0,sub-11,1,sub-11,1,ses-03,train,1,ERP,1,sub-14,sub-14,0
59bd0b0dfd74936893e9e68ecfc0971fea1b98bc9fa798277a1e8ecb0b3ceecb,sub-17,0,0,sub-11,2,sub-11,1,ses-03,train,1,ERP,1,sub-15,sub-15,0
61cadfd55ff91fd5b6f448448f3c931e66088e5660ffb3042e3fccc5c740de7e,sub-18,0,0,sub-11,3,sub-11,1,ses-03,train,1,ERP,1,sub-17,sub-17,0
c66c41cacb92f84703fd7a820af5b6bc1d1fc6aff10e95b0ee154219fa85af80,sub-19,0,0,sub-11,4,sub-11,1,ses-03,train,1,ERP,1,sub-18,sub-18,0
cce914c39be8c717ef2a0ecab362832c21a663fb44ba57835bcfc8fc5a871986,sub-21,0,0,sub-11,5,sub-11,1,ses-03,train,1,ERP,1,sub-19,sub-19,0
0a8c6862412d0106326eea147b6a8f7b0466ba8a03dd6a6fda76021bc2f20a2d,sub-23,0,0,sub-11,6,sub-11,1,ses-03,train,1,ERP,1,sub-21,sub-21,0
8d6a90ef8bb45e08435738912514e9b2baba8541c4d02a8b81f9fc0554245f29,sub-12,0,0,sub-11,7,sub-11,1,ses-03,train,1,ERP,1,sub-23,sub-23,0
51088c728a0419f8ad11683d404b1675d7ed39959bdc6ae2fae7f37a8799957f,sub-14,0,0,sub-11,8,sub-11,1,ses-03,train,1,ERP,1,sub-12,sub-12,1
031af82bd373c12943c7804bc2b8943cbf44bc761501311de9d2f4c51dc2b7ed,sub-15,0,0,sub-11,9,sub-11,1,ses-03,train,1,ERP,1,sub-14,sub-14,0
3c4385382de6233874d0abebb342577027faf58390b4f9292bc78867d879f43a,sub-17,0,0,sub-11,10,sub-11,1,ses-03,train,1,ERP,1,sub-15,sub-15,0
