array_task,checkpoint,checkpoint_sha256,device,fold,implementation_commit,kind,parameters,seed,training_job,training_seconds,updates,variant
0,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/det/fold_0/seed_20260808.pt,7be542f215b5d39796ecc578a02cb727339ee809bc766d39159e072b768d06c8,NVIDIA L40S,0,e7ca1e756da0ed704a903687662ee3116bf2be76,det,886094,20260808,935275,46.51114273071289,1200,canonical
1,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/det/fold_0/seed_20260810.pt,c0cac63d5f824d38a62bb6e9fb0e02b7ed9e1d3360c35234f56d30587309b084,NVIDIA L40S,0,e7ca1e756da0ed704a903687662ee3116bf2be76,det,886094,20260810,935275,69.60126256942749,1200,canonical
2,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/det/fold_0/seed_20260811.pt,b9843c95733b42254d976794f0741ea34dd203504f5a1c5fe556575aec2e622c,NVIDIA L40S,0,e7ca1e756da0ed704a903687662ee3116bf2be76,det,886094,20260811,935275,71.74551033973694,1200,canonical
3,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/det/fold_1/seed_20260808.pt,998006cedddf1fa185832148e36a0b8b37c69bd8fd46816e87867a8e934874a9,NVIDIA L40S,1,e7ca1e756da0ed704a903687662ee3116bf2be76,det,886094,20260808,935275,70.72337245941162,1200,canonical
4,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/det/fold_1/seed_20260810.pt,25ae43bf15ca0b2f979d078249012cf8098537fda82e90d9a5bfc8ff175de278,NVIDIA A100-PCIE-40GB,1,e7ca1e756da0ed704a903687662ee3116bf2be76,det,886094,20260810,935275,90.27677345275879,1200,canonical
5,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/det/fold_1/seed_20260811.pt,872f419ff42699ab54068907d14bedf1258d31020f2f53cd5f84f3ba1d5ac079,NVIDIA L40S,1,e7ca1e756da0ed704a903687662ee3116bf2be76,det,886094,20260811,935275,46.06488609313965,1200,canonical
6,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/det/fold_2/seed_20260808.pt,9dbd2d4258903cd3f77f1f6cc7b4226f7ff16a1942f07d51e30c231354c45659,NVIDIA L40S,2,e7ca1e756da0ed704a903687662ee3116bf2be76,det,886094,20260808,935275,71.47829079627991,1200,canonical
7,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/det/fold_2/seed_20260810.pt,e948df336df95758b5fcdeb432c18bb99b958cec6fc498d4bb8dcc77845bd3e6,NVIDIA L40S,2,e7ca1e756da0ed704a903687662ee3116bf2be76,det,886094,20260810,935275,70.30516004562378,1200,canonical
8,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/det/fold_2/seed_20260811.pt,6afaf0ea7a2773dc3a5a7da312647ba78d68e4697c61d9e3af0d5fc8f9559295,NVIDIA L40S,2,e7ca1e756da0ed704a903687662ee3116bf2be76,det,886094,20260811,935275,46.457343101501465,1200,canonical
9,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/det/fold_3/seed_20260808.pt,f7f66a80fec710cd20b2354a6cdae986c9e80d08046f8af8237e4b267d0f794f,NVIDIA L40S,3,e7ca1e756da0ed704a903687662ee3116bf2be76,det,886094,20260808,935275,71.31239414215088,1200,canonical
10,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/det/fold_3/seed_20260810.pt,829e34ffa258e1c539cc9037f86e8a9967c66e5ce52d59b67b6b525aa1305083,NVIDIA A100-PCIE-40GB,3,e7ca1e756da0ed704a903687662ee3116bf2be76,det,886094,20260810,935275,91.00203227996826,1200,canonical
11,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/det/fold_3/seed_20260811.pt,7e2da00148254b8d4b91d3f6f7f979b18ed6b58cc68f595f25f4c71655c56103,NVIDIA L40S,3,e7ca1e756da0ed704a903687662ee3116bf2be76,det,886094,20260811,935275,70.55931043624878,1200,canonical
12,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/det/fold_4/seed_20260808.pt,5e699859fb7c0c25bf4c2b29b8bc8279b3d226e67f096cb9399fecafaf6abf1d,NVIDIA L40S,4,e7ca1e756da0ed704a903687662ee3116bf2be76,det,886094,20260808,935275,46.22789549827576,1200,canonical
13,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/det/fold_4/seed_20260810.pt,c1a6c7dd3fc62a209e4e67b9540276163c5fae6c0905980c86f7a5eb65f0f774,NVIDIA L40S,4,e7ca1e756da0ed704a903687662ee3116bf2be76,det,886094,20260810,935275,69.77645611763,1200,canonical
14,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/det/fold_4/seed_20260811.pt,295d1160328da538fe63e0c850918078782a1bea1fdb3a01fa7f879406e7bfde,NVIDIA L40S,4,e7ca1e756da0ed704a903687662ee3116bf2be76,det,886094,20260811,935275,46.259618520736694,1200,canonical
0,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad/fold_0/seed_20260808.pt,dee2fab97d5fa00d0044f4e74ecaeed93336640d520a3cba686c437b9587858e,NVIDIA A100-PCIE-40GB,0,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935300,90.8586015701294,1200,canonical
1,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad/fold_0/seed_20260810.pt,de15f90ee0a8a2e786d6e1f5d23cc54fd502e874423f7265b98e1292db0f7bb6,NVIDIA L40S,0,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260810,935300,47.75460338592529,1200,canonical
2,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad/fold_0/seed_20260811.pt,988c6a08772e93a94903b7749ba85ca5801a034c9a46289ea8bc9ce91754176d,NVIDIA L40S,0,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260811,935300,48.63910746574402,1200,canonical
3,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad/fold_1/seed_20260808.pt,20d8072de2fa0e94cc174bb902c827e8cf8bbbfb1433672f604e30e5f7e01e2c,NVIDIA L40S,1,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260808,935300,73.28755640983582,1200,canonical
4,/projects/EEG-foundation-model/derived/denoiseNet/scad_v22/checkpoints/scad/fold_1/seed_20260810.pt,bd1518501d06ee148d6482cbb1c7f2bec45df305da010d90bc3debd48cb1656b,NVIDIA L40S,1,e7ca1e756da0ed704a903687662ee3116bf2be76,scad,956430,20260810,935300,74.17109704017639,1200,canonical
