contrast,mean,median,metric,participants,positive_count,seed
MATCH_vs_POP,-0.0006701792106332964,-0.0006030479239094166,rrmse_temporal,15,7,20260808
MATCH_vs_WRONG,0.0011241690614649377,0.003037487024105112,rrmse_temporal,15,9,20260808
SCAD_vs_DET,-0.08029751640947147,-0.07804640714473665,rrmse_temporal,15,0,20260808
MATCH_vs_POP,-0.005653611886642795,-0.003482064843410848,rrmse_temporal,15,4,20260810
MATCH_vs_WRONG,-0.002633530112776938,-0.0005925205122265798,rrmse_temporal,15,7,20260810
SCAD_vs_DET,-0.07198395182117737,-0.06841137703061895,rrmse_temporal,15,0,20260810
MATCH_vs_POP,0.0023397196439973364,0.00019275150649855632,rrmse_temporal,15,8,20260811
MATCH_vs_WRONG,0.00011285822062426417,-0.0013516005047778945,rrmse_temporal,15,7,20260811
SCAD_vs_DET,-0.08055034027018815,-0.08534779805146786,rrmse_temporal,15,0,20260811
MATCH_vs_POP,0.0018163188693161247,0.004103131023458051,heldout_eog_remaining_ratio,15,11,20260808
MATCH_vs_WRONG,0.0004936892696325727,0.0030641187403304126,heldout_eog_remaining_ratio,15,9,20260808
SCAD_vs_DET,-0.0758236493855364,-0.06371027496172776,heldout_eog_remaining_ratio,15,2,20260808
MATCH_vs_POP,0.001403781166766175,0.0038352496788164325,heldout_eog_remaining_ratio,15,9,20260810
MATCH_vs_WRONG,0.003674275294881424,0.0033154549461142935,heldout_eog_remaining_ratio,15,10,20260810
SCAD_vs_DET,-0.04492574055639077,-0.04437155224599476,heldout_eog_remaining_ratio,15,3,20260810
MATCH_vs_POP,0.006770471610797801,0.004408207848353385,heldout_eog_remaining_ratio,15,12,20260811
MATCH_vs_WRONG,-0.003527091631905884,-0.001987406077504028,heldout_eog_remaining_ratio,15,7,20260811
SCAD_vs_DET,-0.07878476113286051,-0.051674474471229415,heldout_eog_remaining_ratio,15,2,20260811
