contrast,effect_positive_is_better,metric,panel,participant,seeds
DET_MATCH_vs_POP,0.002033576422642606,rrmse_temporal,paired,sub-02,3
DET_MATCH_vs_POP,0.0017378725164302056,rrmse_temporal,paired,sub-03,3
DET_MATCH_vs_POP,0.002666070543690983,rrmse_temporal,paired,sub-05,3
DET_MATCH_vs_POP,-0.00013128489835826743,rrmse_temporal,paired,sub-06,3
DET_MATCH_vs_POP,-0.001090569642622552,rrmse_temporal,paired,sub-07,3
DET_MATCH_vs_POP,0.001220286069264868,rrmse_temporal,paired,sub-09,3
DET_MATCH_vs_POP,0.0008661677323591466,rrmse_temporal,paired,sub-11,3
DET_MATCH_vs_POP,-0.01662900840380699,rrmse_temporal,paired,sub-12,3
DET_MATCH_vs_POP,-0.003342971045101284,rrmse_temporal,paired,sub-14,3
DET_MATCH_vs_POP,0.005513158259283705,rrmse_temporal,paired,sub-15,3
DET_MATCH_vs_POP,-0.0048998250007301625,rrmse_temporal,paired,sub-17,3
DET_MATCH_vs_POP,-0.003687198114305512,rrmse_temporal,paired,sub-18,3
DET_MATCH_vs_POP,0.00036425661312899926,rrmse_temporal,paired,sub-19,3
DET_MATCH_vs_POP,-0.00369109536512513,rrmse_temporal,paired,sub-21,3
DET_MATCH_vs_POP,-0.00038912010549441156,rrmse_temporal,paired,sub-23,3
DET_MATCH_vs_WRONG,0.00132628690227173,rrmse_temporal,paired,sub-02,3
DET_MATCH_vs_WRONG,-0.002329248282303927,rrmse_temporal,paired,sub-03,3
DET_MATCH_vs_WRONG,0.0011977634561911958,rrmse_temporal,paired,sub-05,3
DET_MATCH_vs_WRONG,-0.00012130373161881962,rrmse_temporal,paired,sub-06,3
DET_MATCH_vs_WRONG,0.00156871817415342,rrmse_temporal,paired,sub-07,3
DET_MATCH_vs_WRONG,0.0008834348258523287,rrmse_temporal,paired,sub-09,3
DET_MATCH_vs_WRONG,0.013078854238200469,rrmse_temporal,paired,sub-11,3
DET_MATCH_vs_WRONG,-0.016696866084304245,rrmse_temporal,paired,sub-12,3
DET_MATCH_vs_WRONG,0.006595920433971503,rrmse_temporal,paired,sub-14,3
DET_MATCH_vs_WRONG,0.004539932182524427,rrmse_temporal,paired,sub-15,3
DET_MATCH_vs_WRONG,-0.0006697155994415857,rrmse_temporal,paired,sub-17,3
DET_MATCH_vs_WRONG,-0.005563884384981899,rrmse_temporal,paired,sub-18,3
DET_MATCH_vs_WRONG,0.001998109728986138,rrmse_temporal,paired,sub-19,3
DET_MATCH_vs_WRONG,-0.0030027582672321382,rrmse_temporal,paired,sub-21,3
DET_MATCH_vs_WRONG,-0.0004972892013567209,rrmse_temporal,paired,sub-23,3
SCAD_MATCH_vs_POP,0.0028389797398295316,rrmse_temporal,paired,sub-02,3
SCAD_MATCH_vs_POP,-0.01335005811469503,rrmse_temporal,paired,sub-03,3
SCAD_MATCH_vs_POP,0.007029170926587058,rrmse_temporal,paired,sub-05,3
SCAD_MATCH_vs_POP,-0.0027064867678780282,rrmse_temporal,paired,sub-06,3
SCAD_MATCH_vs_POP,-0.0009530149481078073,rrmse_temporal,paired,sub-07,3
SCAD_MATCH_vs_POP,-0.004593091503786321,rrmse_temporal,paired,sub-09,3
SCAD_MATCH_vs_POP,0.0025110465358011425,rrmse_temporal,paired,sub-11,3
SCAD_MATCH_vs_POP,-0.014871836109604223,rrmse_temporal,paired,sub-12,3
SCAD_MATCH_vs_POP,-0.0012329681609387262,rrmse_temporal,paired,sub-14,3
SCAD_MATCH_vs_POP,0.01366632464837636,rrmse_temporal,paired,sub-15,3
SCAD_MATCH_vs_POP,-0.003388034463299494,rrmse_temporal,paired,sub-17,3
SCAD_MATCH_vs_POP,-0.004804632277227938,rrmse_temporal,paired,sub-18,3
SCAD_MATCH_vs_POP,-0.0015893843374213585,rrmse_temporal,paired,sub-19,3
SCAD_MATCH_vs_POP,-0.002912532753759504,rrmse_temporal,paired,sub-21,3
SCAD_MATCH_vs_POP,0.00443616031973056,rrmse_temporal,paired,sub-23,3
SCAD_MATCH_vs_WRONG,0.001989688590617137,rrmse_temporal,paired,sub-02,3
SCAD_MATCH_vs_WRONG,-0.016542547975270144,rrmse_temporal,paired,sub-03,3
SCAD_MATCH_vs_WRONG,0.010033928073998758,rrmse_temporal,paired,sub-05,3
SCAD_MATCH_vs_WRONG,0.0014810503823725247,rrmse_temporal,paired,sub-06,3
SCAD_MATCH_vs_WRONG,0.006600623801609344,rrmse_temporal,paired,sub-07,3
SCAD_MATCH_vs_WRONG,-0.00513970582202757,rrmse_temporal,paired,sub-09,3
SCAD_MATCH_vs_WRONG,0.007033491662392939,rrmse_temporal,paired,sub-11,3
SCAD_MATCH_vs_WRONG,-0.013866583484707892,rrmse_temporal,paired,sub-12,3
SCAD_MATCH_vs_WRONG,0.008103505958893456,rrmse_temporal,paired,sub-14,3
SCAD_MATCH_vs_WRONG,0.009972044209630345,rrmse_temporal,paired,sub-15,3
SCAD_MATCH_vs_WRONG,-0.004199734218504873,rrmse_temporal,paired,sub-17,3
SCAD_MATCH_vs_WRONG,-0.008981943525011804,rrmse_temporal,paired,sub-18,3
SCAD_MATCH_vs_WRONG,-0.008852188170378842,rrmse_temporal,paired,sub-19,3
SCAD_MATCH_vs_WRONG,-0.004432877540778109,rrmse_temporal,paired,sub-21,3
SCAD_MATCH_vs_WRONG,0.009818733903726043,rrmse_temporal,paired,sub-23,3
SCAD_K1_vs_DET1_MATCH,-0.0681795094957729,rrmse_temporal,paired,sub-02,3
