fold_id,study,recording_key,adaptation_seed,method,eog_coherence_reduction,nonartifact_preservation,psd_distortion,covariance_distortion
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,RAW,0.0,1.0,0.0,0.0
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DET-D00,0.017788030391815923,0.6996505260467529,0.26048505306243896,0.35048245202408784
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D00,0.016677725803235482,0.7048852443695068,0.24029210209846497,0.33539681171280733
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DET-D10,0.021240999456495047,0.6779291033744812,0.2550593316555023,0.36349375845400067
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D10,0.020566411396681236,0.692417174577713,0.2530883550643921,0.35172991018035166
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DET-D01,0.017636691179961486,0.7396001815795898,0.20806142687797546,0.3181638777329165
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DET-D11,0.021240999456495047,0.6779291033744812,0.2550593316555023,0.36349375845400067
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D01,0.017690074509652015,0.718764454126358,0.10997895896434784,0.29146260574718696
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D11,0.024524538328164612,0.7342104017734528,0.09816808253526688,0.25612840843340623
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D01-SHUFFLED-LORA,0.017234321274184464,0.7279694676399231,0.11415956914424896,0.276542439791987
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D11-SHUFFLED-BOTH,0.017342469092972324,0.720930427312851,0.08671367913484573,0.213905157664361
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,RAW,0.0,1.0,0.0,0.0
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DET-D00,0.017788030391815923,0.6996505260467529,0.26048505306243896,0.35048245202408784
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DIFF-D00,0.016698681950119552,0.7041801810264587,0.24110101163387299,0.335691142425545
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DET-D10,0.021240999456495047,0.6779291033744812,0.2550593316555023,0.36349375845400067
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DIFF-D10,0.02065977540894829,0.6916191279888153,0.25354844331741333,0.3519871521357186
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DET-D01,0.01794711395231044,0.7447921633720398,0.2059464454650879,0.30918012114644966
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DET-D11,0.023363267705807912,0.7280379235744476,0.21451228857040405,0.31101019754643044
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DIFF-D01,0.017792979745065864,0.7171521186828613,0.12380336225032806,0.30016874124948834
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DIFF-D11,0.02354844890791795,0.7538630962371826,0.09228526055812836,0.18901857190460145
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DIFF-D01-SHUFFLED-LORA,0.01752391227938492,0.7216059565544128,0.11279350519180298,0.2858035622929668
