panel,study,effect,units,mean,median,positive_count
raw_itt,study01,U_D,5,0.00821943481763204,-0.002545773983001709,2
raw_itt,study01,U_P,5,0.05967853864034016,0.00660934050877889,3
raw_itt,study01,U_W,5,0.06349029739697774,0.12439883251984914,4
raw_itt,study01,U_S,5,-0.01790336370468141,0.03512460986773173,3
raw_itt,study01,I,5,0.0324407974878947,0.025860408941904705,5
raw_itt,study02,U_D,2,-0.014765148361523945,-0.014765148361523945,0
raw_itt,study02,U_P,2,-0.09272696077823639,-0.09272696077823639,0
raw_itt,study02,U_W,2,-0.01087576647599538,-0.01087576647599538,1
raw_itt,study02,U_S,2,-0.009673565626144413,-0.009673565626144413,1
raw_itt,study02,I,2,0.024847447872161865,0.024847447872161865,1
raw_itt,study03,U_D,2,0.008572280406951904,0.008572280406951904,1
raw_itt,study03,U_P,2,-0.028727849324544273,-0.028727849324544273,1
raw_itt,study03,U_W,2,0.038847699761390686,0.038847699761390686,1
raw_itt,study03,U_S,2,0.1741139789422353,0.1741139789422353,2
raw_itt,study03,I,2,0.025663038094838463,0.025663038094838463,2
raw_itt,study04,U_D,2,0.0498772735397021,0.0498772735397021,2
raw_itt,study04,U_P,2,-0.00865877668062846,-0.00865877668062846,0
raw_itt,study04,U_W,2,0.012088311215241749,0.012088311215241749,2
raw_itt,study04,U_S,2,0.05378510802984238,0.05378510802984238,2
raw_itt,study04,I,2,-0.0021158059438069663,-0.0021158059438069663,0
raw_itt,study05,U_D,3,0.028044733736250136,0.03014729420344035,3
raw_itt,study05,U_P,3,0.0,0.0,0
raw_itt,study05,U_W,3,0.0,0.0,0
raw_itt,study05,U_S,3,0.0,0.0,0
raw_itt,study05,I,3,0.0,0.0,0
raw_eligible,study01,U_D,5,0.00821943481763204,-0.002545773983001709,2
raw_eligible,study01,U_P,5,0.05967853864034016,0.00660934050877889,3
raw_eligible,study01,U_W,5,0.06349029739697774,0.12439883251984914,4
raw_eligible,study01,U_S,5,-0.01790336370468141,0.03512460986773173,3
raw_eligible,study01,I,5,0.0324407974878947,0.025860408941904705,5
raw_eligible,study02,U_D,2,-0.014765148361523945,-0.014765148361523945,0
raw_eligible,study02,U_P,2,-0.09272696077823639,-0.09272696077823639,0
raw_eligible,study02,U_W,2,-0.01087576647599538,-0.01087576647599538,1
raw_eligible,study02,U_S,2,-0.009673565626144413,-0.009673565626144413,1
raw_eligible,study02,I,2,0.024847447872161865,0.024847447872161865,1
raw_eligible,study03,U_D,2,0.008572280406951904,0.008572280406951904,1
raw_eligible,study03,U_P,2,-0.028727849324544273,-0.028727849324544273,1
raw_eligible,study03,U_W,2,0.038847699761390686,0.038847699761390686,1
raw_eligible,study03,U_S,2,0.1741139789422353,0.1741139789422353,2
raw_eligible,study03,I,2,0.025663038094838463,0.025663038094838463,2
raw_eligible,study04,U_D,2,0.0498772735397021,0.0498772735397021,2
raw_eligible,study04,U_P,2,-0.00865877668062846,-0.00865877668062846,0
raw_eligible,study04,U_W,2,0.012088311215241749,0.012088311215241749,2
raw_eligible,study04,U_S,2,0.05378510802984238,0.05378510802984238,2
raw_eligible,study04,I,2,-0.0021158059438069663,-0.0021158059438069663,0
