fold_id,study,recording_key,adaptation_seed,method,rrmse,correlation,delta_snr,artifact_residual,correction_rms
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,RAW,0.5798600316047668,0.8652177789313008,0.0,1.0,0.0
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DET-D00,0.594914436340332,0.8226383889833684,-0.22262606024742126,1.0259621143341064,0.23660342395305634
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D00,0.5805953741073608,0.8308701169563897,-0.011007473804056644,1.0012680292129517,0.2399263232946396
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DET-D10,0.513280987739563,0.8651716364868751,1.0593602657318115,0.8851808309555054,0.3327038288116455
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D10,0.4760764241218567,0.8832124767650151,1.7129307985305786,0.8210194706916809,0.3194276988506317
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DET-D01,0.5757566690444946,0.8357114665099661,0.06168518215417862,0.9929234385490417,0.22309552133083344
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DET-D11,0.513280987739563,0.8651716364868751,1.0593602657318115,0.8851808309555054,0.3327038288116455
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D01,0.5666234493255615,0.8408376451427205,0.2005729228258133,0.9771727919578552,0.2445121556520462
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D11,0.3730476200580597,0.9283821777082728,3.8311781883239746,0.6433407664299011,0.3878990709781647
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D01-SHUFFLED-LORA,0.5762268304824829,0.8369640620939073,0.0545944944024086,0.9937343597412109,0.22024430334568024
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D11-SHUFFLED-BOTH,0.44468095898628235,0.8996237376838019,2.305493116378784,0.7668763399124146,0.34531161189079285
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D01-WRONG-LORA-0,0.6172833442687988,0.828593303363752,-0.5432268381118774,1.0645384788513184,0.21944591403007507
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D11-WRONG-BOTH-0,0.47922083735466003,0.8893559594611496,1.6557503938674927,0.8264422416687012,0.3262777030467987
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D01-WRONG-LORA-1,0.6437214612960815,0.7813972808877203,-0.9074963331222534,1.1101324558258057,0.3351092040538788
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,DIFF-D11-WRONG-BOTH-1,0.5907981991767883,0.8143589525341454,-0.16231921315193176,1.0188634395599365,0.3964599370956421
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,RAW,0.5798600316047668,0.8652177789313008,0.0,1.0,0.0
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DET-D00,0.594914436340332,0.8226383889833684,-0.22262606024742126,1.0259621143341064,0.23660342395305634
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DIFF-D00,0.5803873538970947,0.8308175819270798,-0.007895183749496937,1.0009093284606934,0.2398006021976471
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DET-D10,0.513280987739563,0.8651716364868751,1.0593602657318115,0.8851808309555054,0.3327038288116455
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DIFF-D10,0.4752427339553833,0.8836021479043948,1.728154182434082,0.8195817470550537,0.3182215094566345
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DET-D01,0.5734008550643921,0.8374739993262394,0.09729679673910141,0.9888607859611511,0.22186297178268433
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DET-D11,0.38811516761779785,0.9218779333046067,3.4872517585754395,0.669325590133667,0.3511867821216583
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DIFF-D01,0.57090824842453,0.8381762673380803,0.1351376324892044,0.98456209897995,0.24106824398040771
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DIFF-D11,0.35503482818603516,0.9362218022727192,4.261044979095459,0.6122767329216003,0.3946515917778015
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DIFF-D01-SHUFFLED-LORA,0.5778264403343201,0.8356397317950052,0.03051559254527092,0.996492862701416,0.22158432006835938
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DIFF-D11-SHUFFLED-BOTH,0.4806448221206665,0.8855410853218145,1.6299786567687988,0.8288979530334473,0.43293681740760803
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DIFF-D01-WRONG-LORA-0,0.5962326526641846,0.8359304004654735,-0.24185089766979218,1.0282354354858398,0.20507106184959412
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DIFF-D11-WRONG-BOTH-0,0.4460696280002594,0.9022169325836675,2.2784111499786377,0.7692711353302002,0.3180316984653473
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DIFF-D01-WRONG-LORA-1,0.6636735796928406,0.7679738942029244,-1.1726269721984863,1.1445410251617432,0.34693199396133423
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,DIFF-D11-WRONG-BOTH-1,0.6106467247009277,0.8012801970745693,-0.44933652877807617,1.0530933141708374,0.40885141491889954
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,RAW,0.5798600316047668,0.8652177789313008,0.0,1.0,0.0
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,DET-D00,0.594914436340332,0.8226383889833684,-0.22262606024742126,1.0259621143341064,0.23660342395305634
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,DIFF-D00,0.5806542038917542,0.8307036262990624,-0.011887202039361,1.0013694763183594,0.24040566384792328
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,DET-D10,0.513280987739563,0.8651716364868751,1.0593602657318115,0.8851808309555054,0.3327038288116455
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,DIFF-D10,0.47564586997032166,0.8833395219448511,1.7207891941070557,0.8202769756317139,0.31936243176460266
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,DET-D01,0.5748878717422485,0.8363215231543287,0.07480117678642273,0.9914252161979675,0.22021356225013733
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,DET-D11,0.513280987739563,0.8651716364868751,1.0593602657318115,0.8851808309555054,0.3327038288116455
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,DIFF-D01,0.5693817734718323,0.8390997526399436,0.15839284658432007,0.9819297194480896,0.2425127476453781
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,DIFF-D11,0.3511389195919037,0.9369425687278012,4.356884479522705,0.6055580377578735,0.3835170567035675
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,DIFF-D01-SHUFFLED-LORA,0.5806542038917542,0.8307036262990624,-0.011887202039361,1.0013694763183594,0.24040566384792328
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,DIFF-D11-SHUFFLED-BOTH,0.47715136408805847,0.8851146533932055,1.69334077835083,0.8228732943534851,0.39432430267333984
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,DIFF-D01-WRONG-LORA-0,0.5983174443244934,0.8367572858271689,-0.27216923236846924,1.0318306684494019,0.20644298195838928
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,DIFF-D11-WRONG-BOTH-0,0.4690726101398468,0.893776351756483,1.8416624069213867,0.8089410662651062,0.3139569163322449
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,DIFF-D01-WRONG-LORA-1,0.658122181892395,0.7699000368835891,-1.0996670722961426,1.13496732711792,0.34449976682662964
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,DIFF-D11-WRONG-BOTH-1,0.6092332005500793,0.8015086008759394,-0.42920738458633423,1.0506556034088135,0.3977091908454895
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,RAW,0.4241849184036255,0.9221947237918955,0.0,1.0,0.0
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,DET-D00,0.4654518663883209,0.8875452748060438,-0.8063908815383911,1.097285270690918,0.18424126505851746
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,DIFF-D00,0.4967321455478668,0.8692370371773506,-1.3713406324386597,1.1710273027420044,0.21310050785541534
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,DET-D10,0.36467400193214417,0.9321415781471889,1.3130087852478027,0.8597052097320557,0.20846620202064514
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,DIFF-D10,0.39973360300064087,0.917099346722653,0.515691339969635,0.9423569440841675,0.2206951230764389
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,DET-D01,0.48891526460647583,0.8855486718303387,-1.2335671186447144,1.1525992155075073,0.19679811596870422
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,DET-D11,0.34121108055114746,0.9444681775394986,1.8906424045562744,0.8043922781944275,0.2499380111694336
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,DIFF-D01,0.4655688405036926,0.8947972666007488,-0.8085736632347107,1.0975608825683594,0.16454243659973145
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,DIFF-D11,0.348747193813324,0.9401575774782404,1.700890064239502,0.8221583962440491,0.24825894832611084
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,DIFF-D01-SHUFFLED-LORA,0.504019021987915,0.8703369007983246,-1.4978338479995728,1.1882058382034302,0.2186635136604309
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,DIFF-D11-SHUFFLED-BOTH,0.5196084380149841,0.8670213330556555,-1.7624197006225586,1.2249574661254883,0.2191006988286972
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,DIFF-D01-WRONG-LORA-0,0.5023652911186218,0.8674874361176805,-1.4692881107330322,1.184307336807251,0.2187523990869522
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,DIFF-D11-WRONG-BOTH-0,0.386085569858551,0.9235154355964154,0.8174329996109009,0.9101821780204773,0.3051462769508362
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,DIFF-D01-WRONG-LORA-1,0.5980046987533569,0.8016137688429876,-2.982988119125366,1.409773588180542,0.3134605586528778
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,DIFF-D11-WRONG-BOTH-1,0.5711694955825806,0.8209399713303545,-2.584196090698242,1.346510648727417,0.37064337730407715
study01_layout_01_heldout_00,study01,study01/study01_p02,20260822,RAW,0.4241849184036255,0.9221947237918955,0.0,1.0,0.0
study01_layout_01_heldout_00,study01,study01/study01_p02,20260822,DET-D00,0.4654518663883209,0.8875452748060438,-0.8063908815383911,1.097285270690918,0.18424126505851746
study01_layout_01_heldout_00,study01,study01/study01_p02,20260822,DIFF-D00,0.4970509707927704,0.8690792753087209,-1.3769140243530273,1.171778917312622,0.21303008496761322
study01_layout_01_heldout_00,study01,study01/study01_p02,20260822,DET-D10,0.36467400193214417,0.9321415781471889,1.3130087852478027,0.8597052097320557,0.20846620202064514
study01_layout_01_heldout_00,study01,study01/study01_p02,20260822,DIFF-D10,0.4001436233520508,0.9169166696074293,0.5067869424819946,0.9433236122131348,0.2204209566116333
study01_layout_01_heldout_00,study01,study01/study01_p02,20260822,DET-D01,0.4827691912651062,0.8885630890406455,-1.1236863136291504,1.1381101608276367,0.19176796078681946
study01_layout_01_heldout_00,study01,study01/study01_p02,20260822,DET-D11,0.3456352949142456,0.9437802852993804,1.7787433862686157,0.8148221969604492,0.25710612535476685
study01_layout_01_heldout_00,study01,study01/study01_p02,20260822,DIFF-D01,0.4677634835243225,0.8937738756989709,-0.8494217395782471,1.102734923362732,0.1683194637298584
study01_layout_01_heldout_00,study01,study01/study01_p02,20260822,DIFF-D11,0.3442222774028778,0.9421238821536762,1.8143250942230225,0.811491072177887,0.23946620523929596
