fold_id,study,recording_key,adaptation_seed,personalization_eligible,adapter_active,selected_step,U_D,U_P,U_W,U_S,I,D00_DET_minus_DIFF
study01_layout_01_heldout_00,study01,study01/study01_p01,20260821,1,1,100,0.1402333676815033,0.20754775404930115,0.1619618982076645,0.07163333892822266,0.08905687928199768,0.014319062232971191
study01_layout_01_heldout_00,study01,study01/study01_p01,20260822,1,1,1000,0.033080339431762695,0.22535252571105957,0.1733233481645584,0.12560999393463135,0.11072880029678345,0.014527082443237305
study01_layout_01_heldout_00,study01,study01/study01_p01,20260823,1,1,1000,0.1621420681476593,0.22951528429985046,0.1880139857530594,0.12601244449615479,0.1132345199584961,0.01426023244857788
study01_layout_01_heldout_00,study01,study01/study01_p02,20260821,1,1,400,-0.007536113262176514,0.14798495173454285,0.12988033890724182,0.17086124420166016,0.0198231041431427,-0.0312802791595459
study01_layout_01_heldout_00,study01,study01/study01_p02,20260822,1,1,400,0.0014130175113677979,0.15282869338989258,0.11768068373203278,0.17117443680763245,0.026633858680725098,-0.03159910440444946
study01_layout_01_heldout_00,study01,study01/study01_p02,20260823,1,1,400,0.006806105375289917,0.15892890095710754,0.12563547492027283,0.1545802354812622,0.031124264001846313,-0.03107541799545288
study01_layout_01_heldout_00,study01,study01/study01_p03,20260821,1,1,1000,-0.0063201189041137695,0.011158287525177002,-0.20783458650112152,-0.045452654361724854,0.02951759099960327,0.0030725598335266113
study01_layout_01_heldout_00,study01,study01/study01_p03,20260822,1,1,1000,0.0017876625061035156,0.0072692036628723145,-0.22158755362033844,-0.04760456085205078,0.04137313365936279,0.0025350451469421387
study01_layout_01_heldout_00,study01,study01/study01_p03,20260823,1,1,1000,-0.003104865550994873,0.0014005303382873535,-0.23065251111984253,-0.05763953924179077,0.01879715919494629,0.0034453868865966797
study01_layout_01_heldout_01,study01,study01/study01_p04,20260821,1,1,200,-0.005180031061172485,-0.008439213037490845,0.049721986055374146,0.041461795568466187,0.004715263843536377,0.0018720030784606934
study01_layout_01_heldout_01,study01,study01/study01_p04,20260822,1,1,200,-0.002918750047683716,-0.005606472492218018,0.03895065188407898,0.031072139739990234,0.003030717372894287,0.0026531219482421875
study01_layout_01_heldout_01,study01,study01/study01_p04,20260823,1,1,100,-0.008672624826431274,-0.00902661681175232,0.04430311918258667,0.03283989429473877,-0.003883272409439087,0.0027157068252563477
study01_layout_01_heldout_01,study01,study01/study01_p05,20260821,1,1,200,-0.08585196733474731,-0.10050845146179199,0.1678614616394043,-0.3952333927154541,-0.023210644721984863,-0.0731884241104126
study01_layout_01_heldout_01,study01,study01/study01_p05,20260822,1,1,400,-0.05141758918762207,-0.057914912700653076,0.22043168544769287,-0.2999613285064697,0.013274610042572021,-0.06852203607559204
study01_layout_01_heldout_01,study01,study01/study01_p05,20260823,1,1,400,-0.051168978214263916,-0.06531238555908203,0.19466447830200195,-0.3479045033454895,0.012395977973937988,-0.0721510648727417
study02_layout_02_heldout_03,study02,study02/study02_p11,20260821,1,1,200,-0.02549484372138977,-0.07150870561599731,0.020926058292388916,0.03909429907798767,0.046586811542510986,-0.002772510051727295
study02_layout_02_heldout_03,study02,study02/study02_p11,20260822,1,1,200,-0.01742038130760193,-0.05128714442253113,0.07246628403663635,0.048789381980895996,0.06369608640670776,-0.0012478232383728027
study02_layout_02_heldout_03,study02,study02/study02_p11,20260823,1,1,200,-0.011773765087127686,-0.04866930842399597,0.004601091146469116,0.04860609769821167,0.0633058249950409,-0.0014645755290985107
study02_layout_02_heldout_03,study02,study02/study02_p12,20260821,1,1,1000,-0.006790459156036377,-0.12440341711044312,-0.05245572328567505,-0.06003737449645996,-0.009962856769561768,0.028560370206832886
study02_layout_02_heldout_03,study02,study02/study02_p12,20260822,1,1,1000,0.0008736848831176758,-0.12987825274467468,-0.05353739857673645,-0.06513059139251709,-0.005386292934417725,0.02758273482322693
