fold_id,study,recording_key,eog_coherence_reduction,nonartifact_preservation,psd_distortion,covariance_distortion
study01_layout_01_heldout_00,study01,study01/study01_p01,0.02379628156054894,0.7499581674734751,0.09293502072493236,0.20819637333942706
study01_layout_01_heldout_00,study01,study01/study01_p02,0.018367818083036048,0.7573707848787308,0.09645027915636699,0.19878243112761407
study01_layout_01_heldout_00,study01,study01/study01_p03,0.01725709011735416,0.5867729385693868,0.2113330066204071,0.36520261286735883
study01_layout_01_heldout_01,study01,study01/study01_p04,0.02734866329661474,0.7799430638551712,0.10568517694870631,0.2531950743701604
study01_layout_01_heldout_01,study01,study01/study01_p05,0.026182203545588353,0.7888202667236328,0.0813214307030042,0.02449902838387007
study02_layout_02_heldout_03,study02,study02/study02_p11,0.007741687067512733,0.7618451019128164,0.13674268623193106,0.3098725142272262
study02_layout_02_heldout_03,study02,study02/study02_p12,0.022488060775989045,0.7172358632087708,0.08939114461342494,0.2390116969747739
study03_layout_03_heldout_00,study03,study03/study03_p03,0.035341830754380986,0.7056391735871633,0.06690193712711334,0.18617244475041858
study03_layout_03_heldout_00,study03,study03/study03_p19,0.04633824426370362,0.7805718779563904,0.09048387904961903,0.16309217440395748
study04_layout_04_heldout_01,study04,study04/study04_p28,0.04791574346033928,0.8060065060853958,0.07536150763432185,0.15622247629836836
study04_layout_04_heldout_01,study04,study04/study04_p29,0.04396353146987534,0.7595581859350204,0.13536085685094199,0.17438969605342625
study05_layout_05_heldout_00,study05,study05/study05_p06,0.0665903147764975,0.682389626900355,0.18424899379412332,0.3159031116390069
study05_layout_05_heldout_00,study05,study05/study05_p10,0.05456062126637104,0.8100141634543737,0.15799875557422638,0.18631069333051928
study05_layout_05_heldout_00,study05,study05/study05_p24,0.034692031572219624,0.7553332149982452,0.12312074253956477,0.27032158430175596
