fold_id,study,recording_key,personalization_eligible,adapter_active,U_D,U_P,U_W,U_S,I,D00_DET_minus_DIFF
study01_layout_01_heldout_00,study01,study01/study01_p01,1,1,0.11181859175364177,0.2208051880200704,0.1744330773750941,0.10775192578633626,0.10434006651242574,0.014368792374928793
study01_layout_01_heldout_00,study01,study01/study01_p02,1,1,0.00022766987482706705,0.1532475153605143,0.12439883251984914,0.16553863883018494,0.025860408941904705,-0.03131826718648275
study01_layout_01_heldout_00,study01,study01/study01_p03,1,1,-0.002545773983001709,0.00660934050877889,-0.22002488374710083,-0.050232251485188804,0.02989596128463745,0.0030176639556884766
study01_layout_01_heldout_01,study01,study01/study01_p04,1,1,-0.005590468645095825,-0.0076907674471537275,0.04432525237401327,0.03512460986773173,0.0012875696023305256,0.0024136106173197427
study01_layout_01_heldout_01,study01,study01/study01_p05,1,1,-0.0628128449122111,-0.07457858324050903,0.19431920846303305,-0.34769974152247113,0.0008199810981750488,-0.07128717501958211
study02_layout_02_heldout_03,study02,study02/study02_p11,1,1,-0.018229663372039795,-0.05715505282084147,0.032664477825164795,0.04549659291903178,0.05786290764808655,-0.0018283029397328694
study02_layout_02_heldout_03,study02,study02/study02_p12,1,1,-0.011300633351008097,-0.12829886873563132,-0.054416010777155556,-0.0648437241713206,-0.008168011903762817,0.02702939510345459
study03_layout_03_heldout_00,study03,study03/study03_p03,1,1,-0.0006431639194488525,0.05012732744216919,0.20624814430872598,0.2589048345883687,0.017166684071222942,0.00602597991625468
study03_layout_03_heldout_00,study03,study03/study03_p19,1,1,0.01778772473335266,-0.10758302609125774,-0.1285527447859446,0.08932312329610188,0.03415939211845398,0.015691816806793213
study04_layout_04_heldout_01,study04,study04/study04_p28,1,1,0.028597379724184673,-0.013003965218861898,0.0027533521254857383,0.06879548728466034,-0.003306150436401367,0.0658024400472641
study04_layout_04_heldout_01,study04,study04/study04_p29,1,1,0.07115716735521953,-0.0043135881423950195,0.02142327030499776,0.038774728775024414,-0.0009254614512125651,0.03877502679824829
