fold_id,study,recording_key,candidate,personalization_eligible,adapter_selected_step,adapter_active,gamma,w,fallback_reason
study01_layout_01_heldout_00,study01,study01/study01_p01,D10,1,,0,1.0,0.5,
study01_layout_01_heldout_00,study01,study01/study01_p01,D01,1,100,1,1.0,0.8,
study01_layout_01_heldout_00,study01,study01/study01_p01,D11,1,100,1,1.0,0.55,
study01_layout_01_heldout_00,study01,study01/study01_p02,D10,1,,0,0.8500000000000001,1.0,
study01_layout_01_heldout_00,study01,study01/study01_p02,D01,1,800,1,0.9,0.75,
study01_layout_01_heldout_00,study01,study01/study01_p02,D11,1,200,1,1.0,1.0,
study01_layout_01_heldout_00,study01,study01/study01_p03,D10,1,,0,1.0,0.75,
study01_layout_01_heldout_00,study01,study01/study01_p03,D01,1,1000,1,1.0,1.0,
study01_layout_01_heldout_00,study01,study01/study01_p03,D11,1,1000,1,1.0,1.0,
study01_layout_01_heldout_01,study01,study01/study01_p04,D10,1,,0,0.9500000000000001,0.0,
study01_layout_01_heldout_01,study01,study01/study01_p04,D01,1,100,1,0.9,1.0,
study01_layout_01_heldout_01,study01,study01/study01_p04,D11,1,200,1,1.0,0.25,
study01_layout_01_heldout_01,study01,study01/study01_p05,D10,1,,0,0.75,0.0,
study01_layout_01_heldout_01,study01,study01/study01_p05,D01,1,0,0,0.75,0.0,
study01_layout_01_heldout_01,study01,study01/study01_p05,D11,1,400,1,0.75,0.05,
study02_layout_02_heldout_03,study02,study02/study02_p11,D10,1,,0,0.35000000000000003,0.0,
study02_layout_02_heldout_03,study02,study02/study02_p11,D01,1,200,1,0.55,1.0,
study02_layout_02_heldout_03,study02,study02/study02_p11,D11,1,200,1,0.55,0.7000000000000001,
study02_layout_02_heldout_03,study02,study02/study02_p12,D10,1,,0,1.0,1.0,
study02_layout_02_heldout_03,study02,study02/study02_p12,D01,1,400,1,1.0,1.0,
study02_layout_02_heldout_03,study02,study02/study02_p12,D11,1,1000,1,1.0,0.9500000000000001,
study03_layout_03_heldout_00,study03,study03/study03_p03,D10,1,,0,0.8,0.0,
study03_layout_03_heldout_00,study03,study03/study03_p03,D01,1,400,1,0.9500000000000001,1.0,
study03_layout_03_heldout_00,study03,study03/study03_p03,D11,1,400,1,0.9500000000000001,0.8,
study03_layout_03_heldout_00,study03,study03/study03_p19,D10,1,,0,1.0,0.1,
study03_layout_03_heldout_00,study03,study03/study03_p19,D01,1,200,1,1.0,0.8500000000000001,
study03_layout_03_heldout_00,study03,study03/study03_p19,D11,1,100,1,1.0,0.30000000000000004,
study04_layout_04_heldout_01,study04,study04/study04_p28,D10,1,,0,0.6000000000000001,0.0,
study04_layout_04_heldout_01,study04,study04/study04_p28,D01,1,400,1,1.0,1.0,
study04_layout_04_heldout_01,study04,study04/study04_p28,D11,1,400,1,0.8,0.5,
study04_layout_04_heldout_01,study04,study04/study04_p29,D10,1,,0,1.0,1.0,
study04_layout_04_heldout_01,study04,study04/study04_p29,D01,1,100,1,1.0,1.0,
study04_layout_04_heldout_01,study04,study04/study04_p29,D11,1,100,1,1.0,1.0,
study05_layout_05_heldout_00,study05,study05/study05_p06,D10,0,,0,1.0,0.0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05,study05/study05_p06,D01,0,,0,1.0,0.0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05,study05/study05_p06,D11,0,,0,1.0,0.0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05,study05/study05_p10,D10,0,,0,1.0,0.0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05,study05/study05_p10,D01,0,,0,1.0,0.0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05,study05/study05_p10,D11,0,,0,1.0,0.0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05,study05/study05_p24,D10,0,,0,1.0,0.0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05,study05/study05_p24,D01,0,,0,1.0,0.0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05,study05/study05_p24,D11,0,,0,1.0,0.0,support_pair_coverage_insufficient
