panel,effect,units,stem_weighted_mean,equal_study_mean,median,positive_count,win_fraction
raw_itt,U_D,14,0.015185727604797907,0.015989714827802447,0.0019348760445912678,8,0.5714285714285714
raw_itt,U_P,14,0.0027261085453487584,-0.014087009628613792,-0.0021567940711975098,4,0.2857142857142857
raw_itt,U_W,14,0.02839799828472592,0.02071010837952296,0.012088311215241749,8,0.5714285714285714
raw_itt,U_S,14,0.02478101601203282,0.04006443152825037,0.03694966932137807,8,0.5714285714285714
raw_itt,I,14,0.018499524820418584,0.016167095502217614,0.0010537753502527871,8,0.5714285714285714
raw_itt,D00_DET_minus_DIFF,14,0.010916084405921756,0.017446367310153112,0.010197386145591736,11,0.7857142857142857
raw_eligible,U_D,11,0.011678725932583666,0.012975960100690525,-0.0006431639194488525,5,0.45454545454545453
raw_eligible,U_P,11,0.0034695926940802382,-0.01760876203576724,-0.0076907674471537275,4,0.36363636363636365
raw_eligible,U_W,11,0.03614290690783299,0.0258876354744037,0.032664477825164795,8,0.7272727272727273
raw_eligible,U_S,11,0.031539474924405404,0.050080539410312964,0.04549659291903178,8,0.7272727272727273
raw_eligible,I,11,0.023544849771441834,0.020208869377772016,0.017166684071222942,8,0.7272727272727273
raw_eligible,D00_DET_minus_DIFF,11,0.006244634588559469,0.014796775703628858,0.00602597991625468,8,0.7272727272727273
