fold,participant,split
0,sub-02,validation
0,sub-03,training
0,sub-05,validation
0,sub-06,training
0,sub-07,training
0,sub-09,training
0,sub-11,training
0,sub-12,training
0,sub-14,training
0,sub-15,training
0,sub-17,validation
0,sub-18,validation
0,sub-19,training
0,sub-21,training
0,sub-23,training
0,sub-24,training
1,sub-02,training
1,sub-03,training
1,sub-05,training
1,sub-06,training
1,sub-07,validation
1,sub-09,training
1,sub-11,training
1,sub-12,validation
1,sub-14,validation
1,sub-15,training
1,sub-17,training
1,sub-18,training
1,sub-19,training
1,sub-21,validation
1,sub-23,training
1,sub-24,training
2,sub-02,training
2,sub-03,training
2,sub-05,training
2,sub-06,validation
2,sub-07,training
2,sub-09,training
2,sub-11,validation
2,sub-12,training
2,sub-14,training
2,sub-15,validation
2,sub-17,training
2,sub-18,training
2,sub-19,training
2,sub-21,training
2,sub-23,training
2,sub-24,validation
3,sub-02,training
3,sub-03,validation
3,sub-05,training
3,sub-06,training
3,sub-07,training
3,sub-09,validation
3,sub-11,training
3,sub-12,training
3,sub-14,training
3,sub-15,training
3,sub-17,training
3,sub-18,training
3,sub-19,validation
3,sub-21,training
3,sub-23,validation
3,sub-24,training
