binary_signal_opened,marker_content_opened,outcome_opened,participant,primary_erp_eligible,primary_ssvep_eligible,processed_imu_metadata_records,record_count,role,ses05_erp_complete,ses05_ssvep_complete,source_eog_metadata_records
False,False,False,sub-01,True,True,9,9,sealed,True,True,9
False,False,False,sub-02,True,True,9,9,development,True,True,9
False,False,False,sub-03,True,True,9,9,development,True,True,9
False,False,False,sub-04,True,True,9,9,sealed,True,True,9
False,False,False,sub-05,True,True,9,9,development,True,True,9
False,False,False,sub-06,True,True,9,9,development,True,True,9
False,False,False,sub-07,True,True,9,9,development,True,True,9
False,False,False,sub-08,True,True,9,9,sealed,True,True,9
False,False,False,sub-09,True,True,9,9,development,True,True,9
False,False,False,sub-10,True,True,9,9,sealed,True,True,9
False,False,False,sub-11,True,True,9,9,development,True,True,9
False,False,False,sub-12,True,True,8,9,development,True,True,9
False,False,False,sub-13,True,True,9,9,sealed,True,True,9
False,False,False,sub-14,True,True,9,9,development,True,True,9
False,False,False,sub-15,True,True,9,9,development,True,True,9
False,False,False,sub-16,True,True,8,8,sealed,True,False,8
False,False,False,sub-17,True,True,8,8,development,True,False,8
False,False,False,sub-18,True,True,8,8,development,False,True,8
False,False,False,sub-19,True,True,7,7,development,False,False,7
False,False,False,sub-20,True,True,7,7,sealed,False,False,7
False,False,False,sub-21,True,True,6,7,development,False,False,7
False,False,False,sub-22,True,True,7,7,sealed,False,False,7
False,False,False,sub-23,True,True,7,7,development,False,False,7
False,False,False,sub-24,True,False,4,4,development,False,False,4
