method_id,first_update_loss,resumed_update_loss,checkpoint_resumed_with_model_optimizer_scaler,checkpoint_resumed_from_step,successful_optimizer_updates,amp_enabled,autocast_dtype,gradient_clip_norm,network_calls,formal_ddim_network_calls,inference_seed,implementation_version,git_head,real_weak_pair_stems_in_batch
task_matched_multichannel_deterministic_UNet,0.2061987966299057,0.1644556224346161,True,1,2,True,float16,1.0,1,N/A,20260802,sgeyesub_diffusion_runner_v2,242794027a2f703cb32d56d310078c3eee9d1ff2,"['study01/study01_p02', 'study01/study01_p03']"
operator_conditioned_conditional_diffusion_DDIM100,1.1362415552139282,1.0969561338424683,True,1,2,True,float16,1.0,100,100,20260802,sgeyesub_diffusion_runner_v2,242794027a2f703cb32d56d310078c3eee9d1ff2,"['study01/study01_p02', 'study01/study01_p03']"
