protocol_id,claim_scope,partition,study,participant_stem,recording_key,set_relative_path,fdt_relative_path,support_block,query_block,layout_id,release_layout_id,reference_cell_id,sampling_rate_hz,support_trial_count,query_trial_count,trial_id_status,population_source_count,population_source_participants,status
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,development,study01,study01_p01,study01/study01_p01,study01/study01_p01_prep.set,study01/study01_p01_prep.fdt,1,2,layout_01,layout_01,release_preprocessed_as_delivered,200.0,25,27,present_complete,4,study01_p02;study01_p03;study01_p04;study01_p05,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,development,study01,study01_p02,study01/study01_p02,study01/study01_p02_prep.set,study01/study01_p02_prep.fdt,1,2,layout_01,layout_01,release_preprocessed_as_delivered,200.0,26,25,present_complete,4,study01_p01;study01_p03;study01_p04;study01_p05,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,development,study01,study01_p03,study01/study01_p03,study01/study01_p03_prep.set,study01/study01_p03_prep.fdt,1,2,layout_01,layout_01,release_preprocessed_as_delivered,200.0,25,26,present_complete,4,study01_p01;study01_p02;study01_p04;study01_p05,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,development,study01,study01_p04,study01/study01_p04,study01/study01_p04_prep.set,study01/study01_p04_prep.fdt,1,2,layout_01,layout_01,release_preprocessed_as_delivered,200.0,24,23,present_complete,4,study01_p01;study01_p02;study01_p03;study01_p05,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,development,study01,study01_p05,study01/study01_p05,study01/study01_p05_prep.set,study01/study01_p05_prep.fdt,1,2,layout_01,layout_01,release_preprocessed_as_delivered,200.0,26,26,present_complete,4,study01_p01;study01_p02;study01_p03;study01_p04,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study02,study02_p02,study02/study02_p02,study02/study02_p02_prep.set,study02/study02_p02_prep.fdt,1,2,layout_02,layout_02,release_preprocessed_as_delivered,200.0,19,26,present_complete,14,study02_p03;study02_p06;study02_p07;study02_p08;study02_p09;study02_p10;study02_p11;study02_p12;study02_p13;study02_p14;study02_p15;study02_p16;study02_p17;study02_p18,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study02,study02_p03,study02/study02_p03,study02/study02_p03_prep.set,study02/study02_p03_prep.fdt,1,2,layout_02,layout_02,release_preprocessed_as_delivered,200.0,25,24,present_complete,14,study02_p02;study02_p06;study02_p07;study02_p08;study02_p09;study02_p10;study02_p11;study02_p12;study02_p13;study02_p14;study02_p15;study02_p16;study02_p17;study02_p18,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study02,study02_p06,study02/study02_p06,study02/study02_p06_prep.set,study02/study02_p06_prep.fdt,1,2,layout_02,layout_02,release_preprocessed_as_delivered,200.0,22,24,present_complete,14,study02_p02;study02_p03;study02_p07;study02_p08;study02_p09;study02_p10;study02_p11;study02_p12;study02_p13;study02_p14;study02_p15;study02_p16;study02_p17;study02_p18,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study02,study02_p07,study02/study02_p07,study02/study02_p07_prep.set,study02/study02_p07_prep.fdt,1,2,layout_02,layout_02,release_preprocessed_as_delivered,200.0,26,22,present_complete,14,study02_p02;study02_p03;study02_p06;study02_p08;study02_p09;study02_p10;study02_p11;study02_p12;study02_p13;study02_p14;study02_p15;study02_p16;study02_p17;study02_p18,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study02,study02_p08,study02/study02_p08,study02/study02_p08_prep.set,study02/study02_p08_prep.fdt,1,2,layout_02,layout_02,release_preprocessed_as_delivered,200.0,19,26,present_complete,14,study02_p02;study02_p03;study02_p06;study02_p07;study02_p09;study02_p10;study02_p11;study02_p12;study02_p13;study02_p14;study02_p15;study02_p16;study02_p17;study02_p18,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study02,study02_p09,study02/study02_p09,study02/study02_p09_prep.set,study02/study02_p09_prep.fdt,1,2,layout_02,layout_02,release_preprocessed_as_delivered,200.0,25,26,present_complete,14,study02_p02;study02_p03;study02_p06;study02_p07;study02_p08;study02_p10;study02_p11;study02_p12;study02_p13;study02_p14;study02_p15;study02_p16;study02_p17;study02_p18,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study02,study02_p10,study02/study02_p10,study02/study02_p10_prep.set,study02/study02_p10_prep.fdt,1,2,layout_02,layout_02,release_preprocessed_as_delivered,200.0,24,25,present_complete,14,study02_p02;study02_p03;study02_p06;study02_p07;study02_p08;study02_p09;study02_p11;study02_p12;study02_p13;study02_p14;study02_p15;study02_p16;study02_p17;study02_p18,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study02,study02_p11,study02/study02_p11,study02/study02_p11_prep.set,study02/study02_p11_prep.fdt,1,2,layout_02,layout_02,release_preprocessed_as_delivered,200.0,24,26,present_complete,14,study02_p02;study02_p03;study02_p06;study02_p07;study02_p08;study02_p09;study02_p10;study02_p12;study02_p13;study02_p14;study02_p15;study02_p16;study02_p17;study02_p18,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study02,study02_p12,study02/study02_p12,study02/study02_p12_prep.set,study02/study02_p12_prep.fdt,1,2,layout_02,layout_02,release_preprocessed_as_delivered,200.0,22,27,present_complete,14,study02_p02;study02_p03;study02_p06;study02_p07;study02_p08;study02_p09;study02_p10;study02_p11;study02_p13;study02_p14;study02_p15;study02_p16;study02_p17;study02_p18,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study02,study02_p13,study02/study02_p13,study02/study02_p13_prep.set,study02/study02_p13_prep.fdt,1,2,layout_02,layout_02,release_preprocessed_as_delivered,200.0,23,25,present_complete,14,study02_p02;study02_p03;study02_p06;study02_p07;study02_p08;study02_p09;study02_p10;study02_p11;study02_p12;study02_p14;study02_p15;study02_p16;study02_p17;study02_p18,metadata_ready
sgeyesub_release_operator_specificity_v1,release_internal_block1_to_block2_not_native_replication,evaluation,study02,study02_p14,study02/study02_p14,study02/study02_p14_prep.set,study02/study02_p14_prep.fdt,1,2,layout_02,layout_02,release_preprocessed_as_delivered,200.0,25,24,present_complete,14,study02_p02;study02_p03;study02_p06;study02_p07;study02_p08;study02_p09;study02_p10;study02_p11;study02_p12;study02_p13;study02_p15;study02_p16;study02_p17;study02_p18,metadata_ready
