method,units,rrmse_mean,correlation_mean,delta_snr_mean
DET-D00,14,0.47246938943862915,0.8817675510680801,3.4253211777125085
DET-D01,14,0.4806446305343083,0.8749816406680421,3.3963411476995264
DET-D10,14,0.4798250836985452,0.8791082586684033,3.2741647703307017
DET-D11,14,0.4729296863079071,0.8829455131989965,3.4641467417989458
DIFF-D00,14,0.46285279414483477,0.885748509589841,3.7626419390684793
DIFF-D01,14,0.4688911182539804,0.8830130654508855,3.6783408112823963
DIFF-D01-CAL,14,0.4835685150963919,0.8763931184159512,3.6487243276621615
DIFF-D01-SHUFFLED-LORA,14,0.4759565879191671,0.8814156402230667,3.674583156194006
DIFF-D01-SHUFFLED-LORA-CAL,14,0.4797769582697323,0.8798554934392688,3.721230280186449
DIFF-D01-WRONG-LORA-0,14,0.47412075315202984,0.8837726877323059,3.4545565588133678
DIFF-D01-WRONG-LORA-0-CAL,14,0.48437243912901196,0.8797517637331184,3.522179313004017
DIFF-D01-WRONG-LORA-1,6,0.5492168168226877,0.8421576407984016,3.3867318630218506
DIFF-D01-WRONG-LORA-1-CAL,6,0.5367537538210551,0.8504426775623047,3.5777282317479453
DIFF-D10,14,0.4711473882198334,0.8830058065154207,3.544716260262898
DIFF-D10-CAL,14,0.4573214788522039,0.8895983236452978,4.102563777140209
DIFF-D10-SHUFFLED-GEOMETRY,14,0.49999787552016123,0.8696369557991231,2.947534513260637
DIFF-D10-SHUFFLED-GEOMETRY-CAL,14,0.481468959578446,0.8788721105392917,3.6543471536466052
DIFF-D10-WRONG-GEOMETRY-0,14,0.4798098770635469,0.8803347084047343,3.605460694858006
DIFF-D10-WRONG-GEOMETRY-0-CAL,14,0.46162636258772444,0.8886446095542982,3.95182437981878
DIFF-D10-WRONG-GEOMETRY-1,6,0.46431749562422436,0.887797299794625,4.602940142154694
DIFF-D10-WRONG-GEOMETRY-1-CAL,6,0.4660961627960205,0.8866296534562217,4.587575922409694
DIFF-D11,14,0.4600879294531686,0.8901466404515077,3.7931075266429355
DIFF-D11-CAL,14,0.4601557712469782,0.888350868481209,4.036738197186163
DIFF-D11-SHUFFLED-BOTH,14,0.49728527878011974,0.8763363639806804,2.9963362323386327
DIFF-D11-SHUFFLED-BOTH-CAL,14,0.49012300797871183,0.876549673065387,3.4381245809075023
DIFF-D11-WRONG-BOTH-0,14,0.47917306210313526,0.8847274368256223,3.542295809303011
DIFF-D11-WRONG-BOTH-0-CAL,14,0.46197013769830975,0.8899918091089176,3.9421466003571237
DIFF-D11-WRONG-BOTH-1,6,0.4938741624355316,0.8694256075985933,4.128114586075147
DIFF-D11-WRONG-BOTH-1-CAL,6,0.4837528069814046,0.8757936721950633,4.279309347271919
RAW,14,0.7826311822448458,0.7915050463074064,0.0
