fold_id,study,recording_key,method,eog_coherence_reduction,nonartifact_preservation,psd_distortion,covariance_distortion
study01_layout_01_heldout_00,study01,study01/study01_p01,RAW,0.0,1.0,0.0,0.0
study01_layout_01_heldout_00,study01,study01/study01_p01,DET-D00,0.017786061575893186,0.6996243298053741,0.2605089843273163,0.35050124763894985
study01_layout_01_heldout_00,study01,study01/study01_p01,DET-D10,0.021241497593642827,0.6779130101203918,0.2550853192806244,0.36350614401369863
study01_layout_01_heldout_00,study01,study01/study01_p01,DET-D01,0.017916778977639207,0.7432557642459869,0.2070189118385315,0.3158301844899148
study01_layout_01_heldout_00,study01,study01/study01_p01,DET-D11,0.021241497593642827,0.6779130101203918,0.2550853192806244,0.36350614401369863
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-D00,0.016671129630814338,0.7043609023094177,0.24083077907562256,0.3363878327909159
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-D10,0.02071710909588327,0.6917530000209808,0.25355902314186096,0.3527896363282229
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-D01,0.01795971668164792,0.7193067073822021,0.10647189617156982,0.2894827201242814
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-D11,0.025594173143778383,0.7346741259098053,0.08862122148275375,0.2605909414613677
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-D10-SHUFFLED-GEOMETRY,0.022252066422189618,0.7300128042697906,0.21570660173892975,0.3344072888770045
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-D01-SHUFFLED-LORA,0.017408187244215917,0.6821259558200836,0.1338306963443756,0.31883462820372016
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-D11-SHUFFLED-BOTH,0.024795961317381474,0.7891510874032974,0.048380933701992035,0.09726820801919998
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-D10-CAL,0.018644293224246343,0.7239874601364136,0.2575981914997101,0.3495023082146018
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-D01-CAL,0.0177074885156391,0.7188843786716461,0.12794260680675507,0.300313961074389
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-D11-CAL,0.021855235597568343,0.7475848495960236,0.1454097181558609,0.29975939438729027
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-D10-SHUFFLED-GEOMETRY-CAL,0.019837970636656578,0.7304978668689728,0.23164448142051697,0.33717454588978085
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-D01-SHUFFLED-LORA-CAL,0.0172663445921679,0.6894075572490692,0.11571807414293289,0.3242979837099415
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-D11-SHUFFLED-BOTH-CAL,0.021319389271003936,0.7857196927070618,0.1080571711063385,0.21365698325134477
study01_layout_01_heldout_00,study01,study01/study01_p02,RAW,0.0,1.0,0.0,0.0
study01_layout_01_heldout_00,study01,study01/study01_p02,DET-D00,0.009131165903768147,0.7019568085670471,0.19067788124084473,0.38593308671020154
study01_layout_01_heldout_00,study01,study01/study01_p02,DET-D10,0.01522406841756712,0.7353939116001129,0.169151172041893,0.332968496545
study01_layout_01_heldout_00,study01,study01/study01_p02,DET-D01,0.008349548190318301,0.7711237072944641,0.1541604846715927,0.2572585189347177
study01_layout_01_heldout_00,study01,study01/study01_p02,DET-D11,0.015127510763704777,0.7696437835693359,0.15103480219841003,0.25589030030095344
study01_layout_01_heldout_00,study01,study01/study01_p02,DIFF-D00,0.008441960029625176,0.6858860552310944,0.1955026388168335,0.4129596255905349
study01_layout_01_heldout_00,study01,study01/study01_p02,DIFF-D10,0.014341544191320908,0.716819167137146,0.18036200106143951,0.3642631997253214
study01_layout_01_heldout_00,study01,study01/study01_p02,DIFF-D01,0.009965142195016659,0.7446673810482025,0.0916607677936554,0.14081898938500817
study01_layout_01_heldout_00,study01,study01/study01_p02,DIFF-D11,0.018161263983247092,0.7503299117088318,0.09511298686265945,0.24290549139341955
study01_layout_01_heldout_00,study01,study01/study01_p02,DIFF-D10-SHUFFLED-GEOMETRY,0.01134085453693466,0.6855533719062805,0.19746004045009613,0.4256522830411741
study01_layout_01_heldout_00,study01,study01/study01_p02,DIFF-D01-SHUFFLED-LORA,0.008721640959767435,0.7691261321306229,0.14012953639030457,0.24489864631234576
study01_layout_01_heldout_00,study01,study01/study01_p02,DIFF-D11-SHUFFLED-BOTH,0.012005211078915105,0.7628046721220016,0.12006232142448425,0.2761320111232537
study01_layout_01_heldout_00,study01,study01/study01_p02,DIFF-D10-CAL,0.011895726715888955,0.7592963427305222,0.15735220909118652,0.32091897634078603
