route,coverage,fallback_units,U_D,U_P,U_W,U_S,calibrated_U_P,mean_subject_effect,nonnegative_study_counts,subject_nonnegative_studies,severe_reversal_fraction,eog_coherence_reduction,preservation,psd_distortion,covariance_distortion,mean_w,w_ge_0_25_fraction,diagnostic_qualifies,qualification_failures
D10,0.7857142857142857,3,0.008677695478711809,-0.008294594074998583,0.001388418355158397,0.028850487300327847,0.005531315292630877,0.007314770526829221,"{""U_P"": 2, ""U_S"": 5, ""U_W"": 3}",3,0.07142857142857142,0.03246675567446801,0.7788224305425372,0.1263412181288004,0.23400191236246554,0.31071428571428567,0.35714285714285715,False,personalization_coverage_lt_0.80
D01,0.7857142857142857,3,0.011753512280327933,-0.006038324109145573,0.01781665746654783,0.0070654696651867455,-0.02071572095155716,0.006281267674196335,"{""U_P"": 2, ""U_S"": 3, ""U_W"": 4}",4,0.21428571428571427,0.03354126988784724,0.7624933485473905,0.11240314399557454,0.21693732688167908,0.6714285714285715,0.7142857142857143,False,personalization_coverage_lt_0.80;severe_reversal_fraction_gt_0.20
D11,0.7857142857142857,3,0.012841756854738508,0.0027648646916661945,0.022472950496843884,0.037197349326951165,0.0026970228978565763,0.020811721505153747,"{""U_P"": 2, ""U_S"": 4, ""U_W"": 4}",4,0.14285714285714285,0.0336308185547229,0.7613869107195309,0.11783820231045995,0.23045277346306414,0.5071428571428571,0.7142857142857143,False,personalization_coverage_lt_0.80
