fold_id,study,recording_key,D10_U_D,D10_U_P,D10_U_W,D10_U_S,D10_CAL_U_P,D01_U_D,D01_U_P,D01_U_W,D01_U_S,D01_CAL_U_P,D11_U_D,D11_U_P,D11_U_W,D11_U_S,D11_CAL_U_P,G,A,C,I
study01_layout_01_heldout_00,study01,study01/study01_p01,0.036696404218673706,0.10425278544425964,0.03148207068443298,0.09881642460823059,0.09407913684844971,0.012295961380004883,0.017727553844451904,0.05330571532249451,0.027804791927337646,0.015826165676116943,0.14186230301856995,0.20941868424415588,0.15587783604860306,0.18711242079734802,0.1711103618144989,0.10425278544425964,0.017727553844451904,0.20941868424415588,0.08743834495544434
study01_layout_01_heldout_00,study01,study01/study01_p02,-0.033915698528289795,0.0968775749206543,0.025965385138988495,0.10100290179252625,0.11037519574165344,-0.020411819219589233,0.019153743982315063,0.044245123863220215,-0.01995086669921875,0.041038334369659424,-0.002420872449874878,0.16161110997200012,0.15630017220973969,0.12952202558517456,0.16161110997200012,0.0968775749206543,0.019153743982315063,0.16161110997200012,0.04557979106903076
study01_layout_01_heldout_00,study01,study01/study01_p03,-0.0031464099884033203,0.034528493881225586,-0.10658542811870575,0.09236019849777222,0.045478999614715576,0.03946572542190552,-0.06170153617858887,-0.019506067037582397,-0.04981297254562378,-0.06170153617858887,0.0005518198013305664,0.0140303373336792,-0.21267707645893097,0.07186204195022583,0.0140303373336792,0.034528493881225586,-0.06170153617858887,0.0140303373336792,0.04120337963104248
study01_layout_01_heldout_01,study01,study01/study01_p04,0.002176940441131592,-0.0323852002620697,-0.018513202667236328,0.018346786499023438,-0.001118689775466919,-0.00473746657371521,0.018988460302352905,0.020403578877449036,-0.0057111382484436035,0.01681944727897644,-0.011080533266067505,-0.0060627758502960205,0.021597787737846375,0.007602125406265259,0.006658315658569336,-0.0323852002620697,0.018988460302352905,-0.0060627758502960205,0.007333964109420776
study01_layout_01_heldout_01,study01,study01/study01_p05,-0.038901567459106445,-0.039557039737701416,0.23227459192276,-0.08064466714859009,-0.27260464429855347,-0.02665567398071289,0.0,0.13119304180145264,0.15064889192581177,-0.27260464429855347,-0.05277669429779053,-0.06752485036849976,0.21086835861206055,-0.08304160833358765,-0.2717363238334656,-0.039557039737701416,0.0,-0.06752485036849976,-0.02796781063079834
study02_layout_02_heldout_03,study02,study02/study02_p11,-0.041977375745773315,-0.13034051656723022,-0.16472305357456207,0.008811980485916138,0.05493590235710144,-0.01683327555656433,0.010173141956329346,0.033130720257759094,-0.011646658182144165,0.05165499448776245,-0.03085198998451233,-0.060691654682159424,-0.029029682278633118,-0.007240325212478638,0.029718101024627686,-0.13034051656723022,0.010173141956329346,-0.060691654682159424,0.059475719928741455
study02_layout_02_heldout_03,study02,study02/study02_p12,0.022281527519226074,0.020266950130462646,0.09895959496498108,0.08044326305389404,0.020266950130462646,0.020199060440063477,-0.12868356704711914,-0.12137624621391296,-0.12868356704711914,-0.12868356704711914,-0.006964832544326782,-0.12250858545303345,-0.0534432977437973,-0.06233227252960205,-0.11208021640777588,0.020266950130462646,-0.12868356704711914,-0.12250858545303345,-0.014091968536376953
study03_layout_03_heldout_00,study03,study03/study03_p03,0.004898101091384888,0.010411113500595093,0.07844012975692749,-0.0013965368270874023,0.030173689126968384,-0.007965326309204102,0.019732803106307983,0.03641772270202637,0.12540709972381592,0.02862417697906494,-0.012949734926223755,0.04807603359222412,0.18277379870414734,0.16791579127311707,0.05528867244720459,0.010411113500595093,0.019732803106307983,0.04807603359222412,0.017932116985321045
study03_layout_03_heldout_00,study03,study03/study03_p19,0.0028992295265197754,-0.1694856882095337,-0.17033925652503967,0.0411452054977417,-0.008417069911956787,0.020307153463363647,0.029485374689102173,0.01355750858783722,0.011880546808242798,0.028419047594070435,0.023472964763641357,-0.1107136607170105,-0.12480856478214264,0.028432726860046387,-0.013884872198104858,-0.1694856882095337,0.029485374689102173,-0.1107136607170105,0.02928665280342102
study04_layout_04_heldout_01,study04,study04/study04_p28,0.05105087161064148,-0.013424500823020935,-0.013816609978675842,0.030849963426589966,0.001537233591079712,0.03407832980155945,-0.000580713152885437,0.052253544330596924,-0.000580713152885437,-0.000580713152885437,0.02047675848007202,-0.022270873188972473,-0.015882819890975952,0.022003591060638428,0.0016984939575195312,-0.013424500823020935,-0.000580713152885437,-0.022270873188972473,-0.008265659213066101
study04_layout_04_heldout_01,study04,study04/study04_p29,0.044594138860702515,0.00273171067237854,0.026293635368347168,0.014171302318572998,0.00273171067237854,0.03997492790222168,-0.008831799030303955,0.0058085620403289795,-0.0004388391971588135,-0.008831799030303955,0.03563383221626282,-0.004655659198760986,0.02304479479789734,0.05892637372016907,-0.004655659198760986,0.00273171067237854,-0.008831799030303955,-0.004655659198760986,0.0014444291591644287
study05_layout_05_heldout_00,study05,study05/study05_p06,0.046618372201919556,0.0,0.0,0.0,0.0,0.046618372201919556,0.0,0.0,0.0,0.0,0.046618372201919556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
study05_layout_05_heldout_00,study05,study05/study05_p10,0.02720317244529724,0.0,0.0,0.0,0.0,0.02720317244529724,0.0,0.0,0.0,0.0,0.02720317244529724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
study05_layout_05_heldout_00,study05,study05/study05_p24,0.0010100305080413818,0.0,0.0,0.0,0.0,0.0010100305080413818,0.0,0.0,0.0,0.0,0.0010100305080413818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
