route,study,units,U_D,U_P,U_W,U_S,mean_subject_effect
D10,study01,5,-0.0074180662631988525,0.032743322849273684,0.03292468339204788,0.04597632884979248,0.03721477836370469
D10,study02,2,-0.00984792411327362,-0.05503678321838379,-0.0328817293047905,0.04462762176990509,-0.014430296917756399
D10,study03,2,0.0038986653089523315,-0.0795372873544693,-0.04594956338405609,0.01987433433532715,-0.035204172134399414
D10,study04,2,0.047822505235672,-0.0053463950753211975,0.006238512694835663,0.022510632872581482,0.007800916830698649
D10,study05,3,0.02494385838508606,0.0,0.0,0.0,0.0
D01,study01,5,-8.654594421386718e-06,-0.0011663556098937989,0.0459282785654068,0.020595741271972657,0.021785888075828555
D01,study02,2,0.0016828924417495728,-0.0592552125453949,-0.044122762978076935,-0.07016511261463165,-0.05784769604603449
D01,study03,2,0.006170913577079773,0.024609088897705078,0.024987615644931793,0.06864382326602936,0.03941350926955541
D01,study04,2,0.037026628851890564,-0.004706256091594696,0.02903105318546295,-0.0005097761750221252,0.007938340306282043
D01,study05,3,0.02494385838508606,0.0,0.0,0.0,0.0
D11,study01,5,0.01522720456123352,0.06229450106620789,0.06639341562986374,0.0626114010810852,0.06376643925905227
D11,study02,2,-0.018908411264419556,-0.09160012006759644,-0.04123649001121521,-0.034786298871040344,-0.055874302983284
D11,study03,2,0.005261614918708801,-0.03131881356239319,0.02898261696100235,0.09817425906658173,0.031946020821730294
D11,study04,2,0.02805529534816742,-0.01346326619386673,0.0035809874534606934,0.04046498239040375,0.010194234549999237
D11,study05,3,0.02494385838508606,0.0,0.0,0.0,0.0
