artifact_utility,covariance_utility,coverage_achieved,coverage_requested,dataset,erp_utility,exact_cell,maximum_safe_coverage,output_input_RMS_ratio,preservation_utility,psd_utility,status,unit_id
0.09277783574230247,0.03225519142285366,0.5454545454545454,0.5,klados,nan,klados_19ch_256hz,0.5454545454545454,0.7280213002798339,0.023719754687273942,0.05111496145623487,success,sim37
0.09620646589815204,0.03699675730587999,0.8181818181818182,0.8,klados,nan,klados_19ch_256hz,0.8181818181818182,0.7270584556440909,0.024455440473331813,0.05643672229145613,success,sim37
0.05223412840495578,0.031169216163289826,1.0,1.0,klados,nan,klados_19ch_256hz,1.0,0.736536032114382,0.014568564262764316,0.028602950262417465,success,sim37
0.03239973920729006,0.014005730376793632,0.4444444444444444,0.5,klados,nan,klados_19ch_256hz,0.4444444444444444,0.6336376001560099,0.010248723332967113,0.022368556117841387,success,sim38
0.039964287922388986,0.03684802007613783,0.7777777777777778,0.8,klados,nan,klados_19ch_256hz,0.7777777777777778,0.6319149163650746,0.012437058564186199,0.032060066720634356,success,sim38
0.03893287291349412,0.033328424885721145,1.0,1.0,klados,nan,klados_19ch_256hz,1.0,0.632916855821559,0.012586475885036918,0.03139840922114312,success,sim38
0.02854093803445737,0.0011255669910900379,0.4444444444444444,0.5,klados,nan,klados_19ch_256hz,0.4444444444444444,0.6373650334883212,0.007169473665494253,0.022221094624440524,success,sim39
0.03420825238258035,-0.012581764948578468,0.7777777777777778,0.8,klados,nan,klados_19ch_256hz,0.7777777777777778,0.6416531183446879,0.008636917626988372,0.01996428660292565,success,sim39
nan,nan,0.0,1.0,klados,nan,klados_19ch_256hz,0.7777777777777778,nan,nan,nan,infeasible_safety_constraint,sim39
0.05518694879401281,0.024254274209561978,0.5,0.5,klados,nan,klados_19ch_256hz,0.5,0.6954707835180967,0.013827569031349518,0.03370517224845471,success,sim40
0.06542369907892917,0.027934011034681343,0.8,0.8,klados,nan,klados_19ch_256hz,0.8,0.694894207837939,0.01610251529185558,0.03590838133260921,success,sim40
0.05521070453798366,0.0042102801648538635,1.0,1.0,klados,nan,klados_19ch_256hz,1.0,0.7024876910078349,0.014695209754764349,0.02241117693188735,success,sim40
