artifact_utility,covariance_utility,coverage,dataset,exact_cell,preservation_utility,psd_utility,query_external_signal_feature_used,query_outcome_feature_used,status,unit_id
0.0504716607201694,0.031242967363937058,0.6363636363636364,klados,19ch_native_linked_mastoid_256hz,0.013670683924312699,0.03195414273598665,False,False,success_leave_one_unit_out_exact_cell,sim37
0.026599802744876777,0.007223904503345882,0.5555555555555556,klados,19ch_native_linked_mastoid_256hz,0.008885440688250257,0.02589908504659752,False,False,success_leave_one_unit_out_exact_cell,sim38
0.00874424941320412,-0.01602706305346622,0.8888888888888888,klados,19ch_native_linked_mastoid_256hz,0.002566272114032375,0.0038703273153952444,False,False,success_leave_one_unit_out_exact_cell,sim39
0.058740636439531424,0.02238778279315993,0.8,klados,19ch_native_linked_mastoid_256hz,0.015231604731473114,0.03313257110899451,False,False,success_leave_one_unit_out_exact_cell,sim40
0.012360563509861922,0.004553996294708679,0.5,klados,19ch_native_linked_mastoid_256hz,0.004083574835129555,0.005467243181257547,False,False,success_leave_one_unit_out_exact_cell,sim41
0.007474159965792926,-0.006685418482181876,0.4,klados,19ch_native_linked_mastoid_256hz,0.0022630389635526216,0.005015528795813934,False,False,success_leave_one_unit_out_exact_cell,sim42
0.036161565505733684,0.0025968158384544193,0.6666666666666666,klados,19ch_native_linked_mastoid_256hz,0.011041204433964613,0.0057609040999970496,False,False,success_leave_one_unit_out_exact_cell,sim43
0.011557096981902382,0.011320626422923127,0.3,klados,19ch_native_linked_mastoid_256hz,0.00389843348063168,0.006350346734143475,False,False,success_leave_one_unit_out_exact_cell,sim46
0.0035149259371087815,0.005211560520464342,0.1,klados,19ch_native_linked_mastoid_256hz,0.001591747544607336,0.003431290717783364,False,False,success_leave_one_unit_out_exact_cell,sim47
0.024983458104267053,-0.006458668109147775,0.4,klados,19ch_native_linked_mastoid_256hz,0.009074164562000497,0.018810234564852313,False,False,success_leave_one_unit_out_exact_cell,sim48
0.03449066682274882,0.07734710187795424,0.3333333333333333,klados,19ch_native_linked_mastoid_256hz,0.01366799289948073,0.032812073710509204,False,False,success_leave_one_unit_out_exact_cell,sim49
