kind,restoration_validation_mse,step,training_loss
population,0.1424832976423204,500,0.14110149443149567
population,0.14463803628459573,1000,0.1084803119301796
population,0.14108367832377552,1500,0.0801527127623558
population,0.1402223538607359,2000,0.07837449014186859
population,0.13857198217883707,2500,0.09388189762830734
population,0.1381219602189958,3000,0.11659549921751022
population,0.1398604366928339,3500,0.07150998711585999
population,0.14048378514125942,4000,0.10696500539779663
population,0.14077014103531837,4500,0.08571966737508774
population,0.13792804032564163,5000,0.10206884890794754
population,0.13999327477067708,5500,0.06962414085865021
population,0.13944416921585798,6000,0.08574184030294418
population,0.14321216978132725,6500,0.09708502888679504
population,0.1410575719550252,7000,0.0691738948225975
population,0.14358990667387844,7500,0.06875079870223999
population,0.14183597983792423,8000,0.06412874162197113
population,0.14214847674593328,8500,0.05293739587068558
population,0.14181233951821923,9000,0.08465757220983505
