protocol,method,diagnostic_subjects,paired_rrmse,paired_correlation,delta_snr,eog_attenuation,preservation,psd_distortion,covariance_distortion,mi_kappa
same_session,DET-MATCH,3,0.553640044397778,0.8336680663956536,-2.7816800853150756,0.09378600677325862,0.4852184123463101,0.14907420509391361,0.5562971130251236,0.16620370370370374
same_session,DET-POP,3,0.5539790491263071,0.833420005109575,-2.7867969465951083,0.09387232130968276,0.4848531848854489,0.14910773436228433,0.5566874280478165,0.16620370370370374
same_session,DIFF-MATCH,3,0.6220840480592515,0.8070024450620016,-3.8050489488261556,0.09651203241406216,0.4131074183517032,0.15018931527932486,0.5320798836150374,0.17083333333333334
same_session,DIFF-POP,3,0.6229191488689847,0.8064866132206387,-3.8160365937182448,0.0966491985514208,0.41217222147517735,0.15022790928681692,0.5328342896066544,0.17083333333333334
same_session,DIFF-SHUFFLED,3,0.619390500916375,0.8087814185354445,-3.7682703699308413,0.09580453143190638,0.4161420994334751,0.1499635229508082,0.5278226710440388,0.17314814814814816
same_session,DIFF-WRONG-0,3,0.622342050075531,0.806885838508606,-3.80904411918991,0.09668155839195314,0.41273828016387093,0.15011427137586805,0.5331081748805327,0.1675925925925926
same_session,DIFF-WRONG-1,3,0.6219200491905212,0.807112369272444,-3.803189577630583,0.09658195589738035,0.41319333844714695,0.15009036329057482,0.532462312686117,0.1675925925925926
same_session,DIFF-WRONG-2,3,0.6223620971043905,0.8067020310295953,-3.8101365892223424,0.09682694452032908,0.4127228756745656,0.15016673505306244,0.5335307205507873,0.1675925925925926
same_session,RAW,3,0.4048357473479377,0.9281249509917365,0.0,0.0,1.0,0.0,0.0,0.15324074074074073
cross_session,DET-MATCH,3,0.5553628355264664,0.8314875861008962,-2.9347856454970667,0.08540243935702298,0.48002417882283527,0.14947041620810828,0.5628097747051496,0.13819444444444448
cross_session,DET-POP,3,0.5558777501185735,0.8311078051726023,-2.9426191256674037,0.0855332022205133,0.47946179409821826,0.14951748152573904,0.5633782040886687,0.13819444444444448
cross_session,DIFF-MATCH,3,0.6251998245716095,0.8006425102551779,-3.9693338011359294,0.09533967524421988,0.4055723746617635,0.14991720020771027,0.537899229001468,0.12291666666666666
cross_session,DIFF-POP,3,0.6260595420996348,0.8001114924748739,-3.9810189379410517,0.0954867560002539,0.4046216706434886,0.14996246000130972,0.5387277645778025,0.12291666666666666
cross_session,DIFF-SHUFFLED,3,0.6226421793301901,0.8023009896278381,-3.932766390626174,0.09471705874980048,0.40848589440186817,0.14969811091820398,0.5337827836343888,0.12291666666666666
cross_session,DIFF-WRONG-0,3,0.6252758304278055,0.800592174132665,-3.9713189778345863,0.09551040660934867,0.4054388453563054,0.1498463973402977,0.538995977571654,0.12013888888888889
cross_session,DIFF-WRONG-1,3,0.6248817046483358,0.8008236487706503,-3.965943595989455,0.09544774772668325,0.40586263438065845,0.1498294249176979,0.5383688130726411,0.12013888888888889
cross_session,DIFF-WRONG-2,3,0.6253077983856201,0.8004256784915924,-3.9728915369288877,0.09561821521708258,0.4054081092278163,0.14990201344092688,0.539427066603142,0.12013888888888889
cross_session,RAW,3,0.40035855770111084,0.9285532236099243,0.0,0.0,1.0,0.0,0.0,0.12986111111111112
