fold,heldout_subject,protocol,donor_index,rrmse
0,1,same_01,0,0.6065151691436768
0,1,same_01,1,0.6062076687812805
0,1,same_01,2,0.6064022779464722
0,1,same_02,0,0.5620803833007812
0,1,same_02,1,0.5619886517524719
0,1,same_02,2,0.5622803568840027
0,1,same_03,0,0.6288939118385315
0,1,same_03,1,0.6287564635276794
0,1,same_03,2,0.6290117502212524
0,1,cross_02,0,0.5520718693733215
0,1,cross_02,1,0.5520749688148499
0,1,cross_02,2,0.5524303317070007
0,1,cross_03,0,0.6371362209320068
0,1,cross_03,1,0.637012779712677
0,1,cross_03,2,0.6372681260108948
1,2,same_01,0,0.6590405702590942
1,2,same_01,1,0.6585452556610107
1,2,same_01,2,0.6580339670181274
1,2,same_02,0,0.6722953915596008
1,2,same_02,1,0.6717149019241333
1,2,same_02,2,0.6709318161010742
1,2,same_03,0,0.7160341739654541
1,2,same_03,1,0.715484619140625
1,2,same_03,2,0.7149535417556763
1,2,cross_02,0,0.675282895565033
1,2,cross_02,1,0.674690306186676
1,2,cross_02,2,0.6739362478256226
1,2,cross_03,0,0.7301510572433472
1,2,cross_03,1,0.7295695543289185
1,2,cross_03,2,0.7289820909500122
2,3,same_01,0,0.601549506187439
2,3,same_01,1,0.6009869575500488
2,3,same_01,2,0.6027422547340393
2,3,same_02,0,0.5705481171607971
2,3,same_02,1,0.5700633525848389
2,3,same_02,2,0.5716121792793274
2,3,same_03,0,0.5841212272644043
2,3,same_03,1,0.5835325717926025
2,3,same_03,2,0.5852907299995422
2,3,cross_02,0,0.5742424130439758
2,3,cross_02,1,0.5737358331680298
2,3,cross_02,2,0.5753404498100281
2,3,cross_03,0,0.5827705264091492
2,3,cross_03,1,0.5822067856788635
2,3,cross_03,2,0.5838895440101624
