fold,heldout_subject,protocol,method,eog_attenuation,nonartifact_preservation,psd_distortion,covariance_distortion,mi_kappa,eligible,alpha_active
0,1,same_01,RAW,0.0,1.0,0.0,0.0,0.4666666666666667,1,1
0,1,same_01,DET-POP,0.05507075168295866,0.5274547338485718,0.12161873281002045,0.4249229272002234,0.5333333333333333,1,1
0,1,same_01,DET-MATCH,0.05490766861476004,0.5279654264450073,0.12155818939208984,0.4241970826470306,0.5333333333333333,1,1
0,1,same_01,DIFF-POP,0.0650371746936192,0.4683353900909424,0.1361445039510727,0.45246492950789036,0.5666666666666667,1,1
0,1,same_01,DIFF-MATCH,0.06478235071214536,0.4690104126930237,0.13606442511081696,0.45157790048245033,0.5666666666666667,1,1
0,1,same_01,DIFF-SHUFFLED,0.0639569500926882,0.4713377356529236,0.1358075588941574,0.44807704000247184,0.5666666666666667,1,1
0,1,same_01,DIFF-WRONG-0,0.06461072873531115,0.46915924549102783,0.1357223391532898,0.451463083230155,0.5666666666666667,1,1
0,1,same_01,DIFF-WRONG-1,0.064570438168529,0.46932822465896606,0.13583900034427643,0.4511005216572669,0.5666666666666667,1,1
0,1,same_01,DIFF-WRONG-2,0.06468712838573587,0.4691019654273987,0.13584548234939575,0.45150242930252954,0.5666666666666667,1,1
0,1,same_02,RAW,0.0,1.0,0.0,0.0,0.1166666666666667,0,0
0,1,same_02,DET-POP,0.09965404454204772,0.5441501438617706,0.11446160078048706,0.45753374841483624,0.1166666666666667,0,0
0,1,same_02,DET-MATCH,0.09965404454204772,0.5441501438617706,0.11446160078048706,0.45753374841483624,0.1166666666666667,0,0
0,1,same_02,DIFF-POP,0.1144584653278192,0.46145790815353394,0.12995143234729767,0.45529726800892406,0.1333333333333333,0,0
0,1,same_02,DIFF-MATCH,0.1144584653278192,0.46145790815353394,0.12995143234729767,0.45529726800892406,0.1333333333333333,0,0
0,1,same_02,DIFF-SHUFFLED,0.1144584653278192,0.46145790815353394,0.12995143234729767,0.45529726800892406,0.1333333333333333,0,0
0,1,same_02,DIFF-WRONG-0,0.11384156263536878,0.46261656284332275,0.1293715238571167,0.4541236942465048,0.1333333333333333,0,0
0,1,same_02,DIFF-WRONG-1,0.11384459419382945,0.46271419525146484,0.12948563694953918,0.45388891576896995,0.1333333333333333,0,0
0,1,same_02,DIFF-WRONG-2,0.1139861945476797,0.4624284505844116,0.12953795492649078,0.4542665836041911,0.1333333333333333,0,0
0,1,same_03,RAW,0.0,1.0,0.0,0.0,0.475,1,1
0,1,same_03,DET-POP,0.037859758931315615,0.4713987112045288,0.11803843080997467,0.5203878617536333,0.5,1,1
0,1,same_03,DET-MATCH,0.03772008636345467,0.47180086374282837,0.11800013482570648,0.5196530775889138,0.5,1,1
0,1,same_03,DIFF-POP,0.039257522361973926,0.3842402696609497,0.13545936346054077,0.5304547748769347,0.4625,1,1
0,1,same_03,DIFF-MATCH,0.03925640353312096,0.3849393129348755,0.13513992726802826,0.5294812128102726,0.4625,1,1
0,1,same_03,DIFF-SHUFFLED,0.03904838828990857,0.3863378167152405,0.1353064477443695,0.5281550767687828,0.4625,1,1
0,1,same_03,DIFF-WRONG-0,0.039353749714791775,0.38501089811325073,0.13479578495025635,0.5291817315178526,0.4625,1,1
0,1,same_03,DIFF-WRONG-1,0.03928402676764463,0.38523828983306885,0.1348983347415924,0.5290058355989927,0.4625,1,1
0,1,same_03,DIFF-WRONG-2,0.03929770996587145,0.385015070438385,0.13499920070171356,0.5293680985350033,0.4625,1,1
0,1,cross_02,RAW,0.0,1.0,0.0,0.0,0.1166666666666667,1,1
0,1,cross_02,DET-POP,0.09965404454204772,0.5441501438617706,0.11446160078048706,0.45753374841483624,0.1166666666666667,1,1
0,1,cross_02,DET-MATCH,0.0994270866115888,0.5447421669960022,0.11441216617822647,0.4569720997745181,0.1166666666666667,1,1
0,1,cross_02,DIFF-POP,0.11928480242689452,0.47103559970855713,0.13031573593616486,0.4457909954472827,0.1166666666666667,1,1
0,1,cross_02,DIFF-MATCH,0.11898622786005339,0.4718966484069824,0.1301642209291458,0.44495629498689326,0.1166666666666667,1,1
0,1,cross_02,DIFF-SHUFFLED,0.11808517947793008,0.4743691086769104,0.13006742298603058,0.44191153924598514,0.09999999999999998,1,1
0,1,cross_02,DIFF-WRONG-0,0.11870635052522024,0.47283393144607544,0.1298380345106125,0.4445470386647425,0.1166666666666667,1,1
0,1,cross_02,DIFF-WRONG-1,0.11870163223809667,0.472786545753479,0.12994930148124695,0.4443374328406159,0.1166666666666667,1,1
0,1,cross_02,DIFF-WRONG-2,0.11883836405144799,0.4724004864692688,0.1300031691789627,0.4447151460075352,0.1166666666666667,1,1
0,1,cross_03,RAW,0.0,1.0,0.0,0.0,0.475,1,1
0,1,cross_03,DET-POP,0.037859758931315615,0.4713987112045288,0.11803843080997467,0.5203878617536333,0.5,1,1
0,1,cross_03,DET-MATCH,0.03770575625821948,0.4718906879425049,0.11796117573976517,0.519527474551308,0.5,1,1
0,1,cross_03,DIFF-POP,0.040984087623655796,0.4044874906539917,0.1356768012046814,0.553570646745077,0.475,1,1
0,1,cross_03,DIFF-MATCH,0.04096427777161202,0.4053037166595459,0.13552437722682953,0.5527833912612614,0.475,1,1
0,1,cross_03,DIFF-SHUFFLED,0.04073058679285978,0.40802818536758423,0.13525168597698212,0.5499053444588184,0.475,1,1
0,1,cross_03,DIFF-WRONG-0,0.041103304260306894,0.4055570960044861,0.1350976526737213,0.5524393530676901,0.475,1,1
0,1,cross_03,DIFF-WRONG-1,0.04102761733035247,0.4057281017303467,0.13519608974456787,0.5522377353183482,0.475,1,1
0,1,cross_03,DIFF-WRONG-2,0.04103920557018784,0.4054586887359619,0.135295569896698,0.5525867430753095,0.475,1,1
1,2,same_01,RAW,0.0,1.0,0.0,0.0,0.1333333333333333,1,1
1,2,same_01,DET-POP,0.0835464068222791,0.4353290796279907,0.17934270203113556,0.6455316581232943,0.09999999999999998,1,1
1,2,same_01,DET-MATCH,0.0833848300131245,0.436165452003479,0.1792953610420227,0.6448531641751143,0.09999999999999998,1,1
1,2,same_01,DIFF-POP,0.10840427909149893,0.3497207760810852,0.1780434548854828,0.6201155066644137,0.1333333333333333,1,1
1,2,same_01,DIFF-MATCH,0.10820960825205678,0.3509586453437805,0.1780674308538437,0.6195423329140809,0.1333333333333333,1,1
1,2,same_01,DIFF-SHUFFLED,0.1078556290982912,0.3528239130973816,0.17808935046195984,0.6183559604217674,0.1333333333333333,1,1
1,2,same_01,DIFF-WRONG-0,0.10820124911454818,0.3517614006996155,0.17812810838222504,0.6197676368229924,0.1333333333333333,1,1
1,2,same_01,DIFF-WRONG-1,0.10804890336779258,0.352303683757782,0.17800921201705933,0.619108480091428,0.1333333333333333,1,1
1,2,same_01,DIFF-WRONG-2,0.10811726368653278,0.3528430461883545,0.17813889682292938,0.6196632009753482,0.1333333333333333,1,1
1,2,same_02,RAW,0.0,1.0,0.0,0.0,0.08333333333333337,1,0
1,2,same_02,DET-POP,0.07029194384813307,0.43173104524612427,0.1676369458436966,0.639204116555217,0.01666666666666672,1,0
1,2,same_02,DET-MATCH,0.07017628393239445,0.43245500326156616,0.16757194697856903,0.6385802944609505,0.01666666666666672,1,0
1,2,same_02,DIFF-POP,0.08276886368791261,0.35756999254226685,0.1701674461364746,0.6103043292259126,0.01666666666666672,1,0
1,2,same_02,DIFF-MATCH,0.08270340040326117,0.35814374685287476,0.17012947797775269,0.6098501129063013,0.01666666666666672,1,0
1,2,same_02,DIFF-SHUFFLED,0.08208646211359236,0.36525607109069824,0.16989509761333466,0.6051221397057663,0.01666666666666672,1,0
1,2,same_02,DIFF-WRONG-0,0.08284124007655513,0.3598594665527344,0.17021024227142334,0.6099053429527328,0.01666666666666672,1,0
1,2,same_02,DIFF-WRONG-1,0.08270514880617459,0.36049920320510864,0.17011183500289917,0.6091378444463844,0.01666666666666672,1,0
1,2,same_02,DIFF-WRONG-2,0.08290362192524803,0.36108726263046265,0.17020930349826813,0.6097905690203875,0.01666666666666672,1,0
1,2,same_03,RAW,0.0,1.0,0.0,0.0,-0.050000000000000044,1,1
1,2,same_03,DET-POP,0.07686301258703074,0.36394035816192627,0.2210334837436676,0.6899799933710627,-0.012499999999999956,1,1
1,2,same_03,DET-MATCH,0.07684822732375729,0.3643074631690979,0.22098112106323242,0.6897570581518969,-0.012499999999999956,1,1
1,2,same_03,DIFF-POP,0.08006163293288815,0.277268648147583,0.20291459560394287,0.6297091473123526,0.0,1,1
1,2,same_03,DIFF-MATCH,0.07992490194737911,0.2808801531791687,0.20305827260017395,0.6287939839876602,0.0,1,1
1,2,same_03,DIFF-SHUFFLED,0.07922600230409038,0.2851487994194031,0.20311367511749268,0.623982064944777,0.0,1,1
1,2,same_03,DIFF-WRONG-0,0.07990410986045995,0.27967607975006104,0.20310619473457336,0.6295014337241105,0.0,1,1
1,2,same_03,DIFF-WRONG-1,0.08004180942144659,0.2802389860153198,0.20298275351524353,0.628917053788115,0.0,1,1
1,2,same_03,DIFF-WRONG-2,0.0799414020859533,0.28095877170562744,0.2031632661819458,0.629479768969153,0.0,1,1
