fold,heldout_subject,protocol,method,rrmse,correlation,delta_snr,eligible
0,1,same_01,RAW,0.40128958225250244,0.9290639162063599,0.0,1
0,1,same_01,DET-POP,0.5428959131240845,0.8398475050926208,-2.6251737406233353,1
0,1,same_01,DET-MATCH,0.5423876643180847,0.8401712775230408,-2.617038367616557,1
0,1,same_01,DIFF-POP,0.6069003939628601,0.80231112241745,-3.5931906820898405,1
0,1,same_01,DIFF-MATCH,0.6062867045402527,0.8028858304023743,-3.584403184995551,1
0,1,same_01,DIFF-SHUFFLED,0.6038405299186707,0.8047501444816589,-3.549287486194361,1
0,1,same_01,DIFF-WRONG-0,0.6065151691436768,0.8032773733139038,-3.587675637649318,1
0,1,same_01,DIFF-WRONG-1,0.6062076687812805,0.8033458590507507,-3.583270815401152,1
0,1,same_01,DIFF-WRONG-2,0.6064022779464722,0.803097128868103,-3.586058774959758,1
0,1,same_02,RAW,0.3287827968597412,0.9516537189483643,0.0,0
0,1,same_02,DET-POP,0.49861809611320496,0.8689956068992615,-3.617179010834798,0
0,1,same_02,DET-MATCH,0.49861809611320496,0.8689956068992615,-3.617179010834798,0
0,1,same_02,DIFF-POP,0.5632804036140442,0.8284175992012024,-4.6763111388402825,0
0,1,same_02,DIFF-MATCH,0.5632804036140442,0.8284175992012024,-4.6763111388402825,0
0,1,same_02,DIFF-SHUFFLED,0.5632804036140442,0.8284175992012024,-4.6763111388402825,0
0,1,same_02,DIFF-WRONG-0,0.5620803833007812,0.8296884298324585,-4.657786860979651,0
0,1,same_02,DIFF-WRONG-1,0.5619886517524719,0.8296417593955994,-4.6563692076472245,0
0,1,same_02,DIFF-WRONG-2,0.5622803568840027,0.8293743133544922,-4.6608765250538635,0
0,1,same_03,RAW,0.4087892174720764,0.9281854629516602,0.0,1
0,1,same_03,DET-POP,0.5609167814254761,0.8288707733154297,-2.747980027155802,1
0,1,same_03,DET-MATCH,0.5605484843254089,0.8291262984275818,-2.742275012158195,1
0,1,same_03,DIFF-POP,0.6299171447753906,0.7849976420402527,-3.7556799384040884,1
0,1,same_03,DIFF-MATCH,0.6291300654411316,0.7859864830970764,-3.7448201627438067,1
0,1,same_03,DIFF-SHUFFLED,0.6279649138450623,0.7864603996276855,-3.728718943281702,1
0,1,same_03,DIFF-WRONG-0,0.6288939118385315,0.7866774201393127,-3.741559169009265,1
0,1,same_03,DIFF-WRONG-1,0.6287564635276794,0.7865805625915527,-3.7396606113701383,1
0,1,same_03,DIFF-WRONG-2,0.6290117502212524,0.7862425446510315,-3.743186526642362,1
0,1,cross_02,RAW,0.3287827968597412,0.9516537189483643,0.0,1
0,1,cross_02,DET-POP,0.49861809611320496,0.8689956068992615,-3.617179010834798,1
0,1,cross_02,DET-MATCH,0.49800071120262146,0.8693282604217529,-3.6064175484900654,1
0,1,cross_02,DIFF-POP,0.5536909699440002,0.8322754502296448,-4.5271671034619505,1
0,1,cross_02,DIFF-MATCH,0.5528602004051208,0.8328549861907959,-4.514124825655906,1
0,1,cross_02,DIFF-SHUFFLED,0.5504008531570435,0.8344981670379639,-4.475400257082246,1
0,1,cross_02,DIFF-WRONG-0,0.5520718693733215,0.8335108160972595,-4.501730656476483,1
0,1,cross_02,DIFF-WRONG-1,0.5520749688148499,0.8334693908691406,-4.501779420655528,1
0,1,cross_02,DIFF-WRONG-2,0.5524303317070007,0.8332083821296692,-4.507368606995743,1
0,1,cross_03,RAW,0.4087892174720764,0.9281854629516602,0.0,1
0,1,cross_03,DET-POP,0.5609167814254761,0.8288707733154297,-2.747980027155802,1
0,1,cross_03,DET-MATCH,0.5604619979858398,0.8291867971420288,-2.7409347734823934,1
0,1,cross_03,DIFF-POP,0.6381831169128418,0.7763656973838806,-3.868917575533351,1
0,1,cross_03,DIFF-MATCH,0.6374379992485046,0.7771052718162537,-3.8587703453662154,1
0,1,cross_03,DIFF-SHUFFLED,0.6350100636482239,0.7791281938552856,-3.825623520940908,1
0,1,cross_03,DIFF-WRONG-0,0.6371362209320068,0.7779860496520996,-3.8546572648413853,1
0,1,cross_03,DIFF-WRONG-1,0.637012779712677,0.7779048681259155,-3.8529742641708236,1
0,1,cross_03,DIFF-WRONG-2,0.6372681260108948,0.7775757908821106,-3.8564553016493393,1
1,2,same_01,RAW,0.446625679731369,0.9170234203338623,0.0,1
1,2,same_01,DET-POP,0.5903320908546448,0.8146676421165466,-2.423054044627824,1
1,2,same_01,DET-MATCH,0.5895313024520874,0.8152823448181152,-2.411263593639123,1
1,2,same_01,DIFF-POP,0.6609829664230347,0.7840569019317627,-3.404931553107293,1
1,2,same_01,DIFF-MATCH,0.6598121523857117,0.7845662832260132,-3.389532398410617,1
1,2,same_01,DIFF-SHUFFLED,0.6580310463905334,0.7855091691017151,-3.3660538851219055,1
1,2,same_01,DIFF-WRONG-0,0.6590405702590942,0.7845728993415833,-3.3793692045254438,1
1,2,same_01,DIFF-WRONG-1,0.6585452556610107,0.7849137187004089,-3.37283870297769,1
1,2,same_01,DIFF-WRONG-2,0.6580339670181274,0.7847534418106079,-3.366092436787207,1
1,2,same_02,RAW,0.38611993193626404,0.9324119091033936,0.0,1
1,2,same_02,DET-POP,0.5980178713798523,0.8081624507904053,-3.7998388366236306,1
1,2,same_02,DET-MATCH,0.5973944067955017,0.808630108833313,-3.7907786234021628,1
1,2,same_02,DIFF-POP,0.6747848391532898,0.7854416966438293,-4.8488619095294085,1
1,2,same_02,DIFF-MATCH,0.6742326617240906,0.7857463359832764,-4.841751323528294,1
1,2,same_02,DIFF-SHUFFLED,0.6672244668006897,0.7890910506248474,-4.7509948465784335,1
1,2,same_02,DIFF-WRONG-0,0.6722953915596008,0.7860739827156067,-4.816758266136219,1
1,2,same_02,DIFF-WRONG-1,0.6717149019241333,0.7864800691604614,-4.809255244399444,1
1,2,same_02,DIFF-WRONG-2,0.6709318161010742,0.7863524556159973,-4.799123319573422,1
1,2,same_03,RAW,0.5350105166435242,0.8822646141052246,0.0,1
1,2,same_03,DET-POP,0.6629153490066528,0.748538076877594,-1.8619151143007668,1
1,2,same_03,DET-MATCH,0.6625490188598633,0.7489006519317627,-1.8571139240398118,1
1,2,same_03,DIFF-POP,0.7180467844009399,0.7246617674827576,-2.5558084534867342,1
1,2,same_03,DIFF-MATCH,0.7149649262428284,0.7259926795959473,-2.5184483664581387,1
1,2,same_03,DIFF-SHUFFLED,0.7110821604728699,0.7298007011413574,-2.471149285492405,1
1,2,same_03,DIFF-WRONG-0,0.7160341739654541,0.7253177165985107,-2.5314286254136267,1
1,2,same_03,DIFF-WRONG-1,0.715484619140625,0.7257804870605469,-2.5247596626085183,1
1,2,same_03,DIFF-WRONG-2,0.7149535417556763,0.7255910634994507,-2.51831005871374,1
1,2,cross_02,RAW,0.38611993193626404,0.9324119091033936,0.0,1
1,2,cross_02,DET-POP,0.5980178713798523,0.8081624507904053,-3.7998388366236306,1
1,2,cross_02,DET-MATCH,0.5971710681915283,0.8088048696517944,-3.7875307570787973,1
1,2,cross_02,DIFF-POP,0.6777417063713074,0.7785121202468872,-4.8868398158877415,1
1,2,cross_02,DIFF-MATCH,0.6763512492179871,0.7790911793708801,-4.869001510806477,1
1,2,cross_02,DIFF-SHUFFLED,0.6743261218070984,0.7801107168197632,-4.842955251718569,1
1,2,cross_02,DIFF-WRONG-0,0.675282895565033,0.7791825532913208,-4.855270570533489,1
1,2,cross_02,DIFF-WRONG-1,0.674690306186676,0.7796071171760559,-4.8476449876478265,1
1,2,cross_02,DIFF-WRONG-2,0.6739362478256226,0.7794849872589111,-4.837931893436817,1
1,2,cross_03,RAW,0.5350105166435242,0.8822646141052246,0.0,1
1,2,cross_03,DET-POP,0.6629153490066528,0.748538076877594,-1.8619151143007668,1
1,2,cross_03,DET-MATCH,0.6621383428573608,0.7492998838424683,-1.8517283717169044,1
1,2,cross_03,DIFF-POP,0.7322853207588196,0.7120474576950073,-2.7263601892271567,1
1,2,cross_03,DIFF-MATCH,0.7310593128204346,0.7126988768577576,-2.711805897783519,1
1,2,cross_03,DIFF-SHUFFLED,0.7292430400848389,0.7138562798500061,-2.690199478212283,1
1,2,cross_03,DIFF-WRONG-0,0.7301510572433472,0.7128015160560608,-2.701007988210268,1
1,2,cross_03,DIFF-WRONG-1,0.7295695543289185,0.7133054733276367,-2.694087663367177,1
1,2,cross_03,DIFF-WRONG-2,0.7289820909500122,0.7131456136703491,-2.687090801284139,1
2,3,same_01,RAW,0.3934551179409027,0.9357178807258606,0.0,1
2,3,same_01,DET-POP,0.5173169374465942,0.859618067741394,-2.3772299801003918,1
2,3,same_01,DET-MATCH,0.5171197652816772,0.8597388863563538,-2.373918775692451,1
2,3,same_01,DIFF-POP,0.6002135276794434,0.8419355750083923,-3.668211610538181,1
2,3,same_01,DIFF-MATCH,0.5997097492218018,0.8422874808311462,-3.660918203657194,1
2,3,same_01,DIFF-SHUFFLED,0.5962890982627869,0.8445450663566589,-3.6112334104038233,1
2,3,same_01,DIFF-WRONG-0,0.601549506187439,0.8411676287651062,-3.68752351535224,1
2,3,same_01,DIFF-WRONG-1,0.6009869575500488,0.841490626335144,-3.6793969663715087,1
2,3,same_01,DIFF-WRONG-2,0.6027422547340393,0.8406357765197754,-3.704728790627506,1
2,3,same_02,RAW,0.43210282921791077,0.9214358329772949,0.0,1
2,3,same_02,DET-POP,0.49145597219467163,0.8727051019668579,-1.1179501422607339,1
2,3,same_02,DET-MATCH,0.4913179874420166,0.8727808594703674,-1.1155110863019992,1
2,3,same_02,DIFF-POP,0.5694118142127991,0.8626632690429688,-2.3967872760147806,1
2,3,same_02,DIFF-MATCH,0.5692653656005859,0.8628405332565308,-2.3945530405125797,1
2,3,same_02,DIFF-SHUFFLED,0.567119836807251,0.8640478253364563,-2.3617545696804023,1
2,3,same_02,DIFF-WRONG-0,0.5705481171607971,0.8621249198913574,-2.4141033324812047,1
2,3,same_02,DIFF-WRONG-1,0.5700633525848389,0.8623567819595337,-2.406720254242185,1
2,3,same_02,DIFF-WRONG-2,0.5716121792793274,0.8617745041847229,-2.430287275894855,1
2,3,same_03,RAW,0.31134605407714844,0.9553678035736084,0.0,1
2,3,same_03,DET-POP,0.5233424305915833,0.8593748211860657,-4.510851622828691,1
2,3,same_03,DET-MATCH,0.523293673992157,0.8593865633010864,-4.510042374150579,1
2,3,same_03,DIFF-POP,0.5827344655990601,0.8438939452171326,-5.444546781453595,1
2,3,same_03,DIFF-MATCH,0.5820744037628174,0.844298779964447,-5.434702720288938,1
2,3,same_03,DIFF-SHUFFLED,0.5796820521354675,0.8464108109474182,-5.398929763784258,1
2,3,same_03,DIFF-WRONG-0,0.5841212272644043,0.8430721759796143,-5.465192461162224,1
2,3,same_03,DIFF-WRONG-1,0.5835325717926025,0.843421459197998,-5.456434733657386,1
2,3,same_03,DIFF-WRONG-2,0.5852907299995422,0.8424970507621765,-5.482565594748367,1
2,3,cross_02,RAW,0.43210282921791077,0.9214358329772949,0.0,1
2,3,cross_02,DET-POP,0.49145597219467163,0.8727051019668579,-1.1179501422607339,1
2,3,cross_02,DET-MATCH,0.49130094051361084,0.8727911114692688,-1.1152097126268083,1
2,3,cross_02,DIFF-POP,0.5730310678482056,0.86153244972229,-2.451821174533309,1
2,3,cross_02,DIFF-MATCH,0.5726096630096436,0.861798107624054,-2.445431254923818,1
2,3,cross_02,DIFF-SHUFFLED,0.569624125957489,0.8635596036911011,-2.400025306246417,1
2,3,cross_02,DIFF-WRONG-0,0.5742424130439758,0.8609384298324585,-2.470163121364919,1
2,3,cross_02,DIFF-WRONG-1,0.5737358331680298,0.8611867427825928,-2.4624973015718155,1
2,3,cross_02,DIFF-WRONG-2,0.5753404498100281,0.8605616688728333,-2.4867559732193905,1
2,3,cross_03,RAW,0.31134605407714844,0.9553678035736084,0.0,1
2,3,cross_03,DET-POP,0.5233424305915833,0.8593748211860657,-4.510851622828691,1
2,3,cross_03,DET-MATCH,0.5231039524078369,0.859514594078064,-4.506892709587431,1
2,3,cross_03,DIFF-POP,0.5814250707626343,0.8399357795715332,-5.425007769002805,1
2,3,cross_03,DIFF-MATCH,0.5808805227279663,0.8403066396713257,-5.416868972279637,1
2,3,cross_03,DIFF-SHUFFLED,0.5772488713264465,0.8426529765129089,-5.362394529556619,1
2,3,cross_03,DIFF-WRONG-0,0.5827705264091492,0.8391336798667908,-5.445084265580974,1
2,3,cross_03,DIFF-WRONG-1,0.5822067856788635,0.8394683003425598,-5.436677938523559,1
2,3,cross_03,DIFF-WRONG-2,0.5838895440101624,0.8385776281356812,-5.461746644987896,1
