fold,prediction,prediction_sha256,query_bundle,query_eog_inference_reads,query_event_inference_reads,query_operator_inference_reads,sealed_reads,seed,support_bundle
0,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/predictions/fold_0_seed_20260825.npz,b8a58d1b896f5efdc0eb2907b98969d3455507c9b4f9edc5c357e9ebdd80d3f0,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_0/natural_test_inference.npz,0,0,0,0,20260825,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_0.npz
0,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/predictions/fold_0_seed_20260826.npz,0e94d5559267effeb432c382cbb92f2e1776f281273c0905306efddd1151e6b7,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_0/natural_test_inference.npz,0,0,0,0,20260826,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_0.npz
0,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/predictions/fold_0_seed_20260827.npz,a639e31cdce8760847a098547130bcf7f12e349c332de0c084dec2132b583ba1,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_0/natural_test_inference.npz,0,0,0,0,20260827,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_0.npz
1,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/predictions/fold_1_seed_20260825.npz,39e610c5a40a630625845214566514ccd1c81ac09941fb68a9955d299c811b41,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_1/natural_test_inference.npz,0,0,0,0,20260825,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_1.npz
1,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/predictions/fold_1_seed_20260826.npz,7717dd226d475fc18be4fa0f0824b6bf806a3b7eca85e9ff1b263df1853e891a,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_1/natural_test_inference.npz,0,0,0,0,20260826,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_1.npz
1,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/predictions/fold_1_seed_20260827.npz,6e636c32e3aaf0fa5f01e5d8001e8413190fc5b57e4c2083cc6c3c99f1c20043,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_1/natural_test_inference.npz,0,0,0,0,20260827,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_1.npz
2,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/predictions/fold_2_seed_20260825.npz,38735468995d07e48713a608ba513bc432ad01764a11e93e50f96b790a35df09,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_2/natural_test_inference.npz,0,0,0,0,20260825,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_2.npz
2,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/predictions/fold_2_seed_20260826.npz,4579d04a75734acba631329c9afb5e80ccb3aa2d8e747d540dfd71de24b02fc1,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_2/natural_test_inference.npz,0,0,0,0,20260826,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_2.npz
2,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/predictions/fold_2_seed_20260827.npz,3cd7bcd36c9b875257622be1a985f83e63d5cb05b5089859e8ed8d1f718cafdf,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_2/natural_test_inference.npz,0,0,0,0,20260827,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_2.npz
3,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/predictions/fold_3_seed_20260825.npz,4c92fb40531278855eac715829c1c597375365cd805bfe12631a8b871c9d05db,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_3/natural_test_inference.npz,0,0,0,0,20260825,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_3.npz
3,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/predictions/fold_3_seed_20260826.npz,cc755b3c74a371d5a458a416e866e70ddd1cd6bdb8e34aa5948ea3305cd93fbf,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_3/natural_test_inference.npz,0,0,0,0,20260826,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_3.npz
3,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/predictions/fold_3_seed_20260827.npz,4e7768abd92216d52f3d827048a84dfdae2bd5498b8597f08ad923986a31aa8d,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_3/natural_test_inference.npz,0,0,0,0,20260827,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_3.npz
4,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/predictions/fold_4_seed_20260825.npz,2658c86b0af2b9281f0dc7b3374e980cc7314f6e8e8a3f44da79bb7951c80958,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_4/natural_test_inference.npz,0,0,0,0,20260825,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_4.npz
4,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/predictions/fold_4_seed_20260826.npz,395e67dac32ab9f7eee2a379e2fbb62e9d488972bc94274d64971a6362735e4a,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_4/natural_test_inference.npz,0,0,0,0,20260826,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_4.npz
4,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/predictions/fold_4_seed_20260827.npz,3513113a2e0cd55b5fea1893588d7623de77d0b47379230c54d7d410155386f7,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_4/natural_test_inference.npz,0,0,0,0,20260827,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_4.npz
