heldout_subject,ridge,outer_training_split_stability
1,1.0,1.1457548117993872
2,1.0,1.1369284084938744
3,0.1,1.1633566397486594
4,1.0,1.1563376922274315
5,1.0,1.1602791660325082
6,1.0,1.1232010921399156
7,1.0,1.1389303252122385
8,1.0,1.139481785896253
9,1.0,1.1654841268139986
