subject,protocol,k,beta_det,beta_score,rrmse,correlation,delta_snr,paired_spectral_utility,status
1,same_01,8,0.0,0.0,0.14366556704044342,0.9899021498577766,8.922104835510254,0.22283638268709183,mechanism_ceiling_not_deployable
1,same_01,8,0.0,0.25,0.14507751166820526,0.989696260088704,8.837157249450684,0.22178401052951813,mechanism_ceiling_not_deployable
1,same_01,8,0.0,0.5,0.14680764079093933,0.9894531013850523,8.734186172485352,0.2206445410847664,mechanism_ceiling_not_deployable
1,same_01,8,0.0,0.75,0.1488448530435562,0.9891727525677964,8.614482879638672,0.21940503269433975,mechanism_ceiling_not_deployable
1,same_01,8,0.0,1.0,0.15117675065994263,0.9888553050278348,8.479459762573242,0.2180718332529068,mechanism_ceiling_not_deployable
1,same_01,8,0.25,0.0,0.14643247425556183,0.9894819055679885,8.7564115524292,0.22022592276334763,mechanism_ceiling_not_deployable
1,same_01,8,0.25,0.25,0.14778171479701996,0.989278760661271,8.67674446105957,0.21918972581624985,mechanism_ceiling_not_deployable
1,same_01,8,0.25,0.5,0.14944469928741455,0.9890382694000234,8.579548835754395,0.21807236969470978,mechanism_ceiling_not_deployable
1,same_01,8,0.25,0.75,0.1514110565185547,0.9887605098406517,8.466007232666016,0.21685820817947388,mechanism_ceiling_not_deployable
1,same_01,8,0.25,1.0,0.15366914868354797,0.9884455726598868,8.337425231933594,0.21554338932037354,mechanism_ceiling_not_deployable
1,same_01,8,0.5,0.0,0.14955829083919525,0.9890031565928867,8.572949409484863,0.2173805832862854,mechanism_ceiling_not_deployable
1,same_01,8,0.5,0.25,0.15084406733512878,0.9888028009467404,8.498594284057617,0.21637092530727386,mechanism_ceiling_not_deployable
1,same_01,8,0.5,0.5,0.15243849158287048,0.9885650277435543,8.407266616821289,0.21526333689689636,mechanism_ceiling_not_deployable
1,same_01,8,0.5,0.75,0.1543319970369339,0.98828991444582,8.300039291381836,0.21406960487365723,mechanism_ceiling_not_deployable
1,same_01,8,0.5,1.0,0.1565137505531311,0.9879775509035441,8.178109169006348,0.2127722054719925,mechanism_ceiling_not_deployable
1,same_01,8,0.75,0.0,0.15302105247974396,0.988465589038677,8.37413501739502,0.21431808173656464,mechanism_ceiling_not_deployable
1,same_01,8,0.75,0.25,0.15424324572086334,0.9882680658380335,8.305035591125488,0.21332904696464539,mechanism_ceiling_not_deployable
1,same_01,8,0.75,0.5,0.155768483877182,0.9880330603421067,8.21956729888916,0.21224062144756317,mechanism_ceiling_not_deployable
1,same_01,8,0.75,0.75,0.15758799016475677,0.9877606491696274,8.118696212768555,0.21105244755744934,mechanism_ceiling_not_deployable
