subject,group,protocol,k,method,rrmse,correlation,delta_snr,paired_spectral_utility,shared_raw_decoder_kappa,preservation,covariance,eog_attenuation,mi_band_distortion,erd_preservation,method_specific_kappa
1,P1-P3,same_01,8,RAW,0.4012896716594696,0.9290639013933104,0.0,0.0,0.43333333333333335,1.0,0.0,0.0,0.0,1.0,0.43333333333333335
1,P1-P3,same_01,8,LINEAR-MATCH,0.14366556704044342,0.9899021498577766,8.922104835510254,0.22283638268709183,0.4666666666666667,0.8433037251234055,0.07237539268457713,0.03388838070264448,0.036823165344200964,0.9783928770518499,0.3666666666666667
1,P1-P3,same_01,8,DET-MATCH,0.15679846704006195,0.9878689178160649,8.162322998046875,0.2110508382320404,0.4666666666666667,0.8424289524555206,0.09417173281227517,0.04013198088454105,0.040963847032188506,0.9725336910005721,0.2666666666666667
1,P1-P3,same_01,8,DIFF-MATCH,0.16318358480930328,0.9868653950884245,7.815629959106445,0.2065770924091339,0.43333333333333335,0.8459232300519943,0.09507361744302531,0.04342508196486625,0.039151217032407405,0.9748711309669671,0.30000000000000004
1,P1-P3,same_01,8,SCORE-ONLY,0.15117675065994263,0.9888553050278348,8.479459762573242,0.2180718332529068,0.4666666666666667,0.8462121784687042,0.07314092309364312,0.03747806347847574,0.03526131847048113,0.9807424271926657,0.3666666666666667
1,P1-P3,same_02,8,RAW,0.3287827968597412,0.951654456788883,0.0,0.0,-0.10000000000000009,1.0,0.0,0.0,0.0,1.0,-0.10000000000000009
1,P1-P3,same_02,8,LINEAR-MATCH,0.08344170451164246,0.9965532164617151,11.910518646240234,0.192368533462286,0.09999999999999998,0.7858864068984985,0.07815421188654846,0.09262833860236613,0.03919504408415815,0.9743126149225944,0.1333333333333333
1,P1-P3,same_02,8,DET-MATCH,0.1018277257680893,0.9948470481092396,10.18086051940918,0.1801440678536892,0.09999999999999998,0.784095287322998,0.10480630499905536,0.09469393676510529,0.04424412561508916,0.9674299688053436,0.09999999999999998
1,P1-P3,same_02,8,DIFF-MATCH,0.11076415330171585,0.9938460459214681,9.450197219848633,0.16725140810012817,0.09999999999999998,0.7913976609706879,0.10663052403029677,0.0949615429749193,0.04102491392181738,0.9699774983446825,0.16666666666666663
1,P1-P3,same_02,8,SCORE-ONLY,0.09724841266870499,0.9953947036900901,10.580531120300293,0.17777761071920395,0.09999999999999998,0.7927608340978622,0.07996737315624741,0.09308883580447906,0.036566477559405626,0.9762309598771017,0.1333333333333333
1,P1-P3,same_03,8,RAW,0.4087892770767212,0.9281836228013818,0.0,0.0,0.675,1.0,0.0,0.0,0.0,1.0,0.675
1,P1-P3,same_03,8,LINEAR-MATCH,0.12201979011297226,0.992563747034994,10.501384735107422,0.07469168677926064,0.6,0.7988534718751907,0.08174275854049473,0.04446896453701912,0.04991799718006491,0.9631706126054903,0.625
1,P1-P3,same_03,8,DET-MATCH,0.12142257392406464,0.9925886083859139,10.544000625610352,0.07994028553366661,0.6,0.7850784361362457,0.10484277110071565,0.05646304648836223,0.05493641853340552,0.9583640356345179,0.625
1,P1-P3,same_03,8,DIFF-MATCH,0.12035916745662689,0.9927862086016042,10.620407104492188,0.08033781126141548,0.6,0.7903980910778046,0.10358251539710667,0.05579298146403744,0.053033820766745995,0.9600262174161127,0.6
1,P1-P3,same_03,8,SCORE-ONLY,0.12908007204532623,0.9919799866257396,10.012805938720703,0.07622083276510239,0.625,0.8007816076278687,0.08042126931539778,0.043724070104255774,0.04813621922111962,0.9647112489270067,0.575
1,P1-P3,same_01,32,RAW,0.4012896716594696,0.9290639013933104,0.0,0.0,0.43333333333333335,1.0,0.0,0.0,0.0,1.0,0.43333333333333335
1,P1-P3,same_01,32,LINEAR-MATCH,0.14366556704044342,0.9899021498577766,8.922104835510254,0.22283638268709183,0.4666666666666667,0.8433037251234055,0.07237539268457713,0.03388838070264448,0.036823165344200964,0.9783928770518499,0.3666666666666667
1,P1-P3,same_01,32,DET-MATCH,0.15679846704006195,0.9878689178160649,8.162322998046875,0.2110508382320404,0.4666666666666667,0.8424289524555206,0.09417173281227517,0.04013198088454105,0.040963847032188506,0.9725336910005721,0.2666666666666667
1,P1-P3,same_01,32,DIFF-MATCH,0.1622852385044098,0.9870067556891966,7.863579273223877,0.2068190574645996,0.43333333333333335,0.8469724655151367,0.0948002847215001,0.043362402595246555,0.039361923893307844,0.9746957821002643,0.30000000000000004
1,P1-P3,same_01,32,SCORE-ONLY,0.15018217265605927,0.9890005479859423,8.536791801452637,0.21823804080486298,0.4666666666666667,0.8471096009016037,0.07295925592896271,0.037419477996566766,0.03540184216361936,0.9805617370375387,0.30000000000000004
1,P1-P3,same_02,32,RAW,0.3287827968597412,0.951654456788883,0.0,0.0,-0.10000000000000009,1.0,0.0,0.0,0.0,1.0,-0.10000000000000009
1,P1-P3,same_02,32,LINEAR-MATCH,0.08344170451164246,0.9965532164617151,11.910518646240234,0.192368533462286,0.09999999999999998,0.7858864068984985,0.07815421188654846,0.09262833860236613,0.03919504408415815,0.9743126149225944,0.1333333333333333
1,P1-P3,same_02,32,DET-MATCH,0.1018277257680893,0.9948470481092396,10.18086051940918,0.1801440678536892,0.09999999999999998,0.784095287322998,0.10480630499905536,0.09469393676510529,0.04424412561508916,0.9674299688053436,0.09999999999999998
1,P1-P3,same_02,32,DIFF-MATCH,0.10923108458518982,0.9940129489017109,9.571256637573242,0.16799429059028625,0.09999999999999998,0.7928363531827927,0.10768560014614814,0.09502168923781602,0.04081120765752614,0.9699757928387212,0.1333333333333333
1,P1-P3,same_02,32,SCORE-ONLY,0.09484261274337769,0.9956176683607907,10.798111915588379,0.17872927337884903,0.06666666666666665,0.7942632585763931,0.08093800784936364,0.09313288316798209,0.036343765976063716,0.9762210592702525,0.09999999999999998
1,P1-P3,same_03,32,RAW,0.4087892770767212,0.9281836228013818,0.0,0.0,0.675,1.0,0.0,0.0,0.0,1.0,0.675
