subject,group,k,method,rrmse,correlation,delta_snr,paired_spectral_utility,preservation,covariance,eog_attenuation,mi_band_distortion,erd_preservation,shared_raw_decoder_kappa,method_specific_kappa
1,P1-P3,8,RAW,0.37962058186531067,0.9363006603278584,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3361111111111111,0.3361111111111111
1,P1-P3,8,LINEAR-MATCH,0.11637568722168605,0.9930063711181619,10.444669405619303,0.16329886764287949,0.8093478679656982,0.07742412103720676,0.05699522794734325,0.04197873553614134,0.9719587015266448,0.38888888888888884,0.375
1,P1-P3,8,DET-MATCH,0.12668292224407196,0.9917681914370728,9.629061381022135,0.15704506387313208,0.8038675586382548,0.10127360297068205,0.06376298804600286,0.046714797060227735,0.966109231813478,0.38888888888888884,0.33055555555555555
1,P1-P3,8,DIFF-MATCH,0.13143563518921533,0.9911658832038323,9.295411427815756,0.15138877059022585,0.8092396607001623,0.10176221895680959,0.064726535467941,0.04440331724032359,0.9682916155759207,0.37777777777777777,0.35555555555555557
1,P1-P3,8,SCORE-ONLY,0.12583507845799127,0.9920766651145548,9.690932273864746,0.1573567589124044,0.8132515400648117,0.07784318852176277,0.05809698979573685,0.039988005083668794,0.9738948786655914,0.3972222222222222,0.35833333333333334
1,P1-P3,32,RAW,0.37962058186531067,0.9363006603278584,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3361111111111111,0.3361111111111111
1,P1-P3,32,LINEAR-MATCH,0.11637568722168605,0.9930063711181619,10.444669405619303,0.16329886764287949,0.8093478679656982,0.07742412103720676,0.05699522794734325,0.04197873553614134,0.9719587015266448,0.38888888888888884,0.375
1,P1-P3,32,DET-MATCH,0.12668292224407196,0.9917681914370728,9.629061381022135,0.15704506387313208,0.8038675586382548,0.10127360297068205,0.06376298804600286,0.046714797060227735,0.966109231813478,0.38888888888888884,0.33055555555555555
1,P1-P3,32,DIFF-MATCH,0.1294229825337728,0.991411243568932,9.439830938975016,0.15231048439939818,0.8104632397492727,0.10218280305383287,0.06468382285186153,0.044385624973147596,0.9681827973288581,0.38611111111111107,0.3527777777777778
1,P1-P3,32,SCORE-ONLY,0.12369765837987264,0.9923212671297682,9.85092798868815,0.15819207206368446,0.8144856293996176,0.07822216312312623,0.05806504770355753,0.039949983680647914,0.9737795388264511,0.38611111111111107,0.3333333333333333
2,P1-P3,8,RAW,0.4559187591075897,0.9105428465415856,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.11111111111111109,0.11111111111111109
2,P1-P3,8,LINEAR-MATCH,0.03311048820614815,0.9994381230540604,22.822725931803387,0.20312336335579553,0.8045034408569336,0.1008305489768452,0.10354248085229595,0.08917050129699355,0.9300134388815358,0.14722222222222217,0.15
2,P1-P3,8,DET-MATCH,0.13664045433203378,0.9914378517867805,10.497123718261719,0.17151537661751112,0.7776477734247843,0.16089028420075244,0.10740316093749173,0.09592761562641917,0.925640286881014,0.12777777777777777,0.12222222222222219
2,P1-P3,8,DIFF-MATCH,0.126825084288915,0.9918178267332066,11.165523211161295,0.16949556271235147,0.7895818203687668,0.15471876388790998,0.10761335126724964,0.09167226032728015,0.9296818571615546,0.1583333333333333,0.19722222222222222
2,P1-P3,8,SCORE-ONLY,0.05839252844452858,0.9986887590621638,17.776787439982098,0.19056121073663235,0.8072282125552496,0.09463776025428532,0.10325076459068448,0.08489552027621572,0.9341246038470589,0.17499999999999996,0.1694444444444444
2,P1-P3,32,RAW,0.4559187591075897,0.9105428465415856,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.11111111111111109,0.11111111111111109
2,P1-P3,32,LINEAR-MATCH,0.03311048820614815,0.9994381230540604,22.822725931803387,0.20312336335579553,0.8045034408569336,0.1008305489768452,0.10354248085229595,0.08917050129699355,0.9300134388815358,0.14722222222222217,0.15
2,P1-P3,32,DET-MATCH,0.13664045433203378,0.9914378517867805,10.497123718261719,0.17151537661751112,0.7776477734247843,0.16089028420075244,0.10740316093749173,0.09592761562641917,0.925640286881014,0.12777777777777777,0.12222222222222219
2,P1-P3,32,DIFF-MATCH,0.12422975897789001,0.9921677453703576,11.349469502766928,0.17254058395822844,0.7903047949075699,0.15485139420936098,0.10761719646284125,0.0920153867167181,0.929411023284751,0.1333333333333333,0.15555555555555556
2,P1-P3,32,SCORE-ONLY,0.051710100223620735,0.9990281139219176,18.831785202026367,0.19529270629088083,0.8085601478815079,0.09477678601312467,0.10324611083772535,0.08527253198512375,0.9338396406644769,0.15555555555555553,0.16388888888888886
3,P1-P3,8,RAW,0.3789679706096649,0.9375585921598694,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.05000000000000001,-0.05000000000000001
3,P1-P3,8,LINEAR-MATCH,0.035530498872200646,0.9992774402001903,21.675352732340496,0.20413344105084738,0.8382201194763184,0.08797210533271065,0.11154800888204697,0.060981869648424634,0.9514448307306788,-0.044444444444444474,-0.036111111111111094
3,P1-P3,8,DET-MATCH,0.07246766984462738,0.9974952612597369,14.300549825032553,0.17416245490312576,0.814273938536644,0.12683034501976823,0.12008641457958917,0.07579845711672799,0.9352767669843941,-0.047222222222222276,0.013888888888888876
3,P1-P3,8,DIFF-MATCH,0.0793285792072614,0.9969145039674832,13.52586555480957,0.16451909268895784,0.8127955844004949,0.12533301879446904,0.1216249642228941,0.07103285360871832,0.9428768667767685,-0.06388888888888893,-0.013888888888888914
3,P1-P3,8,SCORE-ONLY,0.04715062864124775,0.9988528755477112,18.419609705607098,0.1873890639593204,0.8364525983730952,0.08686746020972676,0.11307977217408656,0.05690155037099873,0.959018334013442,-0.03333333333333336,-3.700743415417188e-17
3,P1-P3,32,RAW,0.3789679706096649,0.9375585921598694,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.05000000000000001,-0.05000000000000001
3,P1-P3,32,LINEAR-MATCH,0.035530498872200646,0.9992774402001903,21.675352732340496,0.20413344105084738,0.8382201194763184,0.08797210533271065,0.11154800888204697,0.060981869648424634,0.9514448307306788,-0.044444444444444474,-0.036111111111111094
3,P1-P3,32,DET-MATCH,0.07246766984462738,0.9974952612597369,14.300549825032553,0.17416245490312576,0.814273938536644,0.12683034501976823,0.12008641457958917,0.07579845711672799,0.9352767669843941,-0.047222222222222276,0.013888888888888876
3,P1-P3,32,DIFF-MATCH,0.07771681994199753,0.9970518663813511,13.705881754557291,0.16651529694596925,0.8134986112515131,0.12516730484879376,0.12161788438147987,0.07080187890835694,0.9429049638522956,-0.05833333333333338,0.005555555555555573
3,P1-P3,32,SCORE-ONLY,0.04394890057543913,0.998977241510339,19.18428675333659,0.19128225619594255,0.8372253775596619,0.08661943433465975,0.11302730917977588,0.05674141820128636,0.9590334159249648,-0.022222222222222292,-0.02777777777777779
4,P4-P9,8,RAW,0.38088934620221454,0.933969457993468,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7746718621821165,0.7746718621821165
4,P4-P9,8,LINEAR-MATCH,0.11573217622935772,0.9856177354865173,16.820098718007404,0.14648088347166777,0.807539184888204,0.08629142575318809,0.11432153045227729,0.06398455840033154,0.9419854205882178,0.7308122104115563,0.7373861566484518
4,P4-P9,8,DET-MATCH,0.10920051361123721,0.9926919340448456,11.762820561726889,0.13332268098990122,0.7977224538723627,0.1029646146825428,0.11965426255550753,0.06317479726910143,0.9436179759848177,0.7197010993004452,0.7290528233151184
4,P4-P9,8,DIFF-MATCH,0.1107824333012104,0.9923560361332101,11.6089506149292,0.12640957410136858,0.7989737788836161,0.09693594562478013,0.11934099777097486,0.05952026141264836,0.9492190706708663,0.7419233215226674,0.7179417122040074
4,P4-P9,8,SCORE-ONLY,0.13832802201310793,0.9843659698464512,11.833847522735596,0.13158649081985155,0.8044234861930212,0.08019137072195774,0.113825629140472,0.059930711442279204,0.9478105016941388,0.751400254591744,0.7179417122040074
4,P4-P9,32,RAW,0.38088934620221454,0.933969457993468,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7746718621821165,0.7746718621821165
4,P4-P9,32,LINEAR-MATCH,0.11573217622935772,0.9856177354865173,16.820098718007404,0.14648088347166777,0.807539184888204,0.08629142575318809,0.11432153045227729,0.06398455840033154,0.9419854205882178,0.7308122104115563,0.7373861566484518
4,P4-P9,32,DET-MATCH,0.10920051361123721,0.9926919340448456,11.762820561726889,0.13332268098990122,0.7977224538723627,0.1029646146825428,0.11965426255550753,0.06317479726910143,0.9436179759848177,0.7197010993004452,0.7290528233151184
4,P4-P9,32,DIFF-MATCH,0.10682821273803711,0.9926207839135004,12.141155878702799,0.12963500743110976,0.8008893181880316,0.09672269023668316,0.11943280209740198,0.05969693042956298,0.9491079812331088,0.7419233215226674,0.7484972677595628
4,P4-P9,32,SCORE-ONLY,0.1338355727493763,0.9844631590055811,12.715286493301392,0.13591854522625604,0.8063923915227255,0.07996733971715436,0.11390235018284194,0.06009888954967402,0.9477036837017353,0.7308122104115563,0.7290528233151184
5,P4-P9,8,RAW,0.734395166238149,0.809954249008737,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6120755229557185,0.6120755229557185
5,P4-P9,8,LINEAR-MATCH,0.18020699980358282,0.9773264998352912,16.678593317667644,0.17499361683924994,0.8348292956749598,0.09665038935384777,0.10247088158371113,0.0792286061333549,0.9333551411413664,0.6228445534659762,0.5370991187426183
5,P4-P9,8,DET-MATCH,0.17632608115673065,0.9841365720415686,11.352417945861816,0.15169579659899077,0.8118306497732798,0.11814630864704134,0.10734299340009644,0.0880144059198295,0.9171325330973877,0.6461165711165711,0.5482102298537295
