effective_operator_source,latency_seconds,method_id,network_calls_total,operator_source,partition,peak_memory_mb,seed,source_record,status
population_projector,15.788879335857928,M1_observation_warm_start_sdedit,200,population_projector,development,1533.525390625,20260801,sim36,success
population_projector,15.286087355576456,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260802,sim36,success
population_projector,15.249262088909745,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260803,sim36,success
population_projector,15.313379210419953,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260804,sim36,success
population_projector,15.291854552924633,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260805,sim36,success
population_projector,15.32329141907394,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260801,sim36,success
population_projector,15.256656141020358,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260802,sim36,success
population_projector,15.327495196834207,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260803,sim36,success
population_projector,15.283270159736276,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260804,sim36,success
population_projector,13.050469504669309,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260805,sim36,success
population_projector,15.285250487737358,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260801,sim36,success
population_projector,15.332203130237758,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260802,sim36,success
population_projector,15.334463752806187,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260803,sim36,success
population_projector,15.294296325184405,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260804,sim36,success
population_projector,13.167916568927467,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260805,sim36,success
matching_p0,15.24666579067707,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260801,sim36,success
matching_p0,15.212691347114742,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260802,sim36,success
matching_p0,15.191259210929275,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260803,sim36,success
matching_p0,15.244585220701993,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260804,sim36,success
matching_p0,15.254492414183915,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260805,sim36,success
matching_p0,15.207954466342926,M2_final_hard_q_consistency,200,matching_p0,development,1541.650390625,20260801,sim36,success
matching_p0,15.197894745506346,M2_final_hard_q_consistency,200,matching_p0,development,1541.650390625,20260802,sim36,success
matching_p0,15.181141608394682,M2_final_hard_q_consistency,200,matching_p0,development,1541.650390625,20260803,sim36,success
matching_p0,15.274358917959034,M2_final_hard_q_consistency,200,matching_p0,development,1541.650390625,20260804,sim36,success
matching_p0,15.140526328235865,M2_final_hard_q_consistency,200,matching_p0,development,1541.650390625,20260805,sim36,success
matching_p0,15.150655400939286,M4_per_step_quadratic_proximal_q_consistency,200,matching_p0,development,1541.650390625,20260801,sim36,success
matching_p0,15.199938464909792,M4_per_step_quadratic_proximal_q_consistency,200,matching_p0,development,1541.650390625,20260802,sim36,success
matching_p0,15.182710323482752,M4_per_step_quadratic_proximal_q_consistency,200,matching_p0,development,1541.650390625,20260803,sim36,success
matching_p0,15.185305538587272,M4_per_step_quadratic_proximal_q_consistency,200,matching_p0,development,1541.650390625,20260804,sim36,success
matching_p0,15.222957126796246,M4_per_step_quadratic_proximal_q_consistency,200,matching_p0,development,1541.650390625,20260805,sim36,success
query_derived_oracle_projector,15.182795090600848,M1_observation_warm_start_sdedit,200,query_derived_oracle_projector,development,1541.650390625,20260801,sim36,success
query_derived_oracle_projector,15.230328924022615,M1_observation_warm_start_sdedit,200,query_derived_oracle_projector,development,1541.650390625,20260802,sim36,success
query_derived_oracle_projector,15.197988109663129,M1_observation_warm_start_sdedit,200,query_derived_oracle_projector,development,1541.650390625,20260803,sim36,success
query_derived_oracle_projector,15.193305694498122,M1_observation_warm_start_sdedit,200,query_derived_oracle_projector,development,1541.650390625,20260804,sim36,success
query_derived_oracle_projector,15.148244054056704,M1_observation_warm_start_sdedit,200,query_derived_oracle_projector,development,1541.650390625,20260805,sim36,success
query_derived_oracle_projector,15.192805526778102,M2_final_hard_q_consistency,200,query_derived_oracle_projector,development,1541.650390625,20260801,sim36,success
query_derived_oracle_projector,15.172197458334267,M2_final_hard_q_consistency,200,query_derived_oracle_projector,development,1541.650390625,20260802,sim36,success
query_derived_oracle_projector,15.208276592195034,M2_final_hard_q_consistency,200,query_derived_oracle_projector,development,1541.650390625,20260803,sim36,success
query_derived_oracle_projector,15.143680199980736,M2_final_hard_q_consistency,200,query_derived_oracle_projector,development,1541.650390625,20260804,sim36,success
query_derived_oracle_projector,15.231747143901885,M2_final_hard_q_consistency,200,query_derived_oracle_projector,development,1541.650390625,20260805,sim36,success
query_derived_oracle_projector,15.223415745422244,M4_per_step_quadratic_proximal_q_consistency,200,query_derived_oracle_projector,development,1541.650390625,20260801,sim36,success
query_derived_oracle_projector,15.20291518419981,M4_per_step_quadratic_proximal_q_consistency,200,query_derived_oracle_projector,development,1541.650390625,20260802,sim36,success
query_derived_oracle_projector,15.180158606730402,M4_per_step_quadratic_proximal_q_consistency,200,query_derived_oracle_projector,development,1541.650390625,20260803,sim36,success
query_derived_oracle_projector,15.217871363274753,M4_per_step_quadratic_proximal_q_consistency,200,query_derived_oracle_projector,development,1541.650390625,20260804,sim36,success
query_derived_oracle_projector,15.250350145623088,M4_per_step_quadratic_proximal_q_consistency,200,query_derived_oracle_projector,development,1541.650390625,20260805,sim36,success
