participant,protocol,query_session,method,status,ssvep_snr_relative_preservation,ssvep_phase_relative_preservation
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,RAW,success,1.0,1.0
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,POP,success,0.965498594609548,0.9899162653725023
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,DET-NULL,success,0.9726858236644089,0.9888510898088123
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,DET-MATCH,success,0.9595618183995237,0.9769685044376126
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,DIFF-NULL,success,0.9242049321049342,0.9891428497064992
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,DIFF-POP,success,0.9242049321049342,0.9891428497064992
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,DIFF-MATCH,success,0.9316776259485596,0.9848731545770529
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,DET-WRONG-1,success,0.9785455713059408,0.9979411651182628
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,DIFF-WRONG-1,success,0.9339074650977353,0.992398139147224
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,DET-WRONG-2,success,0.9778380192812985,0.9985862814602886
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,DIFF-WRONG-2,success,0.9296810982040844,0.9920895691926969
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,DET-WRONG-3,success,0.9891177272795206,0.9967863413354532
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,DIFF-WRONG-3,success,0.9361255810108464,0.9918641887723019
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,DET-SHUFFLED,success,0.95782200814213,0.9840495096446267
sub-17,S1_MOTION_WITHIN_SESSION,ses-03,DIFF-SHUFFLED,success,0.9299336948207089,0.9892250918193922
sub-17,S1_MOTION_WITHIN_SESSION,ses-04,RAW,success,1.0,1.0
sub-17,S1_MOTION_WITHIN_SESSION,ses-04,POP,success,0.9719182703337839,0.9732341593274866
sub-17,S1_MOTION_WITHIN_SESSION,ses-04,DET-NULL,success,0.8710587000834332,0.9929675723055179
sub-17,S1_MOTION_WITHIN_SESSION,ses-04,DET-MATCH,success,0.972300625870312,0.978229713583312
sub-17,S1_MOTION_WITHIN_SESSION,ses-04,DIFF-NULL,success,0.9901982069555681,0.9831493177351667
sub-17,S1_MOTION_WITHIN_SESSION,ses-04,DIFF-POP,success,0.9901982069555681,0.9831493177351667
sub-17,S1_MOTION_WITHIN_SESSION,ses-04,DIFF-MATCH,success,0.9295278895131022,0.9638778188475567
sub-17,S1_MOTION_WITHIN_SESSION,ses-04,DET-WRONG-1,success,0.9023736356332962,0.9895605526559278
sub-17,S1_MOTION_WITHIN_SESSION,ses-04,DIFF-WRONG-1,success,0.9901843018375169,0.9822973463719058
sub-17,S1_MOTION_WITHIN_SESSION,ses-04,DET-WRONG-2,success,0.8923167990868845,0.989289606632473
