method,participant_protocol_units,ssvep_snr_relative_preservation,ssvep_phase_relative_preservation
DET-MATCH,72,0.9518956756774859,0.9853697728241525
DET-NULL,72,0.9414904794799486,0.9819930518136649
DET-SHUFFLED,72,0.9486816447033498,0.9850140998275205
DET-WRONG-1,72,0.9504999793161942,0.9842621130218776
DET-WRONG-2,72,0.9527547433249706,0.9856499494237563
DET-WRONG-3,72,0.9475223053559484,0.9849209025072945
DIFF-MATCH,72,0.9642945351995932,0.9857442919494128
DIFF-NULL,72,0.9591822723907195,0.9854695435015626
DIFF-POP,72,0.9591822723907195,0.9854695435015626
DIFF-SHUFFLED,72,0.9622227693497689,0.9862241112158036
DIFF-WRONG-1,72,0.9501213734216185,0.9861477301460858
DIFF-WRONG-2,72,0.9602079098268024,0.985486655489887
DIFF-WRONG-3,72,0.9609130454948926,0.9845670208203722
POP,72,0.9427322365819588,0.9800445734001992
RAW,72,1.0,1.0
