protocol,method,gamma,participant_task_units,motion_coherence_reduction,nonartifact_observation_preservation,reference_free_covariance_distortion,reference_free_psd_distortion
S0_STATIC_XSESSION,DET-MATCH,0.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,DET-MATCH,0.25,59,0.003215263171468751,0.947645352719257,0.06173543196981172,0.07433903830469255
S0_STATIC_XSESSION,DET-MATCH,0.5,59,0.006949325518335326,0.8952907051267576,0.11705232433016811,0.14131114274950035
S0_STATIC_XSESSION,DET-MATCH,0.75,59,0.01144255486206483,0.8429360558452496,0.1661558019682781,0.20118122790561263
S0_STATIC_XSESSION,DET-MATCH,1.0,59,0.016926495137356095,0.7905814126449622,0.20929935183778467,0.2542699776645118
S0_STATIC_XSESSION,DET-MATCH,1.25,59,0.022903740532317404,0.7382267834776539,0.24680089275076325,0.30097135041161616
S0_STATIC_XSESSION,DET-NULL,0.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,DET-NULL,0.25,59,0.0034660628475880217,0.9414171943898803,0.0693820695709533,0.08447116718753793
S0_STATIC_XSESSION,DET-NULL,0.5,59,0.007144514597573523,0.8828343872722807,0.13088239249262879,0.15988104634965628
S0_STATIC_XSESSION,DET-NULL,0.75,59,0.011386757085131387,0.824251588197204,0.1847411550657422,0.22657429215387773
S0_STATIC_XSESSION,DET-NULL,1.0,59,0.016815945190393318,0.7656687763124957,0.23124980537283973,0.2849109320175218
S0_STATIC_XSESSION,DET-NULL,1.25,59,0.023425351070650552,0.7070859766139065,0.27077062173873206,0.33527654575941673
S0_STATIC_XSESSION,DET-SHUFFLED,0.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,DET-SHUFFLED,0.25,59,0.0033534035654896395,0.9477717608027949,0.06004213866268905,0.07241862389787843
S0_STATIC_XSESSION,DET-SHUFFLED,0.5,59,0.007191858712141797,0.8955435219252388,0.11390599079963078,0.1378476796237657
S0_STATIC_XSESSION,DET-SHUFFLED,0.75,59,0.011744854877055701,0.8433152914315588,0.16178587871650313,0.19652744070074316
S0_STATIC_XSESSION,DET-SHUFFLED,1.0,59,0.017231514109140735,0.7910870423351052,0.2039192825494471,0.24874383651540946
S0_STATIC_XSESSION,DET-SHUFFLED,1.25,59,0.02299586557230707,0.7388587988502646,0.2406035867831213,0.29484369674444955
S0_STATIC_XSESSION,DET-WRONG-1,0.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,DET-WRONG-1,0.25,59,0.0040577565146199725,0.9414015398439715,0.06806410023352706,0.08263664147264119
S0_STATIC_XSESSION,DET-WRONG-1,0.5,59,0.008626787939061553,0.882803079940505,0.12806410930102272,0.15569308465267767
S0_STATIC_XSESSION,DET-WRONG-1,0.75,59,0.013661522449830831,0.8242046259880319,0.18057198698433877,0.21975209808640056
S0_STATIC_XSESSION,DET-WRONG-1,1.0,59,0.01915800123144004,0.7656061588707617,0.22635734781491648,0.27559171747258404
S0_STATIC_XSESSION,DET-WRONG-1,1.25,59,0.024890601982252073,0.7070077142315143,0.2663437648962907,0.32417991823690423
S0_STATIC_XSESSION,DET-WRONG-2,0.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,DET-WRONG-2,0.25,59,0.0030481126790834687,0.9464264657166865,0.06270995213792964,0.0773012759321827
S0_STATIC_XSESSION,DET-WRONG-2,0.5,59,0.006417871563363884,0.8928529321989518,0.11849380252967691,0.14658348826628367
S0_STATIC_XSESSION,DET-WRONG-2,0.75,59,0.0102825669287625,0.83927939581227,0.1675506590408166,0.20804000338460554
S0_STATIC_XSESSION,DET-WRONG-2,1.0,59,0.014952458535968247,0.7857058639085647,0.2101321505346995,0.2619130888843309
S0_STATIC_XSESSION,DET-WRONG-2,1.25,59,0.020260081863251782,0.7321323132047713,0.24656393601041815,0.30851078069753063
S0_STATIC_XSESSION,DET-WRONG-3,0.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,DET-WRONG-3,0.25,59,0.003241865911473662,0.9468316944647517,0.06012280050082018,0.07271635488575419
S0_STATIC_XSESSION,DET-WRONG-3,0.5,59,0.006847917938889083,0.8936633894346275,0.11390969246873812,0.13820904333902112
S0_STATIC_XSESSION,DET-WRONG-3,0.75,59,0.010963438299752899,0.8404950829522716,0.16161373570236112,0.19680768236817825
S0_STATIC_XSESSION,DET-WRONG-3,1.0,59,0.01574895884525978,0.7873267771013207,0.2035415522446988,0.24887175703326525
S0_STATIC_XSESSION,DET-WRONG-3,1.25,59,0.020684623617236896,0.7341584836338031,0.2400720818690071,0.2948037787908846
S0_STATIC_XSESSION,DIFF-MATCH,0.0,59,0.0,1.0,0.0,0.0
S0_STATIC_XSESSION,DIFF-MATCH,0.25,59,0.001724811081411475,0.9431603569537401,0.05358039487565339,0.06267419562406712
