method,snr_db,rrmse_t,rrmse_s,cc
Noisy,-7.00,5.01187,14.70327,0.19816
Noisy,-6.00,3.98107,9.37600,0.24584
Noisy,-5.00,3.16228,6.01126,0.30342
Noisy,-4.00,2.51189,3.88523,0.37147
Noisy,-3.00,1.99526,2.54090,0.44937
Noisy,-2.00,1.58489,1.68947,0.53471
Noisy,-1.00,1.25893,1.14820,0.62294
Noisy,0.00,1.00000,0.80096,0.70799
Noisy,1.00,0.79433,0.57396,0.78384
Noisy,2.00,0.63096,0.42157,0.84643
SADDPM (ours),-7.00,1.27072,1.51558,0.40577
SADDPM (ours),-6.00,1.11885,1.19434,0.47247
SADDPM (ours),-5.00,1.00785,0.99361,0.53545
SADDPM (ours),-4.00,0.91549,0.87208,0.60277
SADDPM (ours),-3.00,0.82758,0.76360,0.67150
SADDPM (ours),-2.00,0.75359,0.69257,0.72783
SADDPM (ours),-1.00,0.67096,0.59401,0.78217
SADDPM (ours),0.00,0.59024,0.48977,0.82892
SADDPM (ours),1.00,0.51654,0.41646,0.86670
SADDPM (ours),2.00,0.45678,0.34925,0.89390
SimpleCNN,-7.00,1.44367,2.24333,0.44094
SimpleCNN,-6.00,1.17962,1.48454,0.52035
SimpleCNN,-5.00,0.97460,1.03192,0.60154
SimpleCNN,-4.00,0.81566,0.76999,0.67974
SimpleCNN,-3.00,0.69188,0.62009,0.75008
SimpleCNN,-2.00,0.59440,0.52968,0.80898
SimpleCNN,-1.00,0.51609,0.46781,0.85531
SimpleCNN,0.00,0.45247,0.41924,0.88970
SimpleCNN,1.00,0.40128,0.37834,0.91400
SimpleCNN,2.00,0.36113,0.34521,0.93061
ComplexCNN,-7.00,2.00484,4.37665,0.36393
ComplexCNN,-6.00,1.61110,2.82689,0.43993
ComplexCNN,-5.00,1.30113,1.86346,0.52323
ComplexCNN,-4.00,1.05730,1.26929,0.60927
ComplexCNN,-3.00,0.86574,0.91017,0.69220
ComplexCNN,-2.00,0.71569,0.69461,0.76563
ComplexCNN,-1.00,0.59815,0.55674,0.82524
ComplexCNN,0.00,0.50704,0.46414,0.86985
ComplexCNN,1.00,0.43748,0.39894,0.90133
ComplexCNN,2.00,0.38504,0.35412,0.92277
NovelCNN,-7.00,0.76147,0.73987,0.63433
NovelCNN,-6.00,0.66489,0.65708,0.70804
NovelCNN,-5.00,0.58400,0.59334,0.77191
NovelCNN,-4.00,0.51536,0.53868,0.82363
NovelCNN,-3.00,0.45874,0.48850,0.86131
NovelCNN,-2.00,0.41480,0.44539,0.88544
NovelCNN,-1.00,0.38384,0.41235,0.89978
NovelCNN,0.00,0.36335,0.38817,0.90796
NovelCNN,1.00,0.35030,0.37201,0.91266
NovelCNN,2.00,0.34215,0.36108,0.91534
