method,snr_db,rrmse_t,rrmse_s,cc
Noisy,-7.00,5.01187,53.14724,0.18817
Noisy,-6.00,3.98107,33.59473,0.23596
Noisy,-5.00,3.16228,21.26393,0.29386
Noisy,-4.00,2.51189,13.48859,0.36253
Noisy,-3.00,1.99526,8.58665,0.44151
Noisy,-2.00,1.58489,5.49703,0.52841
Noisy,-1.00,1.25893,3.55025,0.61859
Noisy,0.00,1.00000,2.32368,0.70561
Noisy,1.00,0.79433,1.55051,0.78308
Noisy,2.00,0.63096,1.06108,0.84667
SADDPM (ours),-7.00,0.61938,0.57514,0.80057
SADDPM (ours),-6.00,0.55604,0.52421,0.83492
SADDPM (ours),-5.00,0.49380,0.46882,0.86939
SADDPM (ours),-4.00,0.45763,0.44949,0.88812
SADDPM (ours),-3.00,0.41785,0.41802,0.90570
SADDPM (ours),-2.00,0.38724,0.38825,0.91987
SADDPM (ours),-1.00,0.34559,0.35769,0.93578
SADDPM (ours),0.00,0.32303,0.33288,0.94376
SADDPM (ours),1.00,0.29756,0.30155,0.95061
SADDPM (ours),2.00,0.28598,0.29416,0.95327
SimpleCNN,-7.00,0.52814,0.50832,0.84357
SimpleCNN,-6.00,0.46646,0.45615,0.87367
SimpleCNN,-5.00,0.42002,0.41910,0.89501
SimpleCNN,-4.00,0.38537,0.39210,0.90979
SimpleCNN,-3.00,0.35995,0.37257,0.91975
SimpleCNN,-2.00,0.34113,0.35778,0.92645
SimpleCNN,-1.00,0.32756,0.34670,0.93087
SimpleCNN,0.00,0.31786,0.33870,0.93377
SimpleCNN,1.00,0.31076,0.33262,0.93581
SimpleCNN,2.00,0.30542,0.32812,0.93733
ComplexCNN,-7.00,0.49407,0.46357,0.85950
ComplexCNN,-6.00,0.44327,0.42400,0.88280
ComplexCNN,-5.00,0.40470,0.39311,0.89889
ComplexCNN,-4.00,0.37604,0.36910,0.90954
ComplexCNN,-3.00,0.35481,0.35122,0.91659
ComplexCNN,-2.00,0.33958,0.33837,0.92106
ComplexCNN,-1.00,0.32846,0.32790,0.92404
ComplexCNN,0.00,0.32037,0.31994,0.92605
ComplexCNN,1.00,0.31436,0.31378,0.92742
ComplexCNN,2.00,0.31011,0.30893,0.92833
NovelCNN,-7.00,0.47427,0.48384,0.84466
NovelCNN,-6.00,0.44572,0.45260,0.85979
NovelCNN,-5.00,0.42550,0.43036,0.86999
NovelCNN,-4.00,0.41103,0.41448,0.87692
NovelCNN,-3.00,0.40058,0.40313,0.88174
NovelCNN,-2.00,0.39315,0.39506,0.88506
NovelCNN,-1.00,0.38779,0.38920,0.88733
NovelCNN,0.00,0.38402,0.38512,0.88885
NovelCNN,1.00,0.38123,0.38257,0.88995
NovelCNN,2.00,0.37904,0.38105,0.89082
