combined_score,diffusion_loss,loss,one_step_loss,phase,step
,,0.47907131910324097,,anchor,1
,,0.10745789110660553,,anchor,250
,,0.13447603583335876,,anchor,500
,,0.09129604697227478,,anchor,750
,,0.06423065811395645,,anchor,1000
,,0.19217033684253693,,anchor,1250
,,0.06857604533433914,,anchor,1500
,,0.09078747034072876,,anchor,1750
,,0.05822508782148361,,anchor,2000
,,0.046623595058918,,anchor,2250
,,0.15911076962947845,,anchor,2500
,,0.025927510112524033,,anchor,2750
,,0.10218773037195206,,anchor,3000
,,0.01231295708566904,,anchor,3250
,,0.040752243250608444,,anchor,3500
,,0.029909193515777588,,anchor,3750
,,0.01930764876306057,,anchor,4000
,,0.017353003844618797,,anchor,4250
,,0.038125377148389816,,anchor,4500
,,0.020288435742259026,,anchor,4750
,,0.014618098735809326,,anchor,5000
,,0.013815199956297874,,anchor,5250
,,0.02712913043797016,,anchor,5500
,,0.013302536681294441,,anchor,5750
,,0.011983301490545273,,anchor,6000
,,0.01571737416088581,,anchor,6250
,,0.014399763196706772,,anchor,6500
,,0.01050147507339716,,anchor,6750
,,0.009794266894459724,,anchor,7000
,,0.014324736781418324,,anchor,7250
,,0.015975069254636765,,anchor,7500
,,0.01492143515497446,,anchor,7750
,,0.009303625673055649,,anchor,8000
,,0.0374213382601738,,one_step,1
,,0.31877896189689636,,diffusion,1
,,0.015168070793151855,,one_step,250
,,0.11091916263103485,,diffusion,250
0.4008074998855591,0.16881464421749115,,0.23199285566806793,validation,250
,,0.009096037596464157,,one_step,500
,,0.0447835698723793,,diffusion,500
0.37882137298583984,0.14704006910324097,,0.23178130388259888,validation,500
,,0.005877180024981499,,one_step,750
,,0.029225096106529236,,diffusion,750
0.3719293028116226,0.14077112078666687,,0.23115818202495575,validation,750
,,0.006057577673345804,,one_step,1000
,,0.020448843017220497,,diffusion,1000
0.3717975318431854,0.14079459011554718,,0.23100294172763824,validation,1000
,,0.004845326766371727,,one_step,1250
,,0.011923246085643768,,diffusion,1250
0.36771711707115173,0.13672161102294922,,0.23099550604820251,validation,1250
,,0.007346919272094965,,one_step,1500
,,0.011171290650963783,,diffusion,1500
0.3674418032169342,0.1374732255935669,,0.2299685776233673,validation,1500
,,0.0064274887554347515,,one_step,1750
,,0.009927609004080296,,diffusion,1750
0.36556874215602875,0.1348254680633545,,0.23074327409267426,validation,1750
,,0.006534031126648188,,one_step,2000
,,0.007543729618191719,,diffusion,2000
0.36959394812583923,0.13876280188560486,,0.23083114624023438,validation,2000
,,0.005646095611155033,,one_step,2250
,,0.0071226381696760654,,diffusion,2250
0.3683565557003021,0.13847845792770386,,0.22987809777259827,validation,2250
,,0.005614249501377344,,one_step,2500
,,0.006388679146766663,,diffusion,2500
0.3681294322013855,0.13833710551261902,,0.22979232668876648,validation,2500
,,0.006794482935220003,,one_step,2750
,,0.007027372717857361,,diffusion,2750
0.36278320848941803,0.13350063562393188,,0.22928257286548615,validation,2750
,,0.004594091791659594,,one_step,3000
,,0.00478278286755085,,diffusion,3000
0.36424125730991364,0.1337510347366333,,0.23049022257328033,validation,3000
,,0.007710633799433708,,one_step,3250
,,0.004769874736666679,,diffusion,3250
0.36375683546066284,0.13414266705513,,0.22961416840553284,validation,3250
,,0.0046791797503829,,one_step,3500
,,0.005497870035469532,,diffusion,3500
0.36081886291503906,0.13093483448028564,,0.22988402843475342,validation,3500
,,0.005351833533495665,,one_step,3750
,,0.004821488168090582,,diffusion,3750
0.35680800676345825,0.12612786889076233,,0.23068013787269592,validation,3750
,,0.005825408734381199,,one_step,4000
,,0.005450129043310881,,diffusion,4000
0.3601166903972626,0.12977293133735657,,0.230343759059906,validation,4000
,,0.003629856277257204,,one_step,4250
,,0.0033323406241834164,,diffusion,4250
0.35910871624946594,0.12776243686676025,,0.2313462793827057,validation,4250
,,0.0036963075399398804,,one_step,4500
,,0.004006258212029934,,diffusion,4500
0.36180369555950165,0.13063740730285645,,0.2311662882566452,validation,4500
,,0.0038792858831584454,,one_step,4750
,,0.004233387298882008,,diffusion,4750
0.3512950763106346,0.1198798194527626,,0.231415256857872,validation,4750
,,0.00404172670096159,,one_step,5000
,,0.0028765988536179066,,diffusion,5000
