fold,participant,role
0,sub-11,train
0,sub-12,train
0,sub-14,train
0,sub-15,train
0,sub-17,train
0,sub-18,train
0,sub-19,train
0,sub-21,train
0,sub-23,train
0,sub-06,validation
0,sub-07,validation
0,sub-09,validation
0,sub-02,test
0,sub-03,test
0,sub-05,test
1,sub-02,train
1,sub-03,train
1,sub-05,train
1,sub-15,train
1,sub-17,train
1,sub-18,train
1,sub-19,train
1,sub-21,train
1,sub-23,train
1,sub-11,validation
1,sub-12,validation
1,sub-14,validation
1,sub-06,test
1,sub-07,test
1,sub-09,test
2,sub-02,train
2,sub-03,train
2,sub-05,train
2,sub-06,train
2,sub-07,train
2,sub-09,train
2,sub-19,train
2,sub-21,train
2,sub-23,train
2,sub-15,validation
2,sub-17,validation
2,sub-18,validation
2,sub-11,test
2,sub-12,test
2,sub-14,test
3,sub-02,train
3,sub-03,train
3,sub-05,train
3,sub-06,train
3,sub-07,train
3,sub-09,train
3,sub-11,train
3,sub-12,train
3,sub-14,train
3,sub-19,validation
3,sub-21,validation
3,sub-23,validation
3,sub-15,test
3,sub-17,test
3,sub-18,test
4,sub-06,train
4,sub-07,train
4,sub-09,train
4,sub-11,train
4,sub-12,train
4,sub-14,train
4,sub-15,train
4,sub-17,train
4,sub-18,train
4,sub-02,validation
4,sub-03,validation
4,sub-05,validation
4,sub-19,test
4,sub-21,test
4,sub-23,test
