effective_seconds,fold,participant,rrmse_temporal,same_checkpoint,same_noise,same_query,seed,support_seconds,window_count
0,0,sub-02,0.17226076126098633,1,1,1,20261110,0,0
0,0,sub-02,0.8682406544685364,1,1,1,20261110,0,0
0,0,sub-02,0.9801615476608276,1,1,1,20261110,0,0
0,0,sub-02,0.947202742099762,1,1,1,20261110,0,0
0,0,sub-02,1.0137710571289062,1,1,1,20261110,0,0
0,0,sub-02,0.623071551322937,1,1,1,20261110,0,0
0,0,sub-02,1.0654118061065674,1,1,1,20261110,0,0
0,0,sub-02,0.7109655737876892,1,1,1,20261110,0,0
0,0,sub-03,0.7182394862174988,1,1,1,20261110,0,0
0,0,sub-03,0.7416764497756958,1,1,1,20261110,0,0
0,0,sub-03,0.9041689038276672,1,1,1,20261110,0,0
0,0,sub-03,0.6569990515708923,1,1,1,20261110,0,0
0,0,sub-03,0.5529928207397461,1,1,1,20261110,0,0
0,0,sub-03,0.5464502573013306,1,1,1,20261110,0,0
0,0,sub-03,0.6892687082290649,1,1,1,20261110,0,0
0,0,sub-03,0.9956735968589783,1,1,1,20261110,0,0
0,0,sub-05,0.46930012106895447,1,1,1,20261110,0,0
0,0,sub-05,0.5490788221359253,1,1,1,20261110,0,0
0,0,sub-05,0.4056345224380493,1,1,1,20261110,0,0
0,0,sub-05,0.29309606552124023,1,1,1,20261110,0,0
0,0,sub-05,0.6366006135940552,1,1,1,20261110,0,0
0,0,sub-05,1.0093506574630737,1,1,1,20261110,0,0
0,0,sub-05,0.3666461408138275,1,1,1,20261110,0,0
0,0,sub-05,0.7311283349990845,1,1,1,20261110,0,0
10,0,sub-02,0.1704251915216446,1,1,1,20261110,10,5
10,0,sub-02,0.8568124771118164,1,1,1,20261110,10,5
10,0,sub-02,0.976108193397522,1,1,1,20261110,10,5
10,0,sub-02,0.96477872133255,1,1,1,20261110,10,5
10,0,sub-02,1.0071594715118408,1,1,1,20261110,10,5
10,0,sub-02,0.7139050364494324,1,1,1,20261110,10,5
10,0,sub-02,1.0589818954467773,1,1,1,20261110,10,5
10,0,sub-02,0.7199621796607971,1,1,1,20261110,10,5
10,0,sub-03,0.7140129804611206,1,1,1,20261110,10,5
10,0,sub-03,0.7112023234367371,1,1,1,20261110,10,5
10,0,sub-03,0.8932704925537109,1,1,1,20261110,10,5
10,0,sub-03,0.6411356925964355,1,1,1,20261110,10,5
10,0,sub-03,0.5445114970207214,1,1,1,20261110,10,5
10,0,sub-03,0.5259296298027039,1,1,1,20261110,10,5
10,0,sub-03,0.6811543107032776,1,1,1,20261110,10,5
10,0,sub-03,0.9725119471549988,1,1,1,20261110,10,5
10,0,sub-05,0.4748525023460388,1,1,1,20261110,10,5
10,0,sub-05,0.5392446517944336,1,1,1,20261110,10,5
10,0,sub-05,0.41791728138923645,1,1,1,20261110,10,5
10,0,sub-05,0.28837719559669495,1,1,1,20261110,10,5
10,0,sub-05,0.6469539403915405,1,1,1,20261110,10,5
10,0,sub-05,0.9989890456199646,1,1,1,20261110,10,5
10,0,sub-05,0.3777589797973633,1,1,1,20261110,10,5
10,0,sub-05,0.6984879970550537,1,1,1,20261110,10,5
30,0,sub-02,0.1702776849269867,1,1,1,20261110,30,15
30,0,sub-02,0.8472384214401245,1,1,1,20261110,30,15
30,0,sub-02,0.9761539101600647,1,1,1,20261110,30,15
30,0,sub-02,0.9728640913963318,1,1,1,20261110,30,15
30,0,sub-02,1.0119550228118896,1,1,1,20261110,30,15
30,0,sub-02,0.688431978225708,1,1,1,20261110,30,15
30,0,sub-02,1.056868553161621,1,1,1,20261110,30,15
30,0,sub-02,0.7241671681404114,1,1,1,20261110,30,15
30,0,sub-03,0.714923620223999,1,1,1,20261110,30,15
30,0,sub-03,0.7366511821746826,1,1,1,20261110,30,15
30,0,sub-03,0.8925607800483704,1,1,1,20261110,30,15
30,0,sub-03,0.6541407704353333,1,1,1,20261110,30,15
30,0,sub-03,0.5543104410171509,1,1,1,20261110,30,15
30,0,sub-03,0.5482028126716614,1,1,1,20261110,30,15
30,0,sub-03,0.6829811334609985,1,1,1,20261110,30,15
30,0,sub-03,0.9865835309028625,1,1,1,20261110,30,15
30,0,sub-05,0.4843434691429138,1,1,1,20261110,30,15
30,0,sub-05,0.5423517227172852,1,1,1,20261110,30,15
30,0,sub-05,0.42308560013771057,1,1,1,20261110,30,15
30,0,sub-05,0.2930530607700348,1,1,1,20261110,30,15
30,0,sub-05,0.6736767888069153,1,1,1,20261110,30,15
30,0,sub-05,1.0068473815917969,1,1,1,20261110,30,15
30,0,sub-05,0.3982512056827545,1,1,1,20261110,30,15
30,0,sub-05,0.7008439898490906,1,1,1,20261110,30,15
0,0,sub-02,1.1598045825958252,1,1,1,20261111,0,0
0,0,sub-02,0.27528372406959534,1,1,1,20261111,0,0
0,0,sub-02,0.8294373154640198,1,1,1,20261111,0,0
0,0,sub-02,0.33382412791252136,1,1,1,20261111,0,0
0,0,sub-02,0.2945761978626251,1,1,1,20261111,0,0
0,0,sub-02,0.9218413829803467,1,1,1,20261111,0,0
0,0,sub-02,0.4903077185153961,1,1,1,20261111,0,0
0,0,sub-02,0.7015350461006165,1,1,1,20261111,0,0
0,0,sub-03,0.4413699507713318,1,1,1,20261111,0,0
0,0,sub-03,0.591933012008667,1,1,1,20261111,0,0
0,0,sub-03,0.7307968139648438,1,1,1,20261111,0,0
0,0,sub-03,0.9313641786575317,1,1,1,20261111,0,0
0,0,sub-03,0.5158532857894897,1,1,1,20261111,0,0
0,0,sub-03,0.5417667627334595,1,1,1,20261111,0,0
0,0,sub-03,0.5117263197898865,1,1,1,20261111,0,0
0,0,sub-03,0.4784124195575714,1,1,1,20261111,0,0
0,0,sub-05,1.6394908428192139,1,1,1,20261111,0,0
0,0,sub-05,0.9944993257522583,1,1,1,20261111,0,0
0,0,sub-05,1.134306788444519,1,1,1,20261111,0,0
0,0,sub-05,0.6451739072799683,1,1,1,20261111,0,0
0,0,sub-05,0.6122038960456848,1,1,1,20261111,0,0
0,0,sub-05,0.8864652514457703,1,1,1,20261111,0,0
0,0,sub-05,0.7290670871734619,1,1,1,20261111,0,0
0,0,sub-05,0.47324392199516296,1,1,1,20261111,0,0
10,0,sub-02,1.1510016918182373,1,1,1,20261111,10,5
10,0,sub-02,0.26616719365119934,1,1,1,20261111,10,5
10,0,sub-02,0.8253296613693237,1,1,1,20261111,10,5
10,0,sub-02,0.9479307532310486,1,1,1,20261111,10,5
10,0,sub-02,0.2777943015098572,1,1,1,20261111,10,5
10,0,sub-02,0.9212762117385864,1,1,1,20261111,10,5
10,0,sub-02,0.48841333389282227,1,1,1,20261111,10,5
10,0,sub-02,0.6983035802841187,1,1,1,20261111,10,5
10,0,sub-03,0.4301890730857849,1,1,1,20261111,10,5
10,0,sub-03,0.5567052960395813,1,1,1,20261111,10,5
10,0,sub-03,0.7257819175720215,1,1,1,20261111,10,5
10,0,sub-03,0.9295016527175903,1,1,1,20261111,10,5
10,0,sub-03,0.509800136089325,1,1,1,20261111,10,5
10,0,sub-03,0.5424892902374268,1,1,1,20261111,10,5
10,0,sub-03,0.5000863671302795,1,1,1,20261111,10,5
10,0,sub-03,0.446058452129364,1,1,1,20261111,10,5
10,0,sub-05,1.6426478624343872,1,1,1,20261111,10,5
10,0,sub-05,0.9938077330589294,1,1,1,20261111,10,5
