condition,participant,channel,channel_artifact_rmse,channel_rrmse_temporal,fold,seed
CHANNEL_ONLY,sub-02,0,1.8259677700698376,0.769178168783431,0.0,20261110.5
CHANNEL_ONLY,sub-02,1,1.5439151527825743,0.6847659622815643,0.0,20261110.5
CHANNEL_ONLY,sub-02,2,2.1923671825788915,0.7758881214470528,0.0,20261110.5
CHANNEL_ONLY,sub-02,3,1.611930477898568,0.756685164575394,0.0,20261110.5
CHANNEL_ONLY,sub-02,4,1.5166509262053296,0.596930666227244,0.0,20261110.5
CHANNEL_ONLY,sub-02,5,1.7678625076077878,0.5314332141395038,0.0,20261110.5
CHANNEL_ONLY,sub-02,6,1.5234363146591932,0.6086618547199908,0.0,20261110.5
CHANNEL_ONLY,sub-02,7,1.444772073533386,0.6217541813565113,0.0,20261110.5
CHANNEL_ONLY,sub-02,8,1.5293083612341434,0.610188007105551,0.0,20261110.5
CHANNEL_ONLY,sub-02,9,1.6289598315488547,0.38349771917597364,0.0,20261110.5
CHANNEL_ONLY,sub-02,10,2.013021682505496,0.6998867327359583,0.0,20261110.5
CHANNEL_ONLY,sub-02,11,2.0813570463797078,0.628523676120726,0.0,20261110.5
CHANNEL_ONLY,sub-02,12,1.9402186924126,0.5230752161625135,0.0,20261110.5
CHANNEL_ONLY,sub-02,13,2.493931874167174,0.6081383766063825,0.0,20261110.5
CHANNEL_ONLY,sub-02,14,1.764955555088818,0.6185098484105677,0.0,20261110.5
CHANNEL_ONLY,sub-02,15,1.759498136874754,0.5854701197485666,0.0,20261110.5
CHANNEL_ONLY,sub-02,16,2.099446839943994,0.5369360625219441,0.0,20261110.5
CHANNEL_ONLY,sub-02,17,1.825961520546116,0.5799012135930545,0.0,20261110.5
CHANNEL_ONLY,sub-02,18,1.927886740595568,0.5756086709397418,0.0,20261110.5
CHANNEL_ONLY,sub-02,19,1.51653985993471,0.5852885352064179,0.0,20261110.5
CHANNEL_ONLY,sub-02,20,1.5842546087224036,0.5440490389629578,0.0,20261110.5
CHANNEL_ONLY,sub-02,21,1.5357500098180026,0.5283848935531792,0.0,20261110.5
CHANNEL_ONLY,sub-02,22,1.479813383310102,0.527419220291213,0.0,20261110.5
CHANNEL_ONLY,sub-02,23,1.5580156687647104,0.6103084829067493,0.0,20261110.5
CHANNEL_ONLY,sub-02,24,1.232803126098588,0.4885765381896246,0.0,20261110.5
CHANNEL_ONLY,sub-02,25,1.6395335411070846,0.5669497099823142,0.0,20261110.5
CHANNEL_ONLY,sub-02,26,1.3438002575421706,0.5114379888254545,0.0,20261110.5
CHANNEL_ONLY,sub-02,27,1.6555657588178292,0.576014415294316,0.0,20261110.5
CHANNEL_ONLY,sub-02,28,1.5662091394187883,0.5143418715034912,0.0,20261110.5
CHANNEL_ONLY,sub-02,29,1.6490492701996118,0.5663931510973718,0.0,20261110.5
CHANNEL_ONLY,sub-02,30,1.3780749635770917,0.49821638507175203,0.0,20261110.5
CHANNEL_ONLY,sub-02,31,1.5614303424372338,0.5560486337956271,0.0,20261110.5
CHANNEL_ONLY,sub-02,32,3.1847805639263242,1.1487858838409302,0.0,20261110.5
CHANNEL_ONLY,sub-02,33,1.1983615331118926,0.5239156370288834,0.0,20261110.5
CHANNEL_ONLY,sub-02,34,1.3391445658635348,0.5856189140144133,0.0,20261110.5
CHANNEL_ONLY,sub-02,35,1.3771563108311966,0.6605852282082323,0.0,20261110.5
CHANNEL_ONLY,sub-02,36,1.4873769704718143,0.5793456041167108,0.0,20261110.5
CHANNEL_ONLY,sub-02,37,1.1151371602900326,0.5424908282886688,0.0,20261110.5
CHANNEL_ONLY,sub-02,38,1.3139277044683695,0.7068912006126368,0.0,20261110.5
CHANNEL_ONLY,sub-02,39,1.5863958197878674,0.7129374404383142,0.0,20261110.5
CHANNEL_ONLY,sub-02,40,18.200956671265885,0.6139669588307904,0.0,20261110.5
CHANNEL_ONLY,sub-02,41,1.953072530508507,0.5789571035292276,0.0,20261110.5
CHANNEL_ONLY,sub-02,42,1.2245424777502194,0.4367715402833001,0.0,20261110.5
CHANNEL_ONLY,sub-02,43,1.1968901458894834,0.3981208671460949,0.0,20261110.5
CHANNEL_ONLY,sub-02,44,1.1506209725048393,0.4715720315556182,0.0,20261110.5
CHANNEL_ONLY,sub-02,45,1.140332035254687,0.432503909788353,0.0,20261110.5
CHANNEL_ONLY,sub-03,0,2.337078651878983,0.7219004121152464,0.0,20261110.5
CHANNEL_ONLY,sub-03,1,2.1360148381209,0.8708025021736864,0.0,20261110.5
CHANNEL_ONLY,sub-03,2,2.51899837795645,0.7066450131515469,0.0,20261110.5
CHANNEL_ONLY,sub-03,3,2.0428865493740886,0.5109309116832931,0.0,20261110.5
CHANNEL_ONLY,sub-03,4,2.941839162260294,0.5616766663272477,0.0,20261110.5
CHANNEL_ONLY,sub-03,5,2.975825878791511,0.5697703765330995,0.0,20261110.5
CHANNEL_ONLY,sub-03,6,3.1288700751028955,0.6003795620968045,0.0,20261110.5
CHANNEL_ONLY,sub-03,7,2.398271730635315,0.6180173996199894,0.0,20261110.5
CHANNEL_ONLY,sub-03,8,3.4134928565472364,0.542563774836705,0.0,20261110.5
CHANNEL_ONLY,sub-03,9,3.5706949888262898,0.34575082786864214,0.0,20261110.5
CHANNEL_ONLY,sub-03,10,3.8301110493484885,0.3846453137176478,0.0,20261110.5
CHANNEL_ONLY,sub-03,11,2.9727064493345097,0.5807454443331382,0.0,20261110.5
CHANNEL_ONLY,sub-03,12,3.673990329261869,0.33524359507041385,0.0,20261110.5
CHANNEL_ONLY,sub-03,13,3.319935137347784,0.44954439952951886,0.0,20261110.5
CHANNEL_ONLY,sub-03,14,3.151797992293723,0.44495942657722554,0.0,20261110.5
CHANNEL_ONLY,sub-03,15,3.216082368977368,0.5415258527215066,0.0,20261110.5
CHANNEL_ONLY,sub-03,16,3.366934504825622,0.46287278831390966,0.0,20261110.5
CHANNEL_ONLY,sub-03,17,2.744362574419938,0.37082631375349395,0.0,20261110.5
CHANNEL_ONLY,sub-03,18,3.338202106882818,0.6425367312247913,0.0,20261110.5
CHANNEL_ONLY,sub-03,19,2.2771311204414815,0.4776342001337716,0.0,20261110.5
CHANNEL_ONLY,sub-03,20,3.203474094509147,0.5151381778561045,0.0,20261110.5
CHANNEL_ONLY,sub-03,21,3.029297180706635,0.5598837774330198,0.0,20261110.5
CHANNEL_ONLY,sub-03,22,3.176397826639004,0.6219262991629418,0.0,20261110.5
CHANNEL_ONLY,sub-03,23,2.299895152449608,0.467147741782629,0.0,20261110.5
CHANNEL_ONLY,sub-03,24,2.4330546515993774,0.5474059572498663,0.0,20261110.5
