best_criterion,best_step,fold,model,path,seed,sha256,training_run,signature_path,signature_sha256
validation_epsilon_l1,10250,0,Calib-EEGDfus,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_0_seed_20261110/calib_eegdfus.pt,20261110,8ea904f8007a76c4527f2ed893e701179ef8562f2acbbbabaf191927ad914659,job_941257,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_0_seed_20261110/inference_signatures.npz,2fec577f8c99eeb83309ff082ad1845eafcc0abe0fa2ba227660b5b0af6d12bb
validation_epsilon_l1,11500,0,Calib-EEGDfus,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_0_seed_20261111/calib_eegdfus.pt,20261111,fb42440f7d75d985961b81fad85bdabac8270f62eae6a5dd773b454da68a8724,job_941257,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_0_seed_20261111/inference_signatures.npz,2fec577f8c99eeb83309ff082ad1845eafcc0abe0fa2ba227660b5b0af6d12bb
validation_epsilon_l1,11500,1,Calib-EEGDfus,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_1_seed_20261110/calib_eegdfus.pt,20261110,0a7d7ce6bf263d5a75c808c1561ffb5e99b402835f703babb5dfff51f0f048a8,job_941257,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_1_seed_20261110/inference_signatures.npz,9a64ec0f995989de3d5de82711d0520dfb2371ced6f13a0bb32e78d3b37b3db4
validation_epsilon_l1,10250,1,Calib-EEGDfus,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_1_seed_20261111/calib_eegdfus.pt,20261111,25e185959637377504caf069f34d87cbd6db05d1478c46983b2c7355f3f96185,job_941257,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_1_seed_20261111/inference_signatures.npz,9a64ec0f995989de3d5de82711d0520dfb2371ced6f13a0bb32e78d3b37b3db4
validation_epsilon_l1,11250,2,Calib-EEGDfus,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_2_seed_20261110/calib_eegdfus.pt,20261110,965c9d53177d28bc87e94da924357c6ecdef39d4646514381c8577c7934b2a11,job_941257,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_2_seed_20261110/inference_signatures.npz,ba3365d13c08a41830c113e2cb3c9784ceae3934fdd526374964a45eed75b7e2
validation_epsilon_l1,9250,2,Calib-EEGDfus,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_2_seed_20261111/calib_eegdfus.pt,20261111,52321546205df783be327f579d62fc34980277273fff565e8d5996d60b85ca8a,job_941257,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_2_seed_20261111/inference_signatures.npz,ba3365d13c08a41830c113e2cb3c9784ceae3934fdd526374964a45eed75b7e2
validation_epsilon_l1,11750,3,Calib-EEGDfus,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_3_seed_20261110/calib_eegdfus.pt,20261110,996e885e95271b5211ef7acbf3d2a1883adf8f10566be48855ae7fe63204f4bc,job_941257,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_3_seed_20261110/inference_signatures.npz,82dd50734d3bfde7d5e7866abe0dbc82364751818a76733b16929553e4091223
validation_epsilon_l1,11750,3,Calib-EEGDfus,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_3_seed_20261111/calib_eegdfus.pt,20261111,f3e10f22fdd2a358b8643d46e49ea1c510a7c9c24b7a1b9a2ceaf422a40cf066,job_941257,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_3_seed_20261111/inference_signatures.npz,82dd50734d3bfde7d5e7866abe0dbc82364751818a76733b16929553e4091223
validation_epsilon_l1,11250,4,Calib-EEGDfus,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_4_seed_20261110/calib_eegdfus.pt,20261110,f37370b6f15b6b2d398b0d352d810b95d23681fb63e386ce5770457b8c2dcaea,job_941257,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_4_seed_20261110/inference_signatures.npz,3397b0f6c8a82e12b01c70c5aac6aa17bbd4a706f89a34a01426c2990c10d9a8
validation_epsilon_l1,11750,4,Calib-EEGDfus,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_4_seed_20261111/calib_eegdfus.pt,20261111,c03df8a2ca3ce95173aa8735af153ed5a7918fc103579db18d8c298702db718b,job_941257,/projects/EEG-foundation-model/derived/denoiseNet/calib_eegdfus_v41r/job_941257/fold_4_seed_20261111/inference_signatures.npz,3397b0f6c8a82e12b01c70c5aac6aa17bbd4a706f89a34a01426c2990c10d9a8
