row_type,contrast,metric,participant,utility,positive,participant_mean_utility,participant_median_utility,positive_count,participants,bootstrap_low,bootstrap_high
participant,MATCH-POP,rrmse_temporal,sub-02,-0.017476774752140045,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-03,0.0034903734922409058,1,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-05,-0.0021359045058488846,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-06,0.007115364074707031,1,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-07,-0.0019403533078730106,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-09,-0.014499001204967499,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-11,-0.006487695500254631,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-12,-0.0038282331079244614,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-14,-0.0027079996652901173,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-15,0.012357371859252453,1,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-17,0.0072644855827093124,1,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-18,-0.034559316001832485,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-19,-0.013164366595447063,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-21,0.004432002082467079,1,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-23,0.03252547373995185,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-02,-0.028879300225526094,0,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-03,0.0016545187681913376,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-05,-0.001206971239298582,0,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-06,0.004333346150815487,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-07,0.0017265563365072012,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-09,-0.004374412354081869,0,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-11,0.0007194830104708672,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-12,3.7802383303642273e-06,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-14,-0.0011663492769002914,0,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-15,0.007149426266551018,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-17,0.004483077209442854,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-18,-0.020751175470650196,0,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-19,-0.02392849326133728,0,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-21,0.0024079252034425735,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-23,0.015654924791306257,1,,,,,,
participant,MATCH-POP,correlation,sub-02,-0.013348764274269342,0,,,,,,
participant,MATCH-POP,correlation,sub-03,0.005948767066001892,1,,,,,,
participant,MATCH-POP,correlation,sub-05,0.003324691206216812,1,,,,,,
participant,MATCH-POP,correlation,sub-06,0.007073457818478346,1,,,,,,
participant,MATCH-POP,correlation,sub-07,-0.00048141926527023315,0,,,,,,
participant,MATCH-POP,correlation,sub-09,-0.014680305030196905,0,,,,,,
participant,MATCH-POP,correlation,sub-11,-0.005417760461568832,0,,,,,,
participant,MATCH-POP,correlation,sub-12,-0.004176912014372647,0,,,,,,
participant,MATCH-POP,correlation,sub-14,-9.698048233985901e-05,0,,,,,,
participant,MATCH-POP,correlation,sub-15,0.005754017678555101,1,,,,,,
participant,MATCH-POP,correlation,sub-17,0.002026952803134918,1,,,,,,
participant,MATCH-POP,correlation,sub-18,-0.007909802741778549,0,,,,,,
participant,MATCH-POP,correlation,sub-19,-0.0071599241346120834,0,,,,,,
participant,MATCH-POP,correlation,sub-21,0.0005267754750093445,1,,,,,,
participant,MATCH-POP,correlation,sub-23,0.020093286409974098,1,,,,,,
participant,MATCH-POP,snr_improvement,sub-02,0.015124804340302944,1,,,,,,
participant,MATCH-POP,snr_improvement,sub-03,0.03671097230504827,1,,,,,,
participant,MATCH-POP,snr_improvement,sub-05,-0.03880959602871137,0,,,,,,
participant,MATCH-POP,snr_improvement,sub-06,0.1041119173169136,1,,,,,,
participant,MATCH-POP,snr_improvement,sub-07,-0.04406164741764407,0,,,,,,
participant,MATCH-POP,snr_improvement,sub-09,-0.16800474701449275,0,,,,,,
participant,MATCH-POP,snr_improvement,sub-11,-0.09937743870978011,0,,,,,,
participant,MATCH-POP,snr_improvement,sub-12,-0.04727731800327728,0,,,,,,
participant,MATCH-POP,snr_improvement,sub-14,-0.031017661094665527,0,,,,,,
participant,MATCH-POP,snr_improvement,sub-15,0.2034445176832378,1,,,,,,
participant,MATCH-POP,snr_improvement,sub-17,0.10041935369372368,1,,,,,,
participant,MATCH-POP,snr_improvement,sub-18,-0.36145894445675886,0,,,,,,
participant,MATCH-POP,snr_improvement,sub-19,-0.13042865750881383,0,,,,,,
participant,MATCH-POP,snr_improvement,sub-21,0.05344898129502873,1,,,,,,
participant,MATCH-POP,snr_improvement,sub-23,0.7890620330969487,1,,,,,,
participant,MATCH-POP,artifact_rrmse,sub-02,0.04114651679992676,1,,,,,,
participant,MATCH-POP,artifact_rrmse,sub-03,0.02713118899952338,1,,,,,,
participant,MATCH-POP,artifact_rrmse,sub-05,0.03144976496696472,1,,,,,,
participant,MATCH-POP,artifact_rrmse,sub-06,0.06377406205449798,1,,,,,,
