participant,condition,identity_margin,auroc,positive_similarity,impostor_median,rank1,tar_at_far5,trials,fold,verifier
4,1,0.5973700284957886,0.9925,0.38542503118515015,-0.23578843474388123,1.0,0.8,20,3,A
4,2,0.4369960427284241,0.9775,0.40222984552383423,-0.07092751562595367,0.95,0.85,20,3,A
9,1,0.35047927498817444,0.8767313019390582,0.3001387119293213,-0.10558727383613586,0.7894736842105263,0.631578947368421,19,3,A
9,2,0.22676056623458862,0.817174515235457,0.274319589138031,0.03650369495153427,0.7894736842105263,0.5789473684210527,19,3,A
14,1,0.13338954746723175,0.6177285318559557,0.1953352987766266,0.04040317237377167,0.10526315789473684,0.42105263157894735,19,3,A
14,2,0.15003949403762817,0.7132963988919667,0.26663804054260254,0.12710106372833252,0.5263157894736842,0.5263157894736842,19,3,A
4,1,0.5973700284957886,0.9925,0.38542503118515015,-0.23578843474388123,1.0,0.8,20,3,A
4,2,0.4369960427284241,0.9775,0.40222984552383423,-0.07092751562595367,0.95,0.85,20,3,A
9,1,0.35047927498817444,0.8767313019390582,0.3001387119293213,-0.10558727383613586,0.7894736842105263,0.631578947368421,19,3,A
9,2,0.22676056623458862,0.817174515235457,0.274319589138031,0.03650369495153427,0.7894736842105263,0.5789473684210527,19,3,A
14,1,0.13338954746723175,0.6177285318559557,0.1953352987766266,0.04040317237377167,0.10526315789473684,0.42105263157894735,19,3,A
14,2,0.15003949403762817,0.7132963988919667,0.26663804054260254,0.12710106372833252,0.5263157894736842,0.5263157894736842,19,3,A
4,1,0.5973700284957886,0.9925,0.38542503118515015,-0.23578843474388123,1.0,0.8,20,3,A
4,2,0.4369960427284241,0.9775,0.40222984552383423,-0.07092751562595367,0.95,0.85,20,3,A
9,1,0.35047927498817444,0.8767313019390582,0.3001387119293213,-0.10558727383613586,0.7894736842105263,0.631578947368421,19,3,A
9,2,0.22676056623458862,0.817174515235457,0.274319589138031,0.03650369495153427,0.7894736842105263,0.5789473684210527,19,3,A
14,1,0.13338954746723175,0.6177285318559557,0.1953352987766266,0.04040317237377167,0.10526315789473684,0.42105263157894735,19,3,A
14,2,0.15003949403762817,0.7132963988919667,0.26663804054260254,0.12710106372833252,0.5263157894736842,0.5263157894736842,19,3,A
4,1,0.5973700284957886,0.9925,0.38542503118515015,-0.23578843474388123,1.0,0.8,20,3,A
4,2,0.4369960427284241,0.9775,0.40222984552383423,-0.07092751562595367,0.95,0.85,20,3,A
9,1,0.35047927498817444,0.8767313019390582,0.3001387119293213,-0.10558727383613586,0.7894736842105263,0.631578947368421,19,3,A
9,2,0.22676056623458862,0.817174515235457,0.274319589138031,0.03650369495153427,0.7894736842105263,0.5789473684210527,19,3,A
14,1,0.13338954746723175,0.6177285318559557,0.1953352987766266,0.04040317237377167,0.10526315789473684,0.42105263157894735,19,3,A
14,2,0.15003949403762817,0.7132963988919667,0.26663804054260254,0.12710106372833252,0.5263157894736842,0.5263157894736842,19,3,A
