metric,panel,participant,auroc,identity_margin,rank1,tar_at_far5
cosine,physiological,1,0.645625,0.03795664757490158,0.45,0.25
cosine,physiological,6,0.6412500000000001,0.038219669833779335,0.625,0.025
cosine,physiological,11,0.6952908587257618,0.05641130730509758,0.5,0.23684210526315788
cosine,phase_locked_erp,1,1.0,0.2977083697915077,1.0,1.0
cosine,phase_locked_erp,6,1.0,0.2756376937031746,1.0,1.0
cosine,phase_locked_erp,11,1.0,0.30492931604385376,1.0,1.0
cosine,induced_residual,1,0.495,0.0001331385883531766,0.375,0.25
cosine,induced_residual,6,0.5249999999999999,0.0002769198690657504,0.25,0.025
cosine,induced_residual,11,0.492382271468144,2.23801180254668e-06,0.3421052631578947,0.05263157894736842
cosine,artifact_acquisition_only,1,0.9400000000000001,0.043717799708247185,0.875,0.675
cosine,artifact_acquisition_only,6,0.8768750000000001,0.03540652617812157,0.775,0.5
cosine,artifact_acquisition_only,11,0.971606648199446,0.060734912753105164,0.9736842105263157,0.9473684210526315
cosine,amplitude_only,1,0.5787500000000001,0.0376540208235383,0.5,0.175
cosine,amplitude_only,6,0.5618749999999999,0.016843820922076702,0.525,0.025
cosine,amplitude_only,11,0.6024930747922438,0.04670016001909971,0.2894736842105263,0.10526315789473684
cosine,topography_only,1,0.5787500000000001,0.037654027342796326,0.5,0.175
cosine,topography_only,6,0.5618749999999999,0.016843819990754128,0.525,0.025
cosine,topography_only,11,0.6024930747922438,0.04670017305761576,0.2894736842105263,0.10526315789473684
cosine,latency_morphology_only,1,0.645625,0.037956648506224155,0.45,0.25
cosine,latency_morphology_only,6,0.6412500000000001,0.038219667971134186,0.625,0.025
cosine,latency_morphology_only,11,0.6952908587257618,0.05641131103038788,0.5,0.23684210526315788
cosine,band_0.5_4,1,0.675625,0.04599348455667496,0.575,0.25
cosine,band_0.5_4,6,0.656875,0.03877473250031471,0.575,0.275
cosine,band_0.5_4,11,0.5678670360110802,0.03816339932382107,0.4736842105263158,0.2894736842105263
cosine,band_4_8,1,0.7731250000000001,0.07755719684064388,0.7,0.45
cosine,band_4_8,6,0.55,0.009486030088737607,0.35,0.05
cosine,band_4_8,11,0.6163434903047091,0.030554477125406265,0.4473684210526315,0.21052631578947367
cosine,band_8_13,1,0.861875,0.2048659771680832,0.95,0.525
cosine,band_8_13,6,0.89625,0.1888071820139885,0.8,0.55
