participant,role,trials,condition1,condition2,channels,samples,day200_opened
1,R,320,160,160,57,200,0
1,T,318,159,159,57,200,0
1,G,314,157,157,57,200,0
2,R,324,162,162,57,200,0
2,T,318,159,159,57,200,0
2,G,318,159,159,57,200,0
3,R,316,158,158,57,200,0
3,T,314,157,157,57,200,0
3,G,318,159,159,57,200,0
4,R,332,166,166,57,200,0
4,T,318,159,159,57,200,0
4,G,314,157,157,57,200,0
5,R,310,155,155,57,200,0
5,T,306,153,153,57,200,0
5,G,306,153,153,57,200,0
6,R,322,161,161,57,200,0
6,T,318,159,159,57,200,0
6,G,318,159,159,57,200,0
7,R,318,159,159,57,200,0
7,T,318,159,159,57,200,0
7,G,318,159,159,57,200,0
8,R,318,159,159,57,200,0
8,T,318,159,159,57,200,0
8,G,314,157,157,57,200,0
9,R,318,159,159,57,200,0
9,T,314,157,157,57,200,0
9,G,316,158,158,57,200,0
10,R,306,153,153,57,200,0
10,T,306,153,153,57,200,0
10,G,306,153,153,57,200,0
11,R,306,153,153,57,200,0
11,T,318,159,159,57,200,0
11,G,302,151,151,57,200,0
12,R,318,159,159,57,200,0
12,T,314,157,157,57,200,0
12,G,314,157,157,57,200,0
13,R,318,159,159,57,200,0
13,T,316,158,158,57,200,0
13,G,314,157,157,57,200,0
14,R,318,159,159,57,200,0
14,T,318,159,159,57,200,0
14,G,318,159,159,57,200,0
15,R,318,159,159,57,200,0
15,T,320,160,160,57,200,0
15,G,318,159,159,57,200,0
