epoch,step,train_loss,validation_loss,best
24,250,0.054077592119574545,0.06892814587676123,False
49,500,0.026254065707325934,0.05800445880113023,False
74,750,0.012185699678957463,0.055272237010551305,False
99,1000,0.006406573113054037,0.05380437841241279,False
124,1250,0.004023501509800553,0.055620766213435806,False
149,1500,0.0036419315496459604,0.05326463137700986,False
174,1750,0.002226097788661718,0.054164087839340895,False
199,2000,0.002259996731299907,0.05373915866687057,False
224,2250,0.002067809761501849,0.053722212174802685,False
249,2500,0.0024176243459805846,0.05546487493210294,False
274,2750,0.001597224175930023,0.05363152873064025,False
299,3000,0.001497516594827175,0.05320746072808678,True
324,3250,0.0016993536264635623,0.051478182206327994,True
349,3500,0.0018758441554382443,0.051488470055916336,False
374,3750,0.0017510909936390817,0.05099600595369767,True
399,4000,0.0008474507369101048,0.05154219671581568,False
424,4250,0.0010649267060216516,0.050904832612932396,True
449,4500,0.0016447368077933788,0.05430764637971192,False
474,4750,0.0024643720826134086,0.0529510085209367,False
499,5000,0.0007324988546315581,0.050841908525215106,True
524,5250,0.0009936046320945025,0.05121791980156068,False
549,5500,0.0009217116690706462,0.05180536221001256,False
574,5750,0.001885562331881374,0.053951021807079905,False
599,6000,0.0006066796951927245,0.051066264510154724,False
