fold_id,study,recording_key,method,gamma,eog_coherence_reduction,nonartifact_preservation,psd_distortion,covariance_distortion
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-POP,0.5,0.009160748763202595,0.8546321392059326,0.11665394902229309,0.17845090660510388
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-POP,0.65,0.011779498140295518,0.8110218495130539,0.15093429386615753,0.22148230617736825
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-POP,0.75,0.013399276039402552,0.7819482535123825,0.17344367504119873,0.24749413465787143
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-POP,0.85,0.014862475579540277,0.7528746426105499,0.19560201466083527,0.2713737475298679
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-POP,0.925,0.015822977742886754,0.7310695052146912,0.21194976568222046,0.2878891562927458
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-POP,1.0,0.016638546668249987,0.7092642784118652,0.22803525626659393,0.30321380734428804
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-MATCH120,0.5,0.00640479402199131,0.8525411188602448,0.13841503858566284,0.20421624280453776
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-MATCH120,0.65,0.008564134891112817,0.8083035051822662,0.17853319644927979,0.25471217197395424
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-MATCH120,0.75,0.01002395649215785,0.7788117825984955,0.204623743891716,0.2856532753235906
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-MATCH120,0.85,0.01146182442758361,0.7493200600147247,0.23016029596328735,0.314434047378077
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-MATCH120,0.925,0.012501054371161197,0.7272011339664459,0.24902327358722687,0.33461234949172214
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-MATCH120,1.0,0.013488836506188949,0.7050822377204895,0.26751381158828735,0.3535934358034096
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-EB-FIXED120,0.5,0.009637090843170881,0.8574760258197784,0.11676833033561707,0.17727380360951767
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-EB-FIXED120,0.65,0.012500991233913551,0.8147189766168594,0.15085016191005707,0.22043395141813169
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-EB-FIXED120,0.75,0.01431723138927643,0.7862140983343124,0.17311914265155792,0.24665946898007388
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-EB-FIXED120,0.85,0.016004954834051177,0.7577093243598938,0.19495177268981934,0.27085701611546176
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-EB-FIXED120,0.925,0.01715200284399606,0.7363307476043701,0.21100866794586182,0.2876804080691043
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-EB-FIXED120,1.0,0.018168027071153815,0.7149520516395569,0.2267729640007019,0.3033735950824575
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-RAW-SHUFFLED120,0.5,0.011272521071328687,0.8706162720918655,0.11167532950639725,0.16583341132342455
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-RAW-SHUFFLED120,0.65,0.014699733976660107,0.8318011909723282,0.14401641488075256,0.2075226987864759
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-RAW-SHUFFLED120,0.75,0.016890659245887195,0.8059243708848953,0.16512389481067657,0.23326577807551876
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-RAW-SHUFFLED120,0.85,0.018944295348021493,0.7800476104021072,0.18582898378372192,0.25737686912436375
study01_layout_01_heldout_00,study01,study01/study01_p01,DIFF-RAW-SHUFFLED120,0.925,0.020357542053057717,0.760640099644661,0.20108211040496826,0.2743937105637098
