method,units,rrmse_mean,correlation_mean,delta_snr_mean
DET-EB-FIXED120,9,0.5246847768624624,0.8562655315879879,1.4160402052932315
DET-MATCH120,9,0.5119602017932467,0.8637350323935414,1.5920290797948837
DET-POP,9,0.5371933148966895,0.8528331844164175,1.3831430210007563
DET-RAW-SHUFFLED120,9,0.5282632244957818,0.855120828488818,1.0663898547904358
DIFF-EB-FIXED120,9,0.51635552280479,0.8612867980723005,1.6813094769087102
DIFF-MATCH120,9,0.5016730593310462,0.870113025119014,1.884728393620915
DIFF-POP,9,0.5322065469291475,0.8549244831140269,1.6298999825699463
DIFF-RAW-SHUFFLED120,9,0.5237743821409013,0.8568963800663522,1.228239913781484
DIFF-RAW-WRONG120-0,9,0.5522395322720209,0.846769335848347,1.4085806492302153
DIFF-RAW-WRONG120-1,3,0.5053528447945913,0.8665104936058062,1.49490691224734
RAW,9,0.7083979679478539,0.8268563758028777,0.0
